T JscF EtaF VocF FFF JscFB EtaFB VocFB FFFB eJsc eEta eVoc eFF
290 7.066181E-1 2.886010E+1 5.103210E-1 8.003330E+1 7.225986E-1 2.991370E+1 5.109870E-1 8.101470E+1 2.2115321E+00 3.5221320E+00 1.3033600E-01 1.2113851E+00
295 7.080981E-1 2.797500E+1 4.973380E-1 7.943760E+1 7.244727E-1 2.905290E+1 4.985170E-1 8.044300E+1 2.2602094E+00 3.7101288E+00 2.3650146E-01 1.2498291E+00
300 7.095107E-1 2.708550E+1 4.843500E-1 7.881680E+1 7.265086E-1 2.820560E+1 4.861670E-1 7.985640E+1 2.3396695E+00 3.9711972E+00 3.7373989E-01 1.3018368E+00
305 7.108779E-1 2.619330E+1 4.713540E-1 7.817150E+1 7.283331E-1 2.734500E+1 4.738120E-1 7.923950E+1 2.3965957E+00 4.2117389E+00 5.1877116E-01 1.3478126E+00
310 7.122008E-1 2.529840E+1 4.583050E-1 7.750620E+1 7.299496E-1 2.647140E+1 4.614330E-1 7.859160E+1 2.4315103E+00 4.4311974E+00 6.7788823E-01 1.3810636E+00
315 7.134717E-1 2.440150E+1 4.452330E-1 7.681630E+1 7.311372E-1 2.556880E+1 4.488220E-1 7.791780E+1 2.4161676E+00 4.5653296E+00 7.9964886E-01 1.4136693E+00
320 7.147182E-1 2.350410E+1 4.321650E-1 7.609570E+1 7.323920E-1 2.467370E+1 4.362670E-1 7.722170E+1 2.4131613E+00 4.7402700E+00 9.4024989E-01 1.4581394E+00
325 7.159289E-1 2.260620E+1 4.190690E-1 7.534800E+1 7.332701E-1 2.375310E+1 4.235640E-1 7.647810E+1 2.3649130E+00 4.8284224E+00 1.0612328E+00 1.4776779E+00
330 7.171015E-1 2.170830E+1 4.059420E-1 7.457310E+1 7.341387E-1 2.283570E+1 4.109420E-1 7.569310E+1 2.3207059E+00 4.9370065E+00 1.2167167E+00 1.4796593E+00
335 7.182713E-1 2.081200E+1 3.928280E-1 7.376050E+1 7.348299E-1 2.190730E+1 3.981680E-1 7.487510E+1 2.2533922E+00 4.9997033E+00 1.3411424E+00 1.4886124E+00
340 7.194111E-1 1.991750E+1 3.797080E-1 7.291360E+1 7.351921E-1 2.095680E+1 3.851850E-1 7.400410E+1 2.1465138E+00 4.9592495E+00 1.4219141E+00 1.4735670E+00
