T JscF EtaF VocF FFF JscFB EtaFB VocFB FFFB eJsc eEta eVoc eFF
290 4.152398E-1 1.443220E+1 4.420970E-1 7.861730E+1 4.635954E-1 1.652610E+1 4.510770E-1 7.902790E+1 1.0430561E+01 1.2670261E+01 1.9907909E+00 5.1956334E-01
295 4.212845E-1 1.405460E+1 4.282680E-1 7.789850E+1 4.714764E-1 1.616320E+1 4.375810E-1 7.834470E+1 1.0645687E+01 1.3045684E+01 2.1282917E+00 5.6953438E-01
300 4.271994E-1 1.365790E+1 4.143950E-1 7.715080E+1 4.801140E-1 1.581400E+1 4.242750E-1 7.763390E+1 1.1021257E+01 1.3634122E+01 2.3286783E+00 6.2227970E-01
305 4.330401E-1 1.324490E+1 4.005830E-1 7.635320E+1 4.882630E-1 1.542600E+1 4.109570E-1 7.687800E+1 1.1310073E+01 1.4139116E+01 2.5243517E+00 6.8264003E-01
310 4.388024E-1 1.281570E+1 3.866400E-1 7.553820E+1 4.958651E-1 1.499850E+1 3.974590E-1 7.610140E+1 1.1507706E+01 1.4553455E+01 2.7220418E+00 7.4006523E-01
315 4.444107E-1 1.236960E+1 3.727490E-1 7.467120E+1 5.019825E-1 1.449910E+1 3.837280E-1 7.527130E+1 1.1468886E+01 1.4687119E+01 2.8611412E+00 7.9724942E-01
320 4.500051E-1 1.191110E+1 3.588440E-1 7.376120E+1 5.084597E-1 1.400070E+1 3.701360E-1 7.439280E+1 1.1496408E+01 1.4924968E+01 3.0507705E+00 8.4900689E-01
325 4.554921E-1 1.143840E+1 3.448760E-1 7.281500E+1 5.135050E-1 1.343840E+1 3.561390E-1 7.348240E+1 1.1297436E+01 1.4882724E+01 3.1625292E+00 9.0824470E-01
330 4.608548E-1 1.095190E+1 3.309740E-1 7.180160E+1 5.185430E-1 1.286790E+1 3.422490E-1 7.250710E+1 1.1125056E+01 1.4889764E+01 3.2943851E+00 9.7300816E-01
335 4.662572E-1 1.045680E+1 3.169830E-1 7.075150E+1 5.228978E-1 1.226540E+1 3.281700E-1 7.147680E+1 1.0832059E+01 1.4745544E+01 3.4089039E+00 1.0147349E+00
340 4.715564E-1 9.950200E+0 3.030330E-1 6.963200E+1 5.259005E-1 1.161310E+1 3.137850E-1 7.037440E+1 1.0333533E+01 1.4319174E+01 3.4265500E+00 1.0549291E+00
