fname time Tem kT_1 n1 Rs ta_n Rsh n2 ta_g dev 
T01_280 T01_280.dat 280 41.41 1.000E+000 1.033E+001 5.373E-005 1.000E+020 1.709E+000 1.267E-003 1.656E-003 
T02_285 T02_285.dat 285 40.68 1.000E+000 9.784E+000 5.726E-005 1.000E+020 1.701E+000 1.249E-003 1.262E-003 
T03_290 T03_290.dat 290 39.98 1.000E+000 9.142E+000 6.091E-005 1.000E+020 1.692E+000 1.231E-003 9.379E-004 
T04_295 T04_295.dat 295 39.3 1.000E+000 8.559E+000 6.474E-005 1.000E+020 1.679E+000 1.224E-003 6.441E-004 
T05_300 T05_300.dat 300 38.65 1.000E+000 8.027E+000 6.853E-005 1.000E+020 1.671E+000 1.202E-003 5.584E-004 
T06_305 T06_305.dat 305 38.01 1.000E+000 7.908E+000 7.251E-005 1.000E+020 1.663E+000 1.179E-003 6.960E-004 
T07_310 T07_310.dat 310 37.4 1.000E+000 7.333E+000 7.672E-005 1.000E+020 1.652E+000 1.159E-003 8.693E-004 
T08_315 T08_315.dat 315 36.81 1.000E+000 6.803E+000 8.082E-005 1.000E+020 1.647E+000 1.132E-003 1.150E-003 
T09_320 T09_320.dat 320 36.23 1.000E+000 6.291E+000 8.511E-005 1.000E+020 1.639E+000 1.106E-003 1.497E-003 
T10_325 T10_325.dat 325 35.67 1.000E+000 5.780E+000 8.957E-005 1.000E+020 1.630E+000 1.080E-003 1.903E-003 
T11_330 T11_330.dat 330 35.13 1.000E+000 5.300E+000 9.419E-005 1.000E+020 1.614E+000 1.061E-003 2.380E-003 
T12_335 T12_335.dat 335 34.61 1.000E+000 4.853E+000 9.904E-005 1.000E+020 1.590E+000 1.044E-003 2.928E-003 
T13_340 T13_340.dat 340 34.1 1.000E+000 4.798E+000 1.045E-004 1.000E+020 1.539E+000 1.045E-003 3.390E-003 
