N_Fe T90 T95 T00 T05 T10 T15 T20 T25 T30 T35 T40
T 290 295 300 305 310 315 320 325 330 335 340
1.000000000E+01 1.210881274E+00 1.213842915E+00 1.216850922E+00 1.219189328E+00 1.221803342E+00 1.223825956E+00 1.224683001E+00 1.225351251E+00 1.225364728E+00 1.223390777E+00 1.221259708E+00
1.016672606E+01 1.211048314E+00 1.213997089E+00 1.216999031E+00 1.219342526E+00 1.221960986E+00 1.223991388E+00 1.224866521E+00 1.225547358E+00 1.225574698E+00 1.223623997E+00 1.221508419E+00
1.033324570E+01 1.211289658E+00 1.214219819E+00 1.217212965E+00 1.219563641E+00 1.222188600E+00 1.224230347E+00 1.225131670E+00 1.225830944E+00 1.225878633E+00 1.223961767E+00 1.221868811E+00
1.049996187E+01 1.211636209E+00 1.214539494E+00 1.217519877E+00 1.219880545E+00 1.222514880E+00 1.224573104E+00 1.225512123E+00 1.226238327E+00 1.226315737E+00 1.224447913E+00 1.222388043E+00
1.066670514E+01 1.212129397E+00 1.214994055E+00 1.217955945E+00 1.220330052E+00 1.222977815E+00 1.225059828E+00 1.226052520E+00 1.226817944E+00 1.226938750E+00 1.225141488E+00 1.223129934E+00
1.083333839E+01 1.212822596E+00 1.215632185E+00 1.218567313E+00 1.220958746E+00 1.223625336E+00 1.225741310E+00 1.226809443E+00 1.227631587E+00 1.227815444E+00 1.226118894E+00 1.224177447E+00
1.100000000E+01 1.213780976E+00 1.216512823E+00 1.219409319E+00 1.221821422E+00 1.224513686E+00 1.226677217E+00 1.227849316E+00 1.228752677E+00 1.229027257E+00 1.227472639E+00 1.225632432E+00
1.116672606E+01 1.215100480E+00 1.217701807E+00 1.220542630E+00 1.222976303E+00 1.225701882E+00 1.227930113E+00 1.229241332E+00 1.230258873E+00 1.230662205E+00 1.229303909E+00 1.227608275E+00
1.133324570E+01 1.216825353E+00 1.219264871E+00 1.222025773E+00 1.224475999E+00 1.227241317E+00 1.229553553E+00 1.231043568E+00 1.232217042E+00 1.232798672E+00 1.231704773E+00 1.230212071E+00
1.149996187E+01 1.219013125E+00 1.221271708E+00 1.223905026E+00 1.226355997E+00 1.229162334E+00 1.231576110E+00 1.233283313E+00 1.234660576E+00 1.235479968E+00 1.234729365E+00 1.233513677E+00
1.166670514E+01 1.221718319E+00 1.223726339E+00 1.226205286E+00 1.228625550E+00 1.231463206E+00 1.233987429E+00 1.235939366E+00 1.237566701E+00 1.238686418E+00 1.238360046E+00 1.237507200E+00
1.183333839E+01 1.224961550E+00 1.226659445E+00 1.228926386E+00 1.231266634E+00 1.234113876E+00 1.236736004E+00 1.238937942E+00 1.240847699E+00 1.242320235E+00 1.242486047E+00 1.242081930E+00
1.200000000E+01 1.228700770E+00 1.230037358E+00 1.232046924E+00 1.234242946E+00 1.237050414E+00 1.239742085E+00 1.242170704E+00 1.244368146E+00 1.246219846E+00 1.246914828E+00 1.247026250E+00
1.216672606E+01 1.232915157E+00 1.233834749E+00 1.235534134E+00 1.237514554E+00 1.240219675E+00 1.242932535E+00 1.245520550E+00 1.247985164E+00 1.250204452E+00 1.251421399E+00 1.252076592E+00
1.233324570E+01 1.237531404E+00 1.238016400E+00 1.239356077E+00 1.241051526E+00 1.243585867E+00 1.246246383E+00 1.248928478E+00 1.251590887E+00 1.254127366E+00 1.255813625E+00 1.256991820E+00
1.249996187E+01 1.242524155E+00 1.242550992E+00 1.243491315E+00 1.244841495E+00 1.247142121E+00 1.249677487E+00 1.252356849E+00 1.255135294E+00 1.257909596E+00 1.259977785E+00 1.261614021E+00
1.266670514E+01 1.247826245E+00 1.247412690E+00 1.247919322E+00 1.248888967E+00 1.250890868E+00 1.253233389E+00 1.255819020E+00 1.258623396E+00 1.261541425E+00 1.263885784E+00 1.265886210E+00
1.283333839E+01 1.253440857E+00 1.252589528E+00 1.252655308E+00 1.253207688E+00 1.254866776E+00 1.256946837E+00 1.259354884E+00 1.262096580E+00 1.265061758E+00 1.267572243E+00 1.269831123E+00
1.300000000E+01 1.259321584E+00 1.258063337E+00 1.257699454E+00 1.257810814E+00 1.259091388E+00 1.260856158E+00 1.263013889E+00 1.265611745E+00 1.268532658E+00 1.271103564E+00 1.273515135E+00
