fname time Tem kT_1 A1 A2 m1 m2 dev 
01RV 1rv.dat 291.3 39.8 1.870E-008 0.000E+000 4.898E+000 0.000E+000 5.356E-003 
03RV 3rv.dat 295.5 39.24 4.847E-008 0.000E+000 4.451E+000 0.000E+000 5.565E-003 
05RV 5rv.dat 300.1 38.63 5.790E-008 0.000E+000 4.402E+000 0.000E+000 7.801E-003 
07RV 7rv.dat 304 38.14 7.083E-008 0.000E+000 4.344E+000 0.000E+000 9.058E-003 
09RV 9rv.dat 309.2 37.5 1.081E-007 0.000E+000 4.204E+000 0.000E+000 1.000E-002 
11RV 11rv.dat 316.4 36.64 1.133E-007 0.000E+000 4.247E+000 0.000E+000 1.012E-002 
13RV 13rv.dat 320.5 36.18 1.196E-007 0.000E+000 4.293E+000 0.000E+000 1.329E-002 
15RV 15rv.dat 327.8 35.37 1.996E-007 0.000E+000 4.123E+000 0.000E+000 6.345E-003 
17RV 17rv.dat 332.7 34.85 3.255E-007 0.000E+000 3.892E+000 0.000E+000 4.032E-003 
19RV 19rv.dat 337.9 34.31 4.494E-007 0.000E+000 3.777E+000 0.000E+000 3.544E-003 
21RV 21rv.dat 342.9 33.81 5.225E-007 0.000E+000 3.770E+000 0.000E+000 3.002E-003 
