T Isc Isc_fit DiffLength
2.921E+2 1.8124304E-4 1.8067762E-4 1.5650882E-4
2.959E+2 1.8240809E-4 1.8218132E-4 1.5754076E-4
2.999E+2 1.8394926E-4 1.8368016E-4 1.5859137E-4
3.040E+2 1.8515995E-4 1.8518820E-4 1.5967184E-4
3.079E+2 1.8640959E-4 1.8658815E-4 1.6069703E-4
3.120E+2 1.8769630E-4 1.8800661E-4 1.6175877E-4
3.159E+2 1.8866252E-4 1.8933201E-4 1.6277288E-4
3.199E+2 1.8997421E-4 1.9065217E-4 1.6380530E-4
3.239E+2 1.9168627E-4 1.9192968E-4 1.6482666E-4
3.279E+2 1.9293394E-4 1.9317283E-4 1.6584275E-4
3.320E+2 1.9423056E-4 1.9438674E-4 1.6685718E-4
3.360E+2 1.9596750E-4 1.9556103E-4 1.6786047E-4
3.400E+2 1.9722777E-4 1.9671968E-4 1.6887271E-4
3.440E+2 1.9838192E-4 1.9783003E-4 1.6986460E-4
