name time T kT_1 I
00 13:44:18 290.4 39.92 1.355E-006
00 13:48:14 290.4 39.92 1.441E-006
00 13:58:12 295.3 39.26 1.552E-006
00 14:11:04 299.1 38.76 1.640E-006
00 14:22:42 303.3 38.23 2.283E-006
00 14:35:56 306.6 37.82 2.250E-006
00 14:45:02 310.7 37.32 2.749E-006
00 14:55:12 314.9 36.82 3.424E-006
00 15:13:52 320.2 36.21 3.778E-006
001 15:29:50 324.2 35.76 5.053E-006
001 15:36:56 327.7 35.38 6.264E-006
001 15:56:12 332.7 34.85 7.105E-006
001 16:01:32 335.9 34.52 8.556E-006
001 16:11:32 341.2 33.98 1.090E-005
