name time T kT_1 I
00 13:44:18 290.4 39.92 5.589E-004
00 13:48:14 290.4 39.92 5.624E-004
00 13:58:12 295.3 39.26 6.242E-004
00 14:11:04 299.1 38.76 6.809E-004
00 14:22:42 303.3 38.23 7.696E-004
00 14:35:56 306.6 37.82 8.530E-004
00 14:45:02 310.7 37.32 9.642E-004
00 14:55:12 314.9 36.82 1.096E-003
00 15:13:52 320.2 36.21 1.209E-003
001 15:29:50 324.2 35.76 1.412E-003
001 15:36:56 327.7 35.38 1.523E-003
001 15:56:12 332.7 34.85 1.652E-003
001 16:01:32 335.9 34.52 1.813E-003
001 16:11:32 341.2 33.98 2.047E-003
