name time T kT_1 I
00 13:44:18 290.4 39.92 1.514E-003
00 13:48:14 290.4 39.92 1.535E-003
00 13:58:12 295.3 39.26 1.703E-003
00 14:11:04 299.1 38.76 1.841E-003
00 14:22:42 303.3 38.23 2.021E-003
00 14:35:56 306.6 37.82 2.179E-003
00 14:45:02 310.7 37.32 2.398E-003
00 14:55:12 314.9 36.82 2.638E-003
00 15:13:52 320.2 36.21 2.835E-003
001 15:29:50 324.2 35.76 3.210E-003
001 15:36:56 327.7 35.38 3.402E-003
001 15:56:12 332.7 34.85 3.625E-003
001 16:01:32 335.9 34.52 3.958E-003
001 16:11:32 341.2 33.98 4.361E-003
