Method Finner Holm Hochberg Holland
GOTLBO 1.300018036E-14 1.300000000E-14 1.300000000E-14 1.300018036E-14
NNA 8.477885061E-11 1.565148011E-10 1.559505858E-10 1.565148011E-10
WW 8.477885061E-11 1.565148011E-10 1.559505858E-10 1.565148011E-10
ISCA 1.547452166E-10 4.761391281E-10 4.583633473E-10 4.761391280E-10
CWOA 1.547452166E-10 4.761391281E-10 4.583633473E-10 4.761391280E-10
PSO 2.391853752E-10 8.831460008E-10 8.831460008E-10 8.831460004E-10
MABC 2.851695957E-09 1.074870015E-08 1.074870015E-08 1.074870010E-08
EBLSHADE 1.000000000E+00 1.000000000E+00 1.000000000E+00 1.000000000E+00
ADELI 1.000000000E+00 1.000000000E+00 1.000000000E+00 1.000000000E+00
NDE 1.000000000E+00 1.000000000E+00 1.000000000E+00 1.000000000E+00
TLBO 1.000000000E+00 1.000000000E+00 1.000000000E+00 1.000000000E+00
STLBO 1.000000000E+00 1.000000000E+00 1.000000000E+00 1.000000000E+00
IJAYA 1.000000000E+00 1.000000000E+00 1.000000000E+00 1.000000000E+00
