Name T I01med I01q25 I01q75 I01er n1med n1q25 n1q75 n1er Rsh1med Rsh1q25 Rsh1q75 Rsh1er I02med I02q25 I02q75 I02er n2med n2q25 n2q75 n2er Rsh2med Rsh2q25 Rsh2q75 Rsh2er Rsmed Rsq25 Rsq75 Rser Iphmed Iphq25 Iphq75 Ipher rmsremed rmsreq25 rmsreq75 
DE 260 2.626215269E-06 4.337300844E-07 1.946092391E-05 8.249189820E-01 4.913756918E+00 3.500631953E+00 7.328101658E+00 2.286630078E-01 2.071219758E+03 9.493555710E+02 7.941458433E+03 7.928780242E-01 8.391487339E-06 7.471675234E-06 9.547705776E-06 6.355608599E-02 2.743406270E+00 2.278986464E+00 3.080911705E+00 6.146627605E-02 1.388368080E+04 1.333170302E+04 1.465240890E+04 2.057351224E-02 5.311536473E+01 4.089658729E+00 9.111220641E+01 4.311536473E+00 1.103924750E-03 9.929760443E-04 1.268066548E-03 1.499216147E-01 1.361023406E-01 1.059362993E-01 2.676444126E-01
DE 270 5.773142349E-06 2.501571913E-07 2.787350326E-05 6.151238434E-01 5.298691977E+00 3.296355993E+00 8.292503858E+00 1.362469741E-01 2.385686243E+03 7.172046291E+02 6.035402382E+03 7.614313757E-01 1.564117368E-05 1.300851909E-05 1.818366903E-05 9.842765836E-02 2.387050274E+00 1.900820385E+00 2.799463063E+00 1.629823715E-01 7.939375017E+03 7.345984525E+03 8.425474105E+03 4.987048288E-02 4.241174831E+01 1.397212396E+01 1.179986409E+02 1.120587416E+00 1.098245484E-03 1.014562451E-03 1.262904616E-03 1.322118397E-01 1.940707176E-01 1.374240444E-01 2.914860971E-01
DE 280 1.056652832E-05 6.860976773E-07 3.874381187E-05 2.955647790E-01 5.556611866E+00 3.522989280E+00 8.057662836E+00 6.065476401E-02 2.331873064E+03 8.939954415E+02 8.476196228E+03 7.668126936E-01 3.003928897E-05 2.383451448E-05 3.579112799E-05 6.243154139E-02 2.240359187E+00 1.686900070E+00 2.947437867E+00 1.957684968E-01 4.862978984E+03 4.442290835E+03 5.425821494E+03 4.932251644E-02 3.352950134E+01 3.218038255E+00 1.258037888E+02 1.176500445E-01 1.113192897E-03 1.008229221E-03 1.236741975E-03 1.359111194E-01 2.401870091E-01 1.304337850E-01 3.959257615E-01
DE 290 6.481946684E-06 5.454804326E-07 1.885075006E-05 5.678702211E-01 5.112546443E+00 3.377173814E+00 7.251322752E+00 1.048570246E-01 1.136966005E+03 6.951186440E+02 3.003495378E+03 8.863033995E-01 5.542891558E-05 4.738339979E-05 7.472755612E-05 2.275047350E-02 1.991722496E+00 1.335949169E+00 3.185114362E+00 2.688613621E-01 3.100851971E+03 2.698902033E+03 3.680305442E+03 4.270177839E-02 3.251066664E+01 3.254743950E+00 1.314750268E+02 1.872333339E-01 1.157951589E-03 1.064811040E-03 1.259893509E-03 1.696480699E-01 3.301316476E-01 1.674550306E-01 4.220241017E-01
DE 300 3.107940360E-06 6.725032755E-08 2.239329688E-05 7.928039760E-01 4.278718971E+00 2.778271070E+00 6.925189250E+00 2.250170263E-01 1.708060970E+03 1.051543681E+03 6.035766427E+03 8.291939030E-01 1.172552302E-04 9.457555513E-05 2.105714435E-04 2.130908881E-01 2.312324695E+00 1.123461388E+00 5.770281517E+00 1.328782392E-01 2.205007972E+03 1.894511943E+03 5.450930807E+03 4.275614428E-02 2.695484803E+01 5.382598265E-01 1.266182552E+02 4.609030393E-01 1.092090352E-03 1.043320597E-03 1.208089035E-03 9.209035233E-02 2.739937268E-01 1.645529744E-01 4.512759613E-01
DE 310 5.928806275E-06 6.437423205E-07 3.656359949E-05 6.047462483E-01 4.579973101E+00 3.146028990E+00 6.856145020E+00 1.428007844E-01 2.537091826E+03 1.220207617E+03 6.281562589E+03 7.462908174E-01 3.097834724E-04 1.937393902E-04 4.078043294E-04 9.464685400E-01 4.526457604E+00 1.973864789E+00 5.903642596E+00 7.323479719E-01 3.214886885E+03 1.288421716E+03 1.045580837E+04 1.265665898E+00 3.667466729E+01 1.737296505E+00 1.159319117E+02 3.887555452E-01 1.135754051E-03 1.063248482E-03 1.243390677E-03 1.245089618E-01 4.030989494E-01 2.560796334E-01 5.855609865E-01
DE 320 9.305670282E-06 3.514192733E-08 9.236166312E-05 3.796219812E-01 5.375349841E+00 2.191280572E+00 1.041895339E+01 3.851758936E-02 2.342357730E+03 1.098397454E+03 5.637992039E+03 7.657642270E-01 3.873255160E-04 2.245839698E-04 6.298272245E-04 5.248566917E-01 4.225126739E+00 1.195891089E+00 6.908823884E+00 6.488299468E-01 9.365747761E+02 6.436991160E+02 4.876460402E+03 4.059581884E-02 2.326933978E+01 2.240931455E+00 1.203146353E+02 6.675808603E-01 1.177701668E-03 1.100544388E-03 1.277277917E-03 1.546094788E-01 5.199374906E-01 3.292358024E-01 7.545905891E-01
DE 330 1.739183391E-06 4.198835697E-08 1.439163479E-05 8.840544406E-01 3.393580468E+00 2.186752847E+00 5.024397638E+00 3.238715115E-01 2.564679793E+03 1.611370451E+03 4.621819689E+03 7.435320207E-01 4.540942563E-04 2.457911031E-04 9.014503530E-04 1.523062904E-01 4.292948883E+00 2.384012183E+00 7.995944301E+00 7.068350979E-01 7.604873724E+02 4.684366091E+02 3.304915882E+03 1.069702646E-01 4.380975966E+01 4.002491574E+00 1.034087257E+02 4.523780042E-01 1.080831681E-03 1.047196709E-03 1.137722597E-03 4.935114689E-02 1.828459106E-01 1.294783945E-01 2.862313126E-01
DE 340 2.840573413E-06 1.323157818E-07 1.578392176E-05 8.106284392E-01 3.557327987E+00 2.327617332E+00 4.921927347E+00 2.697694975E-01 3.597099071E+03 1.794434615E+03 1.075952983E+04 6.402900929E-01 7.541227151E-04 5.181585584E-04 1.116209324E-03 2.657630661E-01 3.330972689E+00 1.510756285E+00 7.859106518E+00 3.482508504E-01 5.946610789E+02 3.532806985E+02 1.114282738E+03 2.048214314E-01 9.011779298E+01 1.587062760E+01 1.681516556E+02 1.308810940E-03 1.060105193E-03 1.039465746E-03 1.124101533E-03 1.933191616E-02 1.170209440E-01 1.072902697E-01 1.524159909E-01
DE 350 5.417093920E-07 1.327223252E-07 1.544660699E-05 9.638860405E-01 2.706814418E+00 2.276966175E+00 4.801367686E+00 4.280162783E-01 2.174213438E+03 1.854565485E+03 5.665085897E+03 7.825786562E-01 9.535837851E-04 5.720127140E-04 1.448631008E-03 8.396567156E-02 4.588837584E+00 2.083078771E+00 8.587083223E+00 8.895213581E-01 3.409776472E+02 2.591540808E+02 8.239354047E+02 5.641275843E-02 8.893784818E+01 5.464651666E+00 1.455842552E+02 1.106215182E-01 1.108585026E-03 1.054064396E-03 1.134232260E-03 5.579526297E-02 1.171179988E-01 1.049841639E-01 1.341841221E-01
EBLSHADE 260 9.909526094E-06 1.118441375E-07 1.499982921E-05 3.393649271E-01 6.125367979E+00 2.982961335E+00 6.370411669E+00 3.847036150E-02 6.316200937E+03 1.395117591E+03 1.000193344E+04 3.683799063E-01 8.953420187E-06 7.381438482E-06 8.961007405E-06 8.474654261E-04 2.886901521E+00 2.405639371E+00 2.923073926E+00 1.237579549E-02 1.415056789E+04 1.336010811E+04 1.417530796E+04 1.745919300E-03 2.553990413E+01 1.000250683E+01 1.263320037E+02 1.553990413E+00 9.974494451E-04 9.599958012E-04 1.128843590E-03 3.900983860E-02 1.001326947E-01 9.950371906E-02 1.177056533E-01
EBLSHADE 270 1.018076212E-05 3.769834707E-07 1.500413527E-05 3.212825256E-01 5.660577683E+00 3.276058616E+00 6.134852441E+00 7.725508038E-02 7.250307975E+03 1.805639492E+03 1.000716101E+04 2.749692025E-01 1.710432373E-05 1.318373261E-05 1.734877350E-05 1.409027770E-02 2.733162439E+00 2.045792196E+00 2.851853899E+00 4.161836569E-02 8.298643425E+03 7.568170586E+03 8.356098103E+03 6.875723424E-03 6.891358324E+01 1.999472496E+01 1.583181306E+02 2.445679162E+00 9.737948506E-04 9.699890911E-04 1.091324468E-03 3.912217122E-03 1.010676176E-01 9.950371913E-02 1.408119432E-01
EBLSHADE 280 1.500504455E-05 1.598294646E-06 1.500504460E-05 3.363031743E-04 5.915842011E+00 3.887889125E+00 5.915842015E+00 7.309197362E-05 9.187056322E+03 2.193284243E+03 1.000563529E+04 8.129436779E-02 3.203743776E-05 2.976079642E-05 3.203960867E-05 6.650730606E-05 2.783271520E+00 2.504580038E+00 2.785724670E+00 8.768900777E-04 5.114855481E+03 4.910184741E+03 5.115284681E+03 8.246925482E-05 2.999046105E+01 2.999046096E+01 1.009895263E+02 3.179648748E-04 9.805324941E-04 9.799936647E-04 1.042625940E-03 5.433612863E-04 9.950387482E-02 9.950371916E-02 1.052472748E-01
EBLSHADE 290 1.394585125E-05 5.712431079E-07 1.500069861E-05 7.027658348E-02 5.620186922E+00 3.316599391E+00 5.711485644E+00 1.597552237E-02 5.602576340E+03 1.473928492E+03 1.000118814E+04 4.397423660E-01 5.669786487E-05 4.984121714E-05 5.671932772E-05 3.780335876E-04 2.716124165E+00 2.220771660E+00 2.724138549E+00 2.941762360E-03 3.237582432E+03 2.986147023E+03 3.239171836E+03 4.902094010E-04 4.227796132E+01 3.999906156E+01 1.117232388E+02 5.694903305E-02 9.991820536E-04 9.899980950E-04 1.107234462E-03 9.274801584E-03 9.970640967E-02 9.950371917E-02 1.118260658E-01
EBLSHADE 300 1.500474254E-05 1.044846700E-05 1.500474258E-05 3.161694468E-04 5.521425606E+00 5.157741433E+00 5.521425610E+00 6.821297066E-05 1.000565318E+04 4.210315934E+03 1.000565321E+04 5.653178255E-04 9.665837317E-05 9.173836021E-05 9.665837317E-05 1.377486265E-06 2.666687881E+00 2.256129066E+00 2.666687881E+00 7.955421912E-06 2.114603511E+03 1.883913611E+03 2.114603511E+03 3.551883063E-06 4.999064581E+01 4.999064572E+01 6.301827951E+01 1.870838116E-04 9.999928236E-04 9.999928235E-04 1.018591992E-03 7.176433268E-06 9.950371926E-02 9.950371926E-02 1.121144790E-01
EBLSHADE 310 9.675037514E-06 2.316499552E-07 1.500784846E-05 3.549974991E-01 4.870006962E+00 2.830192731E+00 5.343554790E+00 8.851732202E-02 3.290311078E+03 1.729131373E+03 1.000887817E+04 6.709688922E-01 1.591513813E-04 1.570161855E-04 1.803460989E-04 1.018996043E-06 2.592677060E+00 1.423250469E+00 2.612948957E+00 7.740878096E-03 1.418643081E+03 1.198152767E+03 1.418968470E+03 2.226004915E-04 7.684847112E+01 5.998400468E+01 1.547406508E+02 2.808078520E-01 1.038358571E-03 1.009989418E-03 1.127026498E-03 2.807779330E-02 1.035754303E-01 9.950371923E-02 2.049635543E-01
