Name I01 n1 Rsh1 I02 n2 Rsh2 Rs Iph rmsre 
% % % % % T=260 % % % %
true_value 1.50000E-05 6.37044E+00 1.00000E+04 8.96101E-06 2.92308E+00 1.41753E+04 1.00000E+01 9.60000E-04 5.55000E+02
DE % % % % % % % % %
MEAN 4.69057E-05 6.30708E+00 2.97192E+04 8.65745E-06 2.71501E+00 1.40692E+04 6.56303E+01 1.16043E-03 1.89083E-01
MEDIAN 2.62622E-06 4.91376E+00 2.07122E+03 8.39149E-06 2.74341E+00 1.38837E+04 5.31154E+01 1.10392E-03 1.36102E-01
STD 1.40807E-04 4.83826E+00 1.19197E+05 1.87434E-06 4.85664E-01 1.10024E+03 6.97079E+01 2.23934E-04 9.49094E-02
IQR 1.90272E-05 3.82747E+00 6.99210E+03 2.07603E-06 8.01925E-01 1.32071E+03 8.70225E+01 2.75091E-04 1.61708E-01
EBLSHADE % % % % % % % % %
MEAN 2.01388E-05 5.49038E+00 7.76643E+03 8.16611E-06 2.67787E+00 1.37765E+04 6.74898E+01 1.08004E-03 1.19451E-01
MEDIAN 9.90953E-06 6.12537E+00 6.31620E+03 8.95342E-06 2.88690E+00 1.41506E+04 2.55399E+01 9.97449E-04 1.00133E-01
STD 4.86370E-05 2.63941E+00 1.04179E+04 1.11268E-06 3.26014E-01 5.46121E+02 6.89751E+01 1.75238E-04 4.15560E-02
IQR 1.48880E-05 3.38745E+00 8.60682E+03 1.57957E-06 5.17435E-01 8.15200E+02 1.16329E+02 1.68848E-04 1.82019E-02
ADELI % % % % % % % % %
MEAN 1.48003E-05 6.35177E+00 9.74887E+03 8.96080E-06 2.92295E+00 1.41751E+04 1.03086E+01 9.60447E-04 9.95037E-02
MEDIAN 1.49998E-05 6.37041E+00 1.00019E+04 8.96101E-06 2.92307E+00 1.41753E+04 1.00025E+01 9.59996E-04 9.95037E-02
STD 5.31369E-07 5.01535E-02 6.44912E+02 5.75513E-10 3.56841E-04 4.83078E-01 8.28714E-01 1.22281E-06 1.83374E-08
IQR 4.36500E-12 3.89500E-07 7.23000E-03 0.00000E+00 2.50000E-09 0.00000E+00 3.90000E-07 6.00000E-13 0.00000E+00
NDE % % % % % % % % %
MEAN 6.14289E-05 8.48588E+00 5.08184E+04 7.64602E-06 2.41768E+00 1.40726E+04 1.30758E+02 5.01164E-03 2.74711E-01
MEDIAN 3.52725E-06 5.19947E+00 2.31607E+03 8.93042E-06 2.90231E+00 1.41535E+04 4.71911E+01 1.08179E-03 1.16520E-01
STD 1.83406E-04 8.33816E+00 1.97124E+05 5.06371E-06 1.06971E+00 3.43420E+03 1.43461E+02 9.54832E-03 2.62947E-01
IQR 6.55127E-06 2.28483E+00 3.15183E+03 5.42428E-06 1.52579E+00 1.85976E+03 1.87806E+02 1.05710E-03 2.96819E-01
MABC % % % % % % % % %
MEAN 8.43696E-05 1.14305E+01 1.51025E+04 6.88795E-06 2.05296E+00 1.30822E+04 1.87992E+02 8.73693E-03 3.29820E-01
MEDIAN 1.39100E-06 9.93725E+00 3.91349E+02 6.47851E-06 1.84359E+00 1.27895E+04 1.13315E+02 1.53906E-03 3.53569E-01
STD 1.72156E-04 8.22054E+00 6.94018E+04 2.38962E-06 6.31622E-01 1.22683E+03 1.71735E+02 1.52181E-02 1.09211E-01
IQR 1.18894E-04 1.18583E+01 6.83317E+02 1.03384E-06 3.99133E-01 4.64595E+02 3.59388E+02 6.93289E-03 1.17934E-01
TLBO % % % % % % % % %
MEAN 1.41354E-05 6.25434E+00 3.61536E+04 8.95928E-06 2.92201E+00 1.41739E+04 1.21722E+01 9.63674E-04 9.95042E-02
MEDIAN 1.49998E-05 6.37041E+00 1.00019E+04 8.96101E-06 2.92307E+00 1.41753E+04 1.00025E+01 9.59996E-04 9.95037E-02
