Name T I01mean I01sd erI01 n1mean n1sd ern1 Rsh1mean Rsh1sd erRsh1 I02mean I02sd erI02 n2mean n2sd ern2 Rsh2mean Rsh2sd erRsh2 Rsmean Rssd erRs Iphmean Iphsd erIph rmsremean rmsresd 
DE 260 4.690569694E-05 1.408073911E-04 2.127046463E+00 6.307081798E+00 4.838257727E+00 9.945834742E-03 2.971917862E+04 1.191968481E+05 1.971917862E+00 8.657450566E-06 1.874339707E-06 3.387605014E-02 2.715012650E+00 4.856637297E-01 7.117988286E-02 1.406918484E+04 1.100241070E+03 7.487099344E-03 6.563027374E+01 6.970792538E+01 5.563027374E+00 1.160428334E-03 2.239340850E-04 2.087795145E-01 1.890832897E-01 9.490939461E-02
DE 270 3.978267903E-05 1.117772329E-04 1.652178602E+00 6.463176555E+00 4.472306047E+00 5.357856812E-02 1.479565330E+04 6.336417494E+04 4.795653299E-01 1.604188701E-05 4.080526400E-06 7.533015540E-02 2.407762924E+00 5.991203277E-01 1.557194942E-01 8.075377875E+03 9.058476674E+02 3.359460102E-02 7.985560769E+01 8.638182761E+01 2.992780384E+00 1.147863962E-03 1.816492894E-04 1.833649089E-01 2.229127110E-01 9.770048432E-02
DE 280 4.039713307E-05 7.823847727E-05 1.693142205E+00 6.473754192E+00 3.763768400E+00 9.438814622E-02 3.434025996E+04 1.028857664E+05 2.434025996E+00 3.196516532E-05 1.198976310E-05 2.322231745E-03 2.437315810E+00 9.939111516E-01 1.250661195E-01 5.166210235E+03 1.352068644E+03 9.957016455E-03 7.487137301E+01 8.654128236E+01 1.495712434E+00 1.162453731E-03 2.040661000E-04 1.861772770E-01 2.699193488E-01 1.419978843E-01
DE 290 3.461592677E-05 7.768084597E-05 1.307728451E+00 6.092155167E+00 3.809638303E+00 6.666021785E-02 2.191583149E+04 9.532756125E+04 1.191583149E+00 6.716476709E-05 3.259628080E-05 1.841605801E-01 2.507833970E+00 1.608985325E+00 7.940271972E-02 4.832065558E+03 7.248541432E+03 4.917602676E-01 8.129308972E+01 1.039419985E+02 1.032327243E+00 1.908096136E-03 5.160919203E-03 9.273698348E-01 3.324999392E-01 1.652938211E-01
DE 300 3.519654804E-05 9.185376166E-05 1.346436536E+00 5.502706764E+00 4.002755043E+00 3.322237300E-03 2.991664851E+04 8.485756799E+04 1.991664851E+00 1.533751856E-04 7.642787806E-05 5.867781736E-01 3.422762922E+00 2.611836574E+00 2.835360954E-01 6.240261487E+03 8.853759017E+03 1.951041942E+00 9.192555575E+01 1.239405100E+02 8.385111150E-01 1.273772826E-03 9.613246360E-04 2.737728256E-01 3.238849708E-01 1.877266862E-01
DE 310 5.279127046E-05 1.469969708E-04 2.519418031E+00 5.837409066E+00 3.939257378E+00 9.254407441E-02 1.083615890E+04 2.649489537E+04 8.361589036E-02 2.979024797E-04 1.215984446E-04 8.718164659E-01 4.247582732E+00 2.450284480E+00 6.256180826E-01 1.146569187E+04 1.665510094E+04 7.080354918E+00 8.020518480E+01 9.465254590E+01 3.367530800E-01 1.175526653E-03 1.639521782E-04 1.638877757E-01 4.171878847E-01 2.101380715E-01
DE 320 7.263298540E-05 1.411651452E-04 3.842199027E+00 6.854945218E+00 5.092061913E+00 3.243754161E-01 9.713470113E+03 2.988427772E+04 2.865298874E-02 5.118732724E-04 4.407467022E-04 1.015187104E+00 6.806871948E+00 7.988244474E+00 1.656340272E+00 7.128169409E+03 1.310613913E+04 6.301921543E+00 7.771480379E+01 9.927352318E+01 1.102114827E-01 1.250385490E-03 2.957531822E-04 2.258681270E-01 5.519296384E-01 2.793181960E-01
DE 330 1.453064377E-05 4.597847493E-05 3.129041548E-02 3.894362511E+00 2.235816849E+00 2.240969492E-01 2.476700849E+04 8.598139790E+04 1.476700849E+00 5.780407447E-04 3.899953960E-04 4.668320001E-01 5.443761534E+00 4.194104728E+00 1.164387116E+00 4.270402254E+03 8.031844153E+03 5.216024729E+00 6.523164201E+01 6.860588063E+01 1.846044749E-01 1.103827245E-03 7.723886832E-05 7.167693689E-02 2.229870682E-01 1.144998519E-01
DE 340 8.798362007E-06 1.068950597E-05 4.134425329E-01 3.656104978E+00 1.422199682E+00 2.494930506E-01 4.321219665E+04 1.434094586E+05 3.321219665E+00 8.498959737E-04 4.030676217E-04 4.265144280E-01 4.923516422E+00 4.088784395E+00 9.928518854E-01 3.608305685E+03 7.724635435E+03 6.310658415E+00 1.005661412E+02 8.114112633E+01 1.174015688E-01 1.085507519E-03 5.688097472E-05 4.375722962E-02 1.355317626E-01 3.751072001E-02
DE 350 8.693971179E-06 1.316867399E-05 4.204019214E-01 3.436538886E+00 1.428873167E+00 2.738163766E-01 2.580811617E+04 9.422102283E+04 1.580811617E+00 1.141065996E-03 7.703239750E-04 2.970820059E-01 6.150655409E+00 5.199007354E+00 1.532622815E+00 1.492216387E+03 2.845002592E+03 3.129409526E+00 9.127054611E+01 7.646286642E+01 8.729453889E-02 1.099675351E-03 4.341131284E-05 4.730985804E-02 1.226822745E-01 2.122943903E-02
