fname time Tem kT_1 n1 Rs ta_n Rsh n2 ta_g Iph Voc Isc Pm FF Vm Im dev 
0T01 10:20:58 294.8 39.33 1.000E+000 7.000E-001 2.244E-006 1.152E+004 2.822E+000 3.581E-008 2.387E-007 1.975E-003 2.387E-007 1.181E-010 2.504E-001 1.000E-003 1.060E-007 1.472E-003 
0T02 10:27:08 295 39.3 1.000E+000 7.000E-001 2.270E-006 1.163E+004 2.817E+000 3.638E-008 2.502E-007 2.083E-003 2.502E-007 1.303E-010 2.500E-001 1.000E-003 1.183E-007 1.466E-003 
0T03 10:29:00 295 39.3 1.000E+000 7.000E-001 2.310E-006 1.181E+004 2.820E+000 3.635E-008 2.401E-007 2.021E-003 2.401E-007 1.215E-010 2.504E-001 1.000E-003 1.097E-007 1.573E-003 
0T11 13:39:08 294.8 39.33 1.000E+000 7.000E-001 2.319E-006 1.140E+004 2.892E+000 3.220E-008 2.147E-007 1.722E-003 2.146E-007 9.238E-011 2.499E-001 9.000E-004 9.018E-008 1.415E-003 
0T12 13:40:58 295 39.3 1.000E+000 7.000E-001 2.308E-006 1.163E+004 2.891E+000 3.246E-008 2.425E-007 1.967E-003 2.425E-007 1.195E-010 2.504E-001 1.000E-003 1.071E-007 1.440E-003 
0T13 13:42:48 295.1 39.29 1.000E+000 7.000E-001 2.330E-006 1.182E+004 2.883E+000 3.287E-008 2.499E-007 2.050E-003 2.499E-007 1.283E-010 2.503E-001 1.000E-003 1.161E-007 1.462E-003 
0T14 13:44:28 295.1 39.29 1.000E+000 7.000E-001 2.325E-006 1.234E+004 2.908E+000 3.163E-008 2.225E-007 1.864E-003 2.225E-007 1.037E-010 2.502E-001 9.000E-004 1.033E-007 1.530E-003 
0T15 13:46:32 295 39.3 1.000E+000 7.000E-001 2.318E-006 1.246E+004 2.902E+000 3.179E-008 2.197E-007 1.859E-003 2.196E-007 1.021E-010 2.502E-001 9.000E-004 1.017E-007 1.484E-003 
0T16 13:48:18 295 39.3 1.000E+000 7.000E-001 2.339E-006 1.244E+004 2.900E+000 3.196E-008 2.205E-007 1.866E-003 2.205E-007 1.029E-010 2.501E-001 9.000E-004 1.026E-007 1.446E-003 
0T17 13:51:18 295.1 39.29 1.000E+000 7.000E-001 2.305E-006 1.334E+004 2.920E+000 3.092E-008 1.896E-007 1.663E-003 1.895E-007 7.883E-011 2.500E-001 8.000E-004 8.714E-008 1.545E-003 
0T18 13:55:52 295.1 39.29 1.000E+000 7.000E-001 2.346E-006 1.326E+004 2.899E+000 3.194E-008 2.191E-007 1.930E-003 2.190E-007 1.058E-010 2.502E-001 1.000E-003 9.440E-008 1.568E-003 
0T19 14:00:06 294.9 39.32 1.000E+000 7.000E-001 2.300E-006 1.333E+004 2.912E+000 3.118E-008 2.129E-007 1.880E-003 2.129E-007 1.001E-010 2.500E-001 9.000E-004 9.985E-008 1.558E-003 
0T20 14:04:54 295.1 39.29 1.000E+000 7.000E-001 2.314E-006 1.329E+004 2.902E+000 3.196E-008 2.497E-007 2.203E-003 2.497E-007 1.378E-010 2.506E-001 1.100E-003 1.140E-007 1.481E-003 
0T21 14:10:28 295.1 39.29 1.000E+000 7.000E-001 2.332E-006 1.337E+004 2.896E+000 3.226E-008 2.614E-007 2.320E-003 2.614E-007 1.518E-010 2.503E-001 1.200E-003 1.152E-007 1.571E-003 
0T22 14:16:32 295 39.3 1.000E+000 7.000E-001 2.298E-006 1.339E+004 2.909E+000 3.161E-008 2.237E-007 1.984E-003 2.236E-007 1.111E-010 2.505E-001 1.000E-003 9.987E-008 1.521E-003 
