fname time Tem kT_1 Rs_EA Rsh_EA If_EA 
001 11:39 273.2 42.44 3.246E+000 2.445E+004 1.097E-004 
002 11:40 273.2 42.44 5.046E+000 3.173E+004 9.597E-005 
003 11:42 273.2 42.44 5.180E+000 3.273E+004 8.338E-005 
004 11:43 273.2 42.44 3.161E+000 3.090E+004 7.206E-005 
005 11:44 273.2 42.44 4.859E+000 3.329E+004 6.156E-005 
006 11:46 273.2 42.44 5.223E+000 5.686E+004 5.134E-005 
007 11:47 273.2 42.44 4.552E+000 3.834E+004 4.261E-005 
008 11:48 273.2 42.44 4.926E+000 8.218E+004 3.652E-005 
009 11:49 273.2 42.44 4.457E+000 1.444E+005 2.960E-005 
010 11:51 273.2 42.44 4.955E+000 8.468E+004 2.347E-005 
011 11:54 273.2 42.44 4.955E+000 8.248E+004 1.788E-005 
012 11:54 273.2 42.44 4.942E+000 8.550E+004 2.291E-005 
013 11:55 273.2 42.44 4.998E+000 8.042E+004 2.979E-005 
014 11:56 273.2 42.44 4.983E+000 7.932E+004 3.768E-005 
015 11:57 273.2 42.44 5.157E+000 3.984E+004 4.503E-005 
016 11:59 273.2 42.44 5.186E+000 2.850E+004 5.471E-005 
017 12:0 273.2 42.44 3.420E+000 4.974E+005 6.527E-005 
018 12:1 273.2 42.44 5.478E+000 3.574E+004 7.626E-005 
019 12:2 273.2 42.44 5.306E+000 2.530E+004 8.899E-005 
020 12:3 273.2 42.44 5.109E+000 4.657E+004 1.023E-004 
021 12:4 273.2 42.44 5.159E+000 3.486E+004 1.172E-004 
022 12:5 273.2 42.44 5.193E+000 4.263E+004 1.327E-004 
