N_Fe N_B T d Jsc_FeB Eta_FeB Voc_FeB FF_FeB
1.000000E+10 1.778E+16 330 3.800E-4 3.768118E+1 1.638460E+1 5.438720E-1 7.994920E+1
1.468000E+10 1.778E+16 330 3.800E-4 3.760144E+1 1.633190E+1 5.433530E-1 7.993740E+1
2.154000E+10 1.778E+16 330 3.800E-4 3.748913E+1 1.625810E+1 5.426320E-1 7.992080E+1
3.162000E+10 1.778E+16 330 3.800E-4 3.733363E+1 1.615680E+1 5.416520E-1 7.989780E+1
4.642000E+10 1.778E+16 330 3.800E-4 3.712331E+1 1.602100E+1 5.403540E-1 7.986640E+1
6.813000E+10 1.778E+16 330 3.800E-4 3.684736E+1 1.584470E+1 5.386410E-1 7.983210E+1
1.000000E+11 1.778E+16 330 3.800E-4 3.649867E+1 1.561790E+1 5.365350E-1 7.975320E+1
1.468000E+11 1.778E+16 330 3.800E-4 3.607694E+1 1.535470E+1 5.340760E-1 7.969090E+1
2.154000E+11 1.778E+16 330 3.800E-4 3.558996E+1 1.505550E+1 5.313140E-1 7.961880E+1
3.162000E+11 1.778E+16 330 3.800E-4 3.505139E+1 1.472790E+1 5.282250E-1 7.954540E+1
4.642000E+11 1.778E+16 330 3.800E-4 3.447541E+1 1.437280E+1 5.248970E-1 7.942540E+1
6.813000E+11 1.778E+16 330 3.800E-4 3.387127E+1 1.400900E+1 5.213930E-1 7.932520E+1
1.000000E+12 1.778E+16 330 3.800E-4 3.324122E+1 1.363150E+1 5.175910E-1 7.922790E+1
1.468000E+12 1.778E+16 330 3.800E-4 3.258246E+1 1.323180E+1 5.135520E-1 7.907720E+1
2.154000E+12 1.778E+16 330 3.800E-4 3.189054E+1 1.282260E+1 5.092750E-1 7.895140E+1
3.162000E+12 1.778E+16 330 3.800E-4 3.116181E+1 1.239050E+1 5.046600E-1 7.878910E+1
4.642000E+12 1.778E+16 330 3.800E-4 3.039399E+1 1.194710E+1 4.998740E-1 7.863470E+1
6.813000E+12 1.778E+16 330 3.800E-4 2.958604E+1 1.148860E+1 4.947350E-1 7.848900E+1
1.000000E+13 1.778E+16 330 3.800E-4 2.873784E+1 1.101020E+1 4.894560E-1 7.827610E+1
1.468000E+13 1.778E+16 330 3.800E-4 2.785020E+1 1.052520E+1 4.838770E-1 7.810280E+1
2.154000E+13 1.778E+16 330 3.800E-4 2.692487E+1 1.002450E+1 4.781410E-1 7.786730E+1
3.162000E+13 1.778E+16 330 3.800E-4 2.596463E+1 9.516400E+0 4.722020E-1 7.761770E+1
4.642000E+13 1.778E+16 330 3.800E-4 2.497330E+1 9.007800E+0 4.660500E-1 7.739430E+1
6.813000E+13 1.778E+16 330 3.800E-4 2.395568E+1 8.491900E+0 4.597960E-1 7.709570E+1
1.000000E+14 1.778E+16 330 3.800E-4 2.291757E+1 7.981800E+0 4.532790E-1 7.683600E+1
