N_B Fe100 Fe140 Fe210 Fe310 Fe460 Fe680 Fe101 Fe141 Fe211 Fe311 Fe461 Fe681 Fe102 Fe142 Fe212 Fe312 Fe462 Fe682 Fe103
Fe 1.000000000E+01 1.016672606E+01 1.033324570E+01 1.049996187E+01 1.066670514E+01 1.083333839E+01 1.100000000E+01 1.116672606E+01 1.133324570E+01 1.149996187E+01 1.166670514E+01 1.183333839E+01 1.200000000E+01 1.216672606E+01 1.233324570E+01 1.249996187E+01 1.266670514E+01 1.283333839E+01 1.300000000E+01
1.500000000E+01 3.495504000E-03 2.479809000E-03 1.740204000E-03 1.211555000E-03 8.389360000E-04 5.789540000E-04 3.988770000E-04 2.747890000E-04 1.895820000E-04 1.312170000E-04 9.130000000E-05 6.403800000E-05 4.590300000E-05 3.299500000E-05 2.418000000E-05 1.815300000E-05 1.402500000E-05 1.113200000E-05 9.085000000E-06
1.600000000E+01 8.731132000E-03 6.452013000E-03 4.691836000E-03 3.365756000E-03 2.389908000E-03 1.686004000E-03 1.186254000E-03 8.357010000E-04 5.919540000E-04 4.249100000E-04 3.082440000E-04 2.285670000E-04 1.738090000E-04 1.359500000E-04 1.093560000E-04 9.013200000E-05 7.563600000E-05 6.416900000E-05 5.469800000E-05
1.700000000E+01 1.750795600E-02 1.269183600E-02 9.141092000E-03 6.553677000E-03 4.694159000E-03 3.377877000E-03 2.459754000E-03 1.830438000E-03 1.395449000E-03 1.094767000E-03 8.825210000E-04 7.274220000E-04 6.093920000E-04 5.158190000E-04 4.389730000E-04 3.741830000E-04 3.184600000E-04 2.708700000E-04 2.289750000E-04
1.549996187E+01 6.224989000E-03 4.531880000E-03 3.247086000E-03 2.297715000E-03 1.611309000E-03 1.123332000E-03 7.807430000E-04 5.423900000E-04 3.776220000E-04 2.642360000E-04 1.864450000E-04 1.331810000E-04 9.673600000E-05 7.179200000E-05 5.466200000E-05 4.280100000E-05 3.444800000E-05 2.838300000E-05 2.378800000E-05
1.649996187E+01 1.147747500E-02 8.447970000E-03 6.150012000E-03 4.433447000E-03 3.173649000E-03 2.264954000E-03 1.619502000E-03 1.166843000E-03 8.525660000E-04 6.358780000E-04 4.867950000E-04 3.836120000E-04 3.108810000E-04 2.578930000E-04 2.175350000E-04 1.853260000E-04 1.585780000E-04 1.357100000E-04 1.158150000E-04
1.674996808E+01 1.384484500E-02 1.012489900E-02 7.343476000E-03 5.288609000E-03 3.792757000E-03 2.720718000E-03 1.963778000E-03 1.436185000E-03 1.071937000E-03 8.213360000E-04 6.478070000E-04 5.251640000E-04 4.354190000E-04 3.668150000E-04 3.120140000E-04 2.665890000E-04 2.279010000E-04 1.943960000E-04 1.652300000E-04
1.624993176E+01 9.859905000E-03 7.279988000E-03 5.301672000E-03 3.814741000E-03 2.720233000E-03 1.929707000E-03 1.367678000E-03 9.730350000E-04 6.985360000E-04 5.089240000E-04 3.785040000E-04 2.888590000E-04 2.268790000E-04 1.833030000E-04 1.519670000E-04 1.279380000E-04 1.088500000E-04 9.303700000E-05 7.956000000E-05
1.574996808E+01 7.473185000E-03 5.490644000E-03 3.967227000E-03 2.827916000E-03 1.995713000E-03 1.399290000E-03 9.780190000E-04 6.836340000E-04 4.794960000E-04 3.410970000E-04 2.461010000E-04 1.782560000E-04 1.316730000E-04 9.979200000E-05 7.802000000E-05 6.256300000E-05 5.144600000E-05 4.306000000E-05 3.646500000E-05
1.524993176E+01 4.712825000E-03 3.383880000E-03 2.397189000E-03 1.681099000E-03 1.170554000E-03 8.113720000E-04 5.610950000E-04 3.879140000E-04 2.686460000E-04 1.867870000E-04 1.307320000E-04 9.239500000E-05 6.620500000E-05 4.830900000E-05 3.606600000E-05 2.764700000E-05 2.180300000E-05 1.766400000E-05 1.463100000E-05
