N_Fe Bo105 Bo175 Bo315 Bo565 Bo106 Bo176 Bo316 Bo566 Bo107
Bo 1.500000000E+01 1.524993176E+01 1.549996187E+01 1.574996808E+01 1.600000000E+01 1.624993176E+01 1.649996187E+01 1.674996808E+01 1.700000000E+01
1.000000000E+01 7.745820000E-04 -6.930510000E-04 2.880115000E-03 6.614137000E-03 1.140504100E-02 1.846547300E-02 2.908905500E-02 4.454065100E-02 6.577019800E-02
1.016672606E+01 5.380810000E-04 -4.918900000E-04 1.970182000E-03 4.580011000E-03 8.013884000E-03 1.323001600E-02 2.131478700E-02 3.336724000E-02 5.033577600E-02
1.033324570E+01 3.716070000E-04 -3.435020000E-04 1.346419000E-03 3.157337000E-03 5.592355000E-03 9.402090000E-03 1.550820000E-02 2.488601200E-02 3.842454100E-02
1.049996187E+01 2.556190000E-04 -2.365770000E-04 9.199140000E-04 2.169271000E-03 3.880072000E-03 6.630205000E-03 1.119794500E-02 1.847828700E-02 2.933123300E-02
1.066670514E+01 1.753990000E-04 -1.606260000E-04 6.288640000E-04 1.486880000E-03 2.679908000E-03 4.643547000E-03 8.021350000E-03 1.364178000E-02 2.238453200E-02
1.083333839E+01 1.202200000E-04 -1.070700000E-04 4.306290000E-04 1.017750000E-03 1.845088000E-03 3.234602000E-03 5.703278000E-03 1.000139400E-02 1.704487200E-02
1.100000000E+01 8.243700000E-05 -6.928800000E-05 2.958930000E-04 6.964390000E-04 1.268194000E-03 2.245410000E-03 4.032145000E-03 7.282669000E-03 1.292276100E-02
1.116672606E+01 5.668300000E-05 -4.247800000E-05 2.046060000E-04 4.771840000E-04 8.717900000E-04 1.557305000E-03 2.843107000E-03 5.278309000E-03 9.749812000E-03
1.133324570E+01 3.922600000E-05 -2.323600000E-05 1.429660000E-04 3.281030000E-04 6.008310000E-04 1.082683000E-03 2.007949000E-03 3.823905000E-03 7.334214000E-03
1.149996187E+01 2.748900000E-05 -9.411000000E-06 1.014570000E-04 2.271330000E-04 4.166240000E-04 7.579190000E-04 1.428336000E-03 2.785417000E-03 5.524196000E-03
1.166670514E+01 1.968800000E-05 2.820000000E-07 7.344300000E-05 1.589740000E-04 2.920880000E-04 5.373870000E-04 1.030198000E-03 2.053933000E-03 4.188946000E-03
1.183333839E+01 1.458500000E-05 6.548000000E-06 5.430300000E-05 1.130470000E-04 2.083300000E-04 3.886230000E-04 7.587230000E-04 1.542838000E-03 3.213785000E-03
1.200000000E+01 1.130600000E-05 9.860000000E-06 4.095000000E-05 8.209600000E-05 1.522140000E-04 2.886410000E-04 5.738570000E-04 1.185450000E-03 2.501919000E-03
1.216672606E+01 -8.694000000E-06 1.088700000E-05 3.142100000E-05 6.118300000E-05 1.146060000E-04 2.212260000E-04 4.468740000E-04 9.323450000E-04 1.976729000E-03
1.233324570E+01 -1.764000000E-06 1.046800000E-05 2.450000000E-05 4.695700000E-05 8.920000000E-05 1.751090000E-04 3.577330000E-04 7.485770000E-04 1.581679000E-03
1.249996187E+01 1.591000000E-06 9.369000000E-06 1.947700000E-05 3.717500000E-05 7.170100000E-05 1.426360000E-04 2.929380000E-04 6.106750000E-04 1.277527000E-03
1.266670514E+01 2.961000000E-06 8.124000000E-06 1.580600000E-05 3.029500000E-05 5.924100000E-05 1.188140000E-04 2.438180000E-04 5.035590000E-04 1.038116000E-03
1.283333839E+01 3.362000000E-06 6.970000000E-06 1.310600000E-05 2.530000000E-05 4.996500000E-05 1.004960000E-04 2.050070000E-04 4.177800000E-04 8.461850000E-04
1.300000000E+01 3.339000000E-06 5.997000000E-06 1.107300000E-05 2.151600000E-05 4.272200000E-05 8.575500000E-05 1.732330000E-04 3.474430000E-04 6.902480000E-04
