N_B d154 d184 d214 d244
d 150 180 210 240
1.500000000E+01 -1.647651300E-02 -1.380874300E-02 -1.159614500E-02 -1.093609200E-02
1.600000000E+01 3.110863100E-02 3.080014500E-02 3.053429100E-02 2.957927000E-02
1.700000000E+01 6.207158300E-02 6.084779300E-02 5.919053500E-02 5.927353400E-02
1.549996187E+01 2.135406600E-02 2.089357600E-02 2.212117400E-02 2.258778900E-02
1.649996187E+01 5.227775900E-02 5.087428700E-02 5.042245100E-02 4.994974100E-02
1.674996808E+01 5.996785300E-02 5.745048300E-02 5.740930800E-02 5.722899300E-02
1.624993176E+01 4.043812400E-02 3.986416200E-02 3.930892000E-02 3.895605500E-02
1.574996808E+01 2.622481500E-02 2.633953700E-02 2.570580500E-02 2.624075100E-02
1.524993176E+01 9.343120000E-03 1.023569000E-02 1.147405200E-02 1.229422500E-02
