Fe JscF EtaF VocF FFF JscFB EtaFB VocFB FFFB eJsc eEta eVoc eFF
1.000000E+10 7.541426E-1 2.352450E+1 4.175780E-1 7.470160E+1 7.563437E-1 2.379240E+1 4.162570E-1 7.557150E+1 2.9101849E-01 1.1259898E+00 -3.1735202E-01 1.1510953E+00
1.468000E+10 7.521481E-1 2.323850E+1 4.161970E-1 7.423450E+1 7.553058E-1 2.361050E+1 4.144790E-1 7.541900E+1 4.1806908E-01 1.5755702E+00 -4.1449627E-01 1.5705591E+00
2.154000E+10 7.492846E-1 2.285830E+1 4.141460E-1 7.366200E+1 7.538002E-1 2.336300E+1 4.120520E-1 7.521780E+1 5.9904468E-01 2.1602534E+00 -5.0818829E-01 2.0683934E+00
3.162000E+10 7.452134E-1 2.236800E+1 4.110850E-1 7.301550E+1 7.516283E-1 2.303490E+1 4.087590E-1 7.497510E+1 8.5346707E-01 2.8951721E+00 -5.6903946E-01 2.6136677E+00
4.642000E+10 7.395046E-1 2.176210E+1 4.063870E-1 7.241350E+1 7.485190E-1 2.261250E+1 4.044260E-1 7.469770E+1 1.2042981E+00 3.7607518E+00 -4.8488475E-01 3.0579255E+00
6.813000E+10 7.316511E-1 2.103990E+1 3.995480E-1 7.197330E+1 7.441164E-1 2.208700E+1 3.990400E-1 7.438410E+1 1.6751815E+00 4.7407978E+00 -1.2730553E-01 3.2410152E+00
1.000000E+11 7.211215E-1 2.021250E+1 3.901450E-1 7.184330E+1 7.379774E-1 2.145430E+1 3.924850E-1 7.407130E+1 2.2840672E+00 5.7881171E+00 5.9620113E-01 3.0079126E+00
1.468000E+11 7.074659E-1 1.929400E+1 3.790170E-1 7.195450E+1 7.295943E-1 2.071740E+1 3.849350E-1 7.376780E+1 3.0329733E+00 6.8705533E+00 1.5374024E+00 2.4581186E+00
2.154000E+11 6.904607E-1 1.830450E+1 3.677650E-1 7.208550E+1 7.184592E-1 1.988390E+1 3.766880E-1 7.347140E+1 3.8970202E+00 7.9431098E+00 2.3688039E+00 1.8863122E+00
3.162000E+11 6.702288E-1 1.726890E+1 3.574040E-1 7.209110E+1 7.041773E-1 1.896710E+1 3.680950E-1 7.317430E+1 4.8210160E+00 8.9533983E+00 2.9044133E+00 1.4803011E+00
4.642000E+11 6.472300E-1 1.621280E+1 3.481450E-1 7.195140E+1 6.866049E-1 1.798620E+1 3.595210E-1 7.286330E+1 5.7347246E+00 9.8597814E+00 3.1642102E+00 1.2515217E+00
6.813000E+11 6.220674E-1 1.515650E+1 3.398130E-1 7.170050E+1 6.659389E-1 1.696430E+1 3.511930E-1 7.253640E+1 6.5879167E+00 1.0656496E+01 3.2403835E+00 1.1523869E+00
1.000000E+12 5.952062E-1 1.410860E+1 3.320360E-1 7.138920E+1 6.426666E-1 1.592460E+1 3.432500E-1 7.218940E+1 7.3849178E+00 1.1403740E+01 3.2670066E+00 1.1084730E+00
1.468000E+12 5.668037E-1 1.306670E+1 3.245540E-1 7.103070E+1 6.173537E-1 1.488420E+1 3.357070E-1 7.181750E+1 8.1881748E+00 1.2210935E+01 3.3222423E+00 1.0955547E+00
2.154000E+12 5.367723E-1 1.202330E+1 3.171480E-1 7.062740E+1 5.903896E-1 1.384950E+1 3.284680E-1 7.141720E+1 9.0816810E+00 1.3186036E+01 3.4463022E+00 1.1058961E+00
3.162000E+12 5.050019E-1 1.097400E+1 3.096660E-1 7.017450E+1 5.618686E-1 1.281730E+1 3.213170E-1 7.099520E+1 1.0120996E+01 1.4381344E+01 3.6260142E+00 1.1559936E+00
4.642000E+12 4.715634E-1 9.921700E+0 3.019110E-1 6.968980E+1 5.316865E-1 1.178100E+1 3.140600E-1 7.055300E+1 1.1307998E+01 1.5782192E+01 3.8683691E+00 1.2234774E+00
6.813000E+12 4.367814E-1 8.877000E+0 2.938920E-1 6.915370E+1 4.997604E-1 1.073780E+1 3.066540E-1 7.006590E+1 1.2601839E+01 1.7329434E+01 4.1616936E+00 1.3019172E+00
1.000000E+13 4.011736E-1 7.854600E+0 2.855920E-1 6.855630E+1 4.662072E-1 9.692300E+0 2.990300E-1 6.952380E+1 1.3949506E+01 1.8960412E+01 4.4938635E+00 1.3916098E+00
1.468000E+13 3.653748E-1 6.870600E+0 2.769840E-1 6.788990E+1 4.313799E-1 8.655900E+0 2.910850E-1 6.893410E+1 1.5300922E+01 2.0625238E+01 4.8442895E+00 1.5147801E+00
2.154000E+13 3.300464E-1 5.940000E+0 2.680310E-1 6.714650E+1 3.958213E-1 7.643700E+0 2.827880E-1 6.828820E+1 1.6617322E+01 2.2288944E+01 5.2183968E+00 1.6718847E+00
3.162000E+13 2.958196E-1 5.074800E+0 2.586880E-1 6.631560E+1 3.601670E-1 6.671700E+0 2.741600E-1 6.756590E+1 1.7865990E+01 2.3935429E+01 5.6434199E+00 1.8504897E+00
4.642000E+13 2.632500E-1 4.284100E+0 2.488950E-1 6.538460E+1 3.250729E-1 5.754400E+0 2.651710E-1 6.675600E+1 1.9018165E+01 2.5550883E+01 6.1379261E+00 2.0543472E+00
6.813000E+13 2.327876E-1 3.573000E+0 2.385680E-1 6.433660E+1 2.911590E-1 4.903900E+0 2.557870E-1 6.584680E+1 2.0047946E+01 2.7139624E+01 6.7317729E+00 2.2935055E+00
1.000000E+14 2.047624E-1 2.942800E+0 2.275900E-1 6.314880E+1 2.589668E-1 4.129000E+0 2.459620E-1 6.482280E+1 2.0931023E+01 2.8728506E+01 7.4694465E+00 2.5824247E+00
