Fe JscF EtaF VocF FFF JscFB EtaFB VocFB FFFB eJsc eEta eVoc eFF
1.000000E+10 7.543975E-1 2.258840E+1 4.051160E-1 7.391040E+1 7.564499E-1 2.284230E+1 4.039360E-1 7.475620E+1 2.7132002E-01 1.1115343E+00 -2.9212549E-01 1.1314112E+00
1.468000E+10 7.524559E-1 2.230240E+1 4.036860E-1 7.342220E+1 7.553945E-1 2.265360E+1 4.021570E-1 7.457080E+1 3.8901528E-01 1.5503055E+00 -3.8019977E-01 1.5402812E+00
2.154000E+10 7.496680E-1 2.192170E+1 4.015550E-1 7.282150E+1 7.538643E-1 2.239770E+1 3.996960E-1 7.433280E+1 5.5663864E-01 2.1252182E+00 -4.6510348E-01 2.0331536E+00
3.162000E+10 7.457042E-1 2.143290E+1 3.982990E-1 7.216150E+1 7.516581E-1 2.205910E+1 3.962810E-1 7.405680E+1 7.9210215E-01 2.8387378E+00 -5.0923461E-01 2.5592518E+00
4.642000E+10 7.401455E-1 2.083130E+1 3.934150E-1 7.153990E+1 7.485027E-1 2.162550E+1 3.918870E-1 7.372440E+1 1.1165224E+00 3.6725162E+00 -3.8990832E-01 2.9630624E+00
6.813000E+10 7.324976E-1 2.011860E+1 3.862790E-1 7.110340E+1 7.440405E-1 2.108920E+1 3.862580E-1 7.338150E+1 1.5513806E+00 4.6023557E+00 -5.4367806E-03 3.1044609E+00
1.000000E+11 7.222412E-1 1.930510E+1 3.766490E-1 7.096640E+1 7.378292E-1 2.044840E+1 3.794970E-1 7.302890E+1 2.1126841E+00 5.5911465E+00 7.5046707E-01 2.8242244E+00
1.468000E+11 7.089345E-1 1.840650E+1 3.654030E-1 7.105470E+1 7.293672E-1 1.970730E+1 3.716230E-1 7.270720E+1 2.8014284E+00 6.6005998E+00 1.6737392E+00 2.2728148E+00
2.154000E+11 6.923531E-1 1.744460E+1 3.541040E-1 7.115430E+1 7.181614E-1 1.887660E+1 3.630020E-1 7.240930E+1 3.5936629E+00 7.5861119E+00 2.4512262E+00 1.7332028E+00
3.162000E+11 6.726058E-1 1.644270E+1 3.437070E-1 7.112570E+1 7.038420E-1 1.797110E+1 3.540580E-1 7.211520E+1 4.4379562E+00 8.5047660E+00 2.9235323E+00 1.3721102E+00
4.642000E+11 6.501268E-1 1.542530E+1 3.343860E-1 7.095570E+1 6.862965E-1 1.701050E+1 3.451880E-1 7.180410E+1 5.2702731E+00 9.3189501E+00 3.1293092E+00 1.1815481E+00
6.813000E+11 6.254892E-1 1.441050E+1 3.259620E-1 7.067930E+1 6.657465E-1 1.601760E+1 3.366760E-1 7.146240E+1 6.0469413E+00 1.0033338E+01 3.1822880E+00 1.0958210E+00
1.000000E+12 5.991335E-1 1.340600E+1 3.181530E-1 7.033010E+1 6.426797E-1 1.501420E+1 3.286420E-1 7.108620E+1 6.7757236E+00 1.0711193E+01 3.1916188E+00 1.0636382E+00
1.468000E+12 5.712014E-1 1.240870E+1 3.106520E-1 6.993010E+1 6.176300E-1 1.401470E+1 3.210190E-1 7.068470E+1 7.5172190E+00 1.1459396E+01 3.2294039E+00 1.0675578E+00
2.154000E+12 5.415954E-1 1.141100E+1 3.031480E-1 6.950140E+1 5.909342E-1 1.302300E+1 3.136260E-1 7.026850E+1 8.3492883E+00 1.2378100E+01 3.3409220E+00 1.0916698E+00
3.162000E+12 5.101950E-1 1.040820E+1 2.955470E-1 6.902620E+1 5.626402E-1 1.203460E+1 3.063530E-1 6.982010E+1 9.3212678E+00 1.3514367E+01 3.5273035E+00 1.1370651E+00
4.642000E+12 4.770575E-1 9.403100E+0 2.877580E-1 6.849700E+1 5.326230E-1 1.104280E+1 2.990520E-1 6.932870E+1 1.0432426E+01 1.4848589E+01 3.7766007E+00 1.1996475E+00
6.813000E+12 4.424896E-1 8.405300E+0 2.797270E-1 6.790740E+1 5.008048E-1 1.004520E+1 2.915280E-1 6.880380E+1 1.1644297E+01 1.6325210E+01 4.0479817E+00 1.3028350E+00
1.000000E+13 4.070011E-1 7.429000E+0 2.713460E-1 6.726870E+1 4.673172E-1 9.047100E+0 2.837210E-1 6.823500E+1 1.2906886E+01 1.7885289E+01 4.3616793E+00 1.4161354E+00
1.468000E+13 3.712177E-1 6.489400E+0 2.626360E-1 6.656150E+1 4.325317E-1 8.059800E+0 2.756360E-1 6.760370E+1 1.4175608E+01 1.9484354E+01 4.7163651E+00 1.5416316E+00
2.154000E+13 3.358013E-1 5.600700E+0 2.535790E-1 6.577290E+1 3.969961E-1 7.097800E+0 2.672410E-1 6.690160E+1 1.5414459E+01 2.1092451E+01 5.1122395E+00 1.6871046E+00
3.162000E+13 3.013913E-1 4.774700E+0 2.441350E-1 6.489140E+1 3.613488E-1 6.176300E+0 2.585080E-1 6.611920E+1 1.6592694E+01 2.2693198E+01 5.5599827E+00 1.8569493E+00
4.642000E+13 2.685889E-1 4.020300E+0 2.342470E-1 6.389950E+1 3.262476E-1 5.308900E+0 2.494010E-1 6.524700E+1 1.7673295E+01 2.4272448E+01 6.0761585E+00 2.0652291E+00
6.813000E+13 2.378028E-1 3.342000E+0 2.238390E-1 6.278500E+1 2.923456E-1 4.507100E+0 2.398780E-1 6.426960E+1 1.8656959E+01 2.5850325E+01 6.6863155E+00 2.3099568E+00
1.000000E+14 2.094129E-1 2.741600E+0 2.128010E-1 6.152060E+1 2.601289E-1 3.778400E+0 2.298970E-1 6.318090E+1 1.9496488E+01 2.7440186E+01 7.4363737E+00 2.6278511E+00
