Fe JscF EtaF VocF FFF JscFB EtaFB VocFB FFFB eJsc eEta eVoc eFF
1.000000E+10 7.538762E-1 2.446410E+1 4.300520E-1 7.545870E+1 7.562132E-1 2.474350E+1 4.286120E-1 7.634030E+1 3.0903983E-01 1.1291854E+00 -3.3596820E-01 1.1548291E+00
1.468000E+10 7.518299E-1 2.417890E+1 4.287170E-1 7.501480E+1 7.551880E-1 2.456780E+1 4.268340E-1 7.621720E+1 4.4467073E-01 1.5829663E+00 -4.4115511E-01 1.5775967E+00
2.154000E+10 7.488918E-1 2.379810E+1 4.267350E-1 7.446720E+1 7.537004E-1 2.432810E+1 4.244250E-1 7.605170E+1 6.3799887E-01 2.1785507E+00 -5.4426577E-01 2.0834511E+00
3.162000E+10 7.447145E-1 2.330740E+1 4.237890E-1 7.385060E+1 7.515531E-1 2.400920E+1 4.212380E-1 7.583850E+1 9.0992905E-01 2.9230462E+00 -6.0559589E-01 2.6212280E+00
4.642000E+10 7.388569E-1 2.269720E+1 4.193700E-1 7.325120E+1 7.484768E-1 2.359710E+1 4.170150E-1 7.560130E+1 1.2852636E+00 3.8136042E+00 -5.6472789E-01 3.1085444E+00
6.813000E+10 7.307989E-1 2.196650E+1 4.127440E-1 7.282530E+1 7.441164E-1 2.308110E+1 4.117920E-1 7.532470E+1 1.7897066E+00 4.8290593E+00 -2.3118468E-01 3.3181679E+00
1.000000E+11 7.199964E-1 2.112460E+1 4.036050E-1 7.269470E+1 7.380270E-1 2.245610E+1 4.054580E-1 7.504430E+1 2.4430814E+00 5.9293466E+00 4.5701404E-01 3.1309507E+00
1.468000E+11 7.059901E-1 2.018450E+1 3.926400E-1 7.281580E+1 7.296948E-1 2.172230E+1 3.982400E-1 7.475140E+1 3.2485774E+00 7.0793608E+00 1.4061872E+00 2.5893829E+00
2.154000E+11 6.885564E-1 1.916620E+1 3.814480E-1 7.297280E+1 7.185981E-1 2.088530E+1 3.903400E-1 7.445810E+1 4.1805983E+00 8.2311482E+00 2.2780140E+00 1.9948132E+00
3.162000E+11 6.678316E-1 1.809510E+1 3.711320E-1 7.300710E+1 7.043195E-1 1.995720E+1 3.820120E-1 7.417440E+1 5.1805892E+00 9.3304672E+00 2.8480781E+00 1.5737235E+00
4.642000E+11 6.443018E-1 1.699890E+1 3.619140E-1 7.290000E+1 6.866868E-1 1.895580E+1 3.736500E-1 7.387870E+1 6.1723918E+00 1.0323489E+01 3.1409073E+00 1.3247391E+00
6.813000E+11 6.186023E-1 1.589920E+1 3.536000E-1 7.268630E+1 6.658744E-1 1.790440E+1 3.655140E-1 7.356380E+1 7.0992518E+00 1.1199482E+01 3.2595195E+00 1.1928421E+00
1.000000E+12 5.912258E-1 1.480610E+1 3.458950E-1 7.240060E+1 6.423682E-1 1.682800E+1 3.577520E-1 7.322600E+1 7.9615398E+00 1.2015094E+01 3.3143071E+00 1.1271953E+00
1.468000E+12 5.623474E-1 1.371810E+1 3.385200E-1 7.206180E+1 6.167634E-1 1.574590E+1 3.503730E-1 7.286480E+1 8.8228322E+00 1.2878273E+01 3.3829662E+00 1.1020410E+00
2.154000E+12 5.318908E-1 1.262790E+1 3.311900E-1 7.168560E+1 5.894994E-1 1.466710E+1 3.431690E-1 7.250280E+1 9.7724612E+00 1.3903226E+01 3.4906999E+00 1.1271289E+00
3.162000E+12 4.997559E-1 1.153110E+1 3.237030E-1 7.127960E+1 5.607174E-1 1.359010E+1 3.360940E-1 7.211370E+1 1.0872054E+01 1.5150735E+01 3.6867662E+00 1.1566457E+00
4.642000E+12 4.660266E-1 1.043100E+1 3.160290E-1 7.082560E+1 5.303370E-1 1.250850E+1 3.290150E-1 7.168670E+1 1.2126327E+01 1.6608706E+01 3.9469325E+00 1.2011991E+00
6.813000E+12 4.310387E-1 9.338900E+0 3.081210E-1 7.031670E+1 4.982738E-1 1.141910E+1 3.217220E-1 7.123310E+1 1.3493605E+01 1.8216847E+01 4.2275629E+00 1.2864806E+00
1.000000E+13 3.953267E-1 8.270300E+0 2.999440E-1 6.974730E+1 4.646281E-1 1.032590E+1 3.141570E-1 7.074180E+1 1.4915456E+01 1.9907224E+01 4.5241710E+00 1.4058166E+00
1.468000E+13 3.595284E-1 7.242100E+0 2.913880E-1 6.912930E+1 4.297445E-1 9.240400E+0 3.063260E-1 7.019350E+1 1.6339034E+01 2.1625687E+01 4.8765041E+00 1.5160948E+00
2.154000E+13 3.243038E-1 6.269800E+0 2.824910E-1 6.843790E+1 3.941570E-1 8.178300E+0 2.982020E-1 6.957960E+1 1.7722177E+01 2.3336146E+01 5.2685763E+00 1.6408545E+00
3.162000E+13 2.902744E-1 5.366100E+0 2.732180E-1 6.766110E+1 3.584986E-1 7.156200E+0 2.897530E-1 6.889220E+1 1.9030535E+01 2.5014673E+01 5.7065846E+00 1.7869948E+00
4.642000E+13 2.579805E-1 4.540100E+0 2.635120E-1 6.678530E+1 3.234227E-1 6.189700E+0 2.808960E-1 6.813240E+1 2.0234263E+01 2.6650726E+01 6.1887674E+00 1.9771797E+00
6.813000E+13 2.278525E-1 3.797000E+0 2.532900E-1 6.579190E+1 2.895457E-1 5.291500E+0 2.716420E-1 6.727730E+1 2.1306896E+01 2.8243409E+01 6.7559508E+00 2.2078770E+00
1.000000E+14 2.001992E-1 3.138200E+0 2.424330E-1 6.465850E+1 2.574040E-1 4.471200E+0 2.619620E-1 6.630860E+1 2.2223742E+01 2.9813026E+01 7.4548980E+00 2.4885158E+00
