fname time Tem kT_1 I01 n1 Rsh1 I02 n2 Rsh2 Rs Iph Voc Isc FF Pm Vm Im rmsre 
00L2 30264 294 39.436 9.256807673E-11 2.444948639E+00 1.454064005E+04 4.933408805E-05 3.208343194E+00 3.153892283E+03 0.000000000E+00 1.249182000E-04 4.599843666E-01 1.171054005E-04 4.374481256E-01 2.356386660E-05 2.876922285E-01 8.190750647E-05 1.180913945E+00 
00L3 30790 295.04 39.297 6.455967492E-11 2.381165573E+00 1.400235548E+04 5.193599484E-05 3.166520356E+00 2.992064170E+03 0.000000000E+00 1.248613120E-04 4.574357407E-01 1.170356142E-04 4.379545799E-01 2.344645588E-05 2.853814995E-01 8.215918000E-05 1.152297511E+00 
00L4 31440 296.04 39.164 5.191135367E-11 2.314367801E+00 1.455607140E+04 5.305778087E-05 3.440789695E+00 2.852181660E+03 0.000000000E+00 1.248066120E-04 4.567037430E-01 1.171065114E-04 4.425042697E-01 2.366644793E-05 2.860526733E-01 8.273789460E-05 1.167755137E+00 
00L5 32068 297.03 39.034 5.158104032E-11 2.300434087E+00 1.463476432E+04 5.756056958E-05 3.593545532E+00 2.712583536E+03 0.000000000E+00 1.247524590E-04 4.556574116E-01 1.171752667E-04 4.429060072E-01 2.364753953E-05 2.869747187E-01 8.240273313E-05 1.339373666E+00 
00L6 32698 298.02 38.904 7.480516295E-11 2.379672803E+00 1.499423097E+04 7.277915104E-05 3.838390002E+00 2.759632980E+03 0.000000000E+00 1.246983060E-04 4.538806805E-01 1.170459962E-04 4.458879811E-01 2.368776172E-05 2.860136328E-01 8.281977056E-05 1.171488213E+00 
00L7 33328 299.03 38.773 5.672204085E-11 2.314352865E+00 1.484965014E+04 7.470907139E-05 3.925335744E+00 2.607162739E+03 0.000000000E+00 1.246430590E-04 4.516383636E-01 1.170745937E-04 4.492471045E-01 2.375411043E-05 2.877515932E-01 8.254992563E-05 1.422876123E+00 
00L8 33962 300.02 38.645 6.638445618E-11 2.326334584E+00 1.514059908E+04 8.411379914E-05 4.197398261E+00 2.533617949E+03 0.000000000E+00 1.245889060E-04 4.492398956E-01 1.169491367E-04 4.512403923E-01 2.370736610E-05 2.871900389E-01 8.255108523E-05 1.418219556E+00 
00L9 34596 301.02 38.516 5.632396169E-11 2.296410521E+00 1.492318180E+04 8.756202253E-05 4.186108309E+00 2.421765143E+03 0.000000000E+00 1.245342060E-04 4.499219269E-01 1.170171986E-04 4.514964098E-01 2.377065545E-05 2.876489031E-01 8.263788803E-05 1.554925180E+00 
0L10 35230 302.02 38.389 4.726855532E-11 2.272354104E+00 1.491493781E+04 9.783522421E-05 4.468136168E+00 2.383437293E+03 0.000000000E+00 1.244795060E-04 4.470666908E-01 1.166815146E-04 4.554624530E-01 2.375893406E-05 2.878023804E-01 8.254787667E-05 2.412663052E+00 
0L11 35856 303.03 38.261 3.854263600E-11 2.215933242E+00 1.485365856E+04 9.986865392E-05 4.622592196E+00 2.266396686E+03 0.000000000E+00 1.244242590E-04 4.460753437E-01 1.167702122E-04 4.552637130E-01 2.371391858E-05 2.862300659E-01 8.285307193E-05 1.965246468E+00 
