fname time Tem kT_1 A Rs Io Rsh Iph Voc Isc Pm FF dev 
0002 8:35:32 291.3 39.8 1.930E+001 9.185E-015 6.910E-009 4.417E+005 6.809E-006 3.507E-001 6.802E-006 1.347E-006 5.648E-001 1.675E-002 
0004 9:11:52 295.7 39.21 1.966E+001 1.393E-013 6.938E-009 4.403E+005 6.450E-006 3.412E-001 6.443E-006 1.235E-006 5.616E-001 1.192E-002 
0006 9:46:12 300.4 38.6 1.984E+001 2.367E-012 7.600E-009 4.392E+005 6.292E-006 3.322E-001 6.284E-006 1.166E-006 5.584E-001 4.714E-002 
0008 10:17:06 304.4 38.09 1.890E+001 1.725E-014 1.286E-008 6.127E+005 6.140E-006 3.217E-001 6.127E-006 1.098E-006 5.569E-001 6.887E-002 
0010 10:58:46 309.4 37.47 1.933E+001 1.382E-014 1.376E-008 6.192E+005 6.009E-006 3.100E-001 5.996E-006 1.031E-006 5.549E-001 1.435E-002 
0012 11:40:58 316.8 36.6 2.028E+001 1.440E-012 1.287E-008 4.629E+005 5.634E-006 2.940E-001 5.621E-006 8.968E-007 5.426E-001 9.025E-003 
0014 12:17:14 320.9 36.13 2.057E+001 4.893E+001 1.426E-008 4.522E+005 5.436E-006 2.830E-001 5.422E-006 8.236E-007 5.368E-001 5.733E-003 
0016 12:59:16 328.1 35.34 2.080E+001 5.591E+001 1.887E-008 4.376E+005 5.185E-006 2.640E-001 5.165E-006 7.164E-007 5.253E-001 7.361E-003 
0018 13:35:44 333.1 34.81 2.140E+001 1.518E+002 2.023E-008 3.951E+005 4.973E-006 2.508E-001 4.951E-006 6.409E-007 5.161E-001 2.731E-003 
0020 14:11:28 338.2 34.28 2.127E+001 1.675E+002 2.698E-008 3.806E+005 5.209E-006 2.413E-001 5.179E-006 6.369E-007 5.096E-001 1.448E-002 
0022 14:54:26 343.3 33.77 2.166E+001 1.949E+002 3.039E-008 3.452E+005 4.976E-006 2.288E-001 4.943E-006 5.643E-007 4.991E-001 1.375E-003 
