fname time Tem kT_1 n1 Rs Io1 Rsh n2 Io2 dev  
001_320 001_320.dat 320 36.23 1.000000000E+00 1.000000000E+00 0.000000000E+00 1.609568781E-14 1.000000000E+20 1.260658609E+00 2.004250088E-15 1.249497461E-04 
001_320_SRH 001_320_srh.dat 320 36.23 1.000000000E+00 1.000000000E+00 0.000000000E+00 2.792521336E-15 1.000000000E+20 1.307085042E+00 1.843335028E-15 7.847217361E-04 
002_320 002_320.dat 320 36.23 1.000000000E+00 1.000000000E+00 0.000000000E+00 1.734207713E-14 1.000000000E+20 1.273891734E+00 2.861279474E-15 1.802255557E-04 
002_320_SRH 002_320_srh.dat 320 36.23 1.000000000E+00 1.000000000E+00 0.000000000E+00 4.079078207E-15 1.000000000E+20 1.307143270E+00 2.705424604E-15 7.882143410E-04 
003_320 003_320.dat 320 36.23 1.000000000E+00 1.000000000E+00 0.000000000E+00 1.914854151E-14 1.000000000E+20 1.283798670E+00 4.122390930E-15 2.479248904E-04 
003_320_SRH 003_320_srh.dat 320 36.23 1.000000000E+00 1.000000000E+00 0.000000000E+00 5.945243135E-15 1.000000000E+20 1.307227622E+00 3.970550262E-15 7.933218349E-04 
004_320 004_320.dat 320 36.23 1.000000000E+00 1.000000000E+00 0.000000000E+00 2.175412241E-14 1.000000000E+20 1.291054607E+00 5.975433892E-15 3.260096975E-04 
004_320_SRH 004_320_srh.dat 320 36.23 1.000000000E+00 1.000000000E+00 0.000000000E+00 8.637716777E-15 1.000000000E+20 1.307349031E+00 5.826978551E-15 8.007781065E-04 
005_320 005_320.dat 320 36.23 1.000000000E+00 1.000000000E+00 0.000000000E+00 2.548482504E-14 1.000000000E+20 1.296310724E+00 8.696075079E-15 4.110046018E-04 
005_320_SRH 005_320_srh.dat 320 36.23 1.000000000E+00 1.000000000E+00 0.000000000E+00 1.249289971E-14 1.000000000E+20 1.307522298E+00 8.550759098E-15 8.116359132E-04 
006_320 006_320.dat 320 36.23 1.000000000E+00 1.000000000E+00 0.000000000E+00 3.077050240E-14 1.000000000E+20 1.300124778E+00 1.268857555E-14 4.990718168E-04 
006_320_SRH 006_320_srh.dat 320 36.23 1.000000000E+00 1.000000000E+00 0.000000000E+00 1.795403335E-14 1.000000000E+20 1.307766533E+00 1.254651201E-14 8.273913056E-04 
007_320 007_320.dat 320 36.23 1.000000000E+00 1.000000000E+00 0.000000000E+00 3.815046279E-14 1.000000000E+20 1.302943475E+00 1.854543081E-14 5.875461449E-04 
007_320_SRH 007_320_srh.dat 320 36.23 1.000000000E+00 1.000000000E+00 0.000000000E+00 2.557642270E-14 1.000000000E+20 1.308104839E+00 1.840707106E-14 8.501363338E-04 
008_320 008_320.dat 320 36.23 1.000000000E+00 1.000000000E+00 0.000000000E+00 4.825351655E-14 1.000000000E+20 1.305109365E+00 2.713459723E-14 6.762068863E-04 
008_320_SRH 008_320_srh.dat 320 36.23 1.000000000E+00 1.000000000E+00 0.000000000E+00 3.600581484E-14 1.000000000E+20 1.308562387E+00 2.700069960E-14 8.827357468E-04 
009_320 009_320.dat 320 36.23 1.000000000E+00 1.000000000E+00 0.000000000E+00 6.173682301E-14 1.000000000E+20 1.306875667E+00 3.972717046E-14 7.677696505E-04 
009_320_SRH 009_320_srh.dat 320 36.23 1.000000000E+00 1.000000000E+00 0.000000000E+00 4.991357956E-14 1.000000000E+20 1.309161772E+00 3.959873682E-14 9.289926344E-04 
010_320 010_320.dat 320 36.23 1.000000000E+00 1.000000000E+00 0.000000000E+00 7.918034454E-14 1.000000000E+20 1.308418750E+00 5.818462264E-14 8.676010629E-04 
010_320_SRH 010_320_srh.dat 320 36.23 1.000000000E+00 1.000000000E+00 0.000000000E+00 6.788536236E-14 1.000000000E+20 1.309915085E+00 5.806277024E-14 9.937392413E-04 
011_320 011_320.dat 320 36.23 1.000000000E+00 1.000000000E+00 0.000000000E+00 1.009690016E-13 1.000000000E+20 1.309846841E+00 8.523405443E-14 9.829504826E-04 
011_320_SRH 011_320_srh.dat 320 36.23 1.000000000E+00 1.000000000E+00 0.000000000E+00 9.029670540E-14 1.000000000E+20 1.310814689E+00 8.511981836E-14 1.082750662E-03 
012_320 012_320.dat 320 36.23 1.000000000E+00 1.000000000E+00 0.000000000E+00 1.272404351E-13 1.000000000E+20 1.311207736E+00 1.248735800E-13 1.121957812E-03 
012_320_SRH 012_320_srh.dat 320 36.23 1.000000000E+00 1.000000000E+00 0.000000000E+00 1.172570604E-13 1.000000000E+20 1.311826862E+00 1.247676753E-13 1.202369560E-03 
013_320 013_320.dat 320 36.23 1.000000000E+00 1.000000000E+00 0.000000000E+00 1.579819282E-13 1.000000000E+20 1.312501640E+00 1.829693524E-13 1.292559500E-03 
013_320_SRH 013_320_srh.dat 320 36.23 1.000000000E+00 1.000000000E+00 0.000000000E+00 1.487097807E-13 1.000000000E+20 1.312894353E+00 1.828719823E-13 1.358813177E-03 
014_320 014_320.dat 320 36.23 1.000000000E+00 1.000000000E+00 0.000000000E+00 1.938436060E-13 1.000000000E+20 1.320252183E+00 2.696087603E-13 1.504581035E-03 
014_320_SRH 014_320_srh.dat 320 36.23 1.000000000E+00 1.000000000E+00 0.000000000E+00 1.856795741E-13 1.000000000E+20 1.325055503E+00 2.704858383E-13 1.573194422E-03 
015_320 015_320.dat 320 36.23 1.000000000E+00 1.000000000E+00 0.000000000E+00 2.349546760E-13 1.000000000E+20 1.325990400E+00 3.967192854E-13 1.756906724E-03 
015_320_SRH 015_320_srh.dat 320 36.23 1.000000000E+00 1.000000000E+00 0.000000000E+00 2.269845784E-13 1.000000000E+20 1.326156861E+00 3.966393517E-13 1.802439911E-03 
016_320 016_320.dat 320 36.23 1.000000000E+00 1.000000000E+00 0.000000000E+00 2.825422030E-13 1.000000000E+20 1.333556122E+00 5.916181950E-13 2.060069274E-03 
016_320_SRH 016_320_srh.dat 320 36.23 1.000000000E+00 1.000000000E+00 0.000000000E+00 2.750991617E-13 1.000000000E+20 1.333667927E+00 5.915526605E-13 2.098134198E-03 
017_320 017_320.dat 320 36.23 1.000000000E+00 1.000000000E+00 0.000000000E+00 3.368702942E-13 1.000000000E+20 1.334363740E+00 8.676896095E-13 2.374196848E-03 
017_320_SRH 017_320_srh.dat 320 36.23 1.000000000E+00 1.000000000E+00 0.000000000E+00 3.298599288E-13 1.000000000E+20 1.334434990E+00 8.676278003E-13 2.407463420E-03 
018_320 018_320.dat 320 36.23 1.000000000E+00 1.000000000E+00 0.000000000E+00 3.999040162E-13 1.000000000E+20 1.335118275E+00 1.272852171E-12 2.728928420E-03 
018_320_SRH 018_320_srh.dat 320 36.23 1.000000000E+00 1.000000000E+00 0.000000000E+00 3.932400156E-13 1.000000000E+20 1.335163304E+00 1.272790644E-12 2.758543810E-03 
019_320 019_320.dat 320 36.23 1.000000000E+00 1.000000000E+00 0.000000000E+00 4.789893055E-13 1.000000000E+20 1.347363632E+00 1.888122063E-12 3.145894279E-03 
019_320_SRH 019_320_srh.dat 320 36.23 1.000000000E+00 1.000000000E+00 0.000000000E+00 4.725993998E-13 1.000000000E+20 1.347391513E+00 1.888048300E-12 3.170502368E-03 
