N_Fe Time N_B T d Jsc Eta Voc FF Vm Jm
1.000000E+10 20 1.000E+16 340 3.800E-4 3.706455E-1 2.130420E+1 3.864440E-1 7.436860E+1 3.142480E-1 3.389708E-1
1.468000E+10 20 1.000E+16 340 3.800E-4 3.695677E-1 2.119700E+1 3.857810E-1 7.433780E+1 3.136430E-1 3.379166E-1
2.154000E+10 20 1.000E+16 340 3.800E-4 3.680271E-1 2.104540E+1 3.848530E-1 7.429370E+1 3.127830E-1 3.364214E-1
3.162000E+10 20 1.000E+16 340 3.800E-4 3.658496E-1 2.083420E+1 3.835780E-1 7.423170E+1 3.115920E-1 3.343180E-1
4.642000E+10 20 1.000E+16 340 3.800E-4 3.628209E-1 2.054590E+1 3.818680E-1 7.414600E+1 3.099900E-1 3.313949E-1
6.813000E+10 20 1.000E+16 340 3.800E-4 3.586975E-1 2.016280E+1 3.796230E-1 7.403520E+1 3.079000E-1 3.274229E-1
1.000000E+11 20 1.000E+16 340 3.800E-4 3.532394E-1 1.967040E+1 3.767120E-1 7.391020E+1 3.052640E-1 3.221870E-1
1.468000E+11 20 1.000E+16 340 3.800E-4 3.462622E-1 1.906230E+1 3.732580E-1 7.374450E+1 3.020800E-1 3.155161E-1
2.154000E+11 20 1.000E+16 340 3.800E-4 3.376968E-1 1.834300E+1 3.692790E-1 7.354580E+1 2.983890E-1 3.073670E-1
3.162000E+11 20 1.000E+16 340 3.800E-4 3.276221E-1 1.752870E+1 3.647760E-1 7.333650E+1 2.943070E-1 2.977968E-1
4.642000E+11 20 1.000E+16 340 3.800E-4 3.162329E-1 1.664180E+1 3.600340E-1 7.308360E+1 2.898930E-1 2.870339E-1
6.813000E+11 20 1.000E+16 340 3.800E-4 3.037448E-1 1.570270E+1 3.548900E-1 7.283530E+1 2.852440E-1 2.752499E-1
1.000000E+12 20 1.000E+16 340 3.800E-4 2.902949E-1 1.472380E+1 3.495940E-1 7.254150E+1 2.803420E-1 2.626043E-1
1.468000E+12 20 1.000E+16 340 3.800E-4 2.759110E-1 1.370950E+1 3.438970E-1 7.224240E+1 2.751660E-1 2.491123E-1
2.154000E+12 20 1.000E+16 340 3.800E-4 2.605688E-1 1.266120E+1 3.379030E-1 7.190020E+1 2.696780E-1 2.347464E-1
3.162000E+12 20 1.000E+16 340 3.800E-4 2.442847E-1 1.158390E+1 3.315170E-1 7.151930E+1 2.638180E-1 2.195433E-1
4.642000E+12 20 1.000E+16 340 3.800E-4 2.271761E-1 1.048890E+1 3.246540E-1 7.110780E+1 2.575880E-1 2.035987E-1
6.813000E+12 20 1.000E+16 340 3.800E-4 2.094641E-1 9.392800E+0 3.174040E-1 7.063830E+1 2.509670E-1 1.871310E-1
1.000000E+13 20 1.000E+16 340 3.800E-4 1.914409E-1 8.314600E+0 3.097600E-1 7.010520E+1 2.439360E-1 1.704257E-1
1.468000E+13 20 1.000E+16 340 3.800E-4 1.734319E-1 7.273700E+0 3.016180E-1 6.952450E+1 2.365330E-1 1.537562E-1
2.154000E+13 20 1.000E+16 340 3.800E-4 1.557640E-1 6.287400E+0 2.930500E-1 6.886980E+1 2.287210E-1 1.374461E-1
3.162000E+13 20 1.000E+16 340 3.800E-4 1.387403E-1 5.369800E+0 2.840590E-1 6.812660E+1 2.205180E-1 1.217546E-1
4.642000E+13 20 1.000E+16 340 3.800E-4 1.226194E-1 4.531400E+0 2.746310E-1 6.728050E+1 2.119040E-1 1.069196E-1
6.813000E+13 20 1.000E+16 340 3.800E-4 1.076027E-1 3.778100E+0 2.647370E-1 6.631340E+1 2.028420E-1 9.312842E-2
1.000000E+14 20 1.000E+16 340 3.800E-4 9.382763E-2 3.112100E+0 2.543390E-1 6.520410E+1 1.933110E-1 8.049396E-2
1.000000E+10 120 1.000E+16 340 3.800E-4 3.706666E-1 2.130620E+1 3.864440E-1 7.437120E+1 3.142680E-1 3.389807E-1
1.468000E+10 120 1.000E+16 340 3.800E-4 3.695981E-1 2.119980E+1 3.857820E-1 7.434140E+1 3.136620E-1 3.379400E-1
2.154000E+10 120 1.000E+16 340 3.800E-4 3.680704E-1 2.104940E+1 3.848550E-1 7.429850E+1 3.128030E-1 3.364634E-1
3.162000E+10 120 1.000E+16 340 3.800E-4 3.659107E-1 2.083970E+1 3.835830E-1 7.423790E+1 3.116110E-1 3.343853E-1
4.642000E+10 120 1.000E+16 340 3.800E-4 3.629055E-1 2.055340E+1 3.818780E-1 7.415390E+1 3.100290E-1 3.314743E-1
6.813000E+10 120 1.000E+16 340 3.800E-4 3.588122E-1 2.017280E+1 3.796420E-1 7.404450E+1 3.079390E-1 3.275435E-1
1.000000E+11 120 1.000E+16 340 3.800E-4 3.533902E-1 1.968330E+1 3.767430E-1 7.392080E+1 3.053220E-1 3.223354E-1
1.468000E+11 120 1.000E+16 340 3.800E-4 3.464536E-1 1.907810E+1 3.733030E-1 7.375610E+1 3.021390E-1 3.157174E-1
2.154000E+11 120 1.000E+16 340 3.800E-4 3.379300E-1 1.836180E+1 3.693440E-1 7.355730E+1 2.984860E-1 3.075809E-1
3.162000E+11 120 1.000E+16 340 3.800E-4 3.278945E-1 1.755000E+1 3.648560E-1 7.334860E+1 2.944040E-1 2.980596E-1
4.642000E+11 120 1.000E+16 340 3.800E-4 3.165397E-1 1.666510E+1 3.601270E-1 7.309610E+1 2.900100E-1 2.873198E-1
6.813000E+11 120 1.000E+16 340 3.800E-4 3.040814E-1 1.572760E+1 3.549980E-1 7.284780E+1 2.853610E-1 2.755735E-1
1.000000E+12 120 1.000E+16 340 3.800E-4 2.906592E-1 1.475010E+1 3.497200E-1 7.255380E+1 2.804790E-1 2.629455E-1
1.468000E+12 120 1.000E+16 340 3.800E-4 2.763033E-1 1.373720E+1 3.440350E-1 7.225660E+1 2.753220E-1 2.494738E-1
2.154000E+12 120 1.000E+16 340 3.800E-4 2.609896E-1 1.269020E+1 3.380610E-1 7.191510E+1 2.698340E-1 2.351483E-1
3.162000E+12 120 1.000E+16 340 3.800E-4 2.447326E-1 1.161410E+1 3.316900E-1 7.153720E+1 2.639940E-1 2.199691E-1
4.642000E+12 120 1.000E+16 340 3.800E-4 2.276467E-1 1.052000E+1 3.248500E-1 7.112780E+1 2.577830E-1 2.040467E-1
6.813000E+12 120 1.000E+16 340 3.800E-4 2.099505E-1 9.424200E+0 3.176270E-1 7.066100E+1 2.511820E-1 1.875972E-1
1.000000E+13 120 1.000E+16 340 3.800E-4 1.919346E-1 8.346000E+0 3.100140E-1 7.013140E+1 2.441890E-1 1.708916E-1
1.468000E+13 120 1.000E+16 340 3.800E-4 1.739238E-1 7.304600E+0 3.018930E-1 6.955920E+1 2.368070E-1 1.542314E-1
2.154000E+13 120 1.000E+16 340 3.800E-4 1.562455E-1 6.317400E+0 2.933630E-1 6.891230E+1 2.290330E-1 1.379148E-1
3.162000E+13 120 1.000E+16 340 3.800E-4 1.392034E-1 5.398800E+0 2.844200E-1 6.817940E+1 2.208890E-1 1.222054E-1
4.642000E+13 120 1.000E+16 340 3.800E-4 1.230577E-1 4.559100E+0 2.750530E-1 6.734710E+1 2.123340E-1 1.073556E-1
6.813000E+13 120 1.000E+16 340 3.800E-4 1.080117E-1 3.804500E+0 2.652400E-1 6.639840E+1 2.033500E-1 9.354580E-2
1.000000E+14 120 1.000E+16 340 3.800E-4 9.420444E-2 3.137300E+0 2.549490E-1 6.531360E+1 1.939360E-1 8.088540E-2
1.000000E+10 220 1.000E+16 340 3.800E-4 3.706741E-1 2.130690E+1 3.864440E-1 7.437210E+1 3.142680E-1 3.389918E-1
1.468000E+10 220 1.000E+16 340 3.800E-4 3.696090E-1 2.120080E+1 3.857820E-1 7.434260E+1 3.136620E-1 3.379559E-1
2.154000E+10 220 1.000E+16 340 3.800E-4 3.680859E-1 2.105080E+1 3.848560E-1 7.430030E+1 3.128030E-1 3.364860E-1
3.162000E+10 220 1.000E+16 340 3.800E-4 3.659326E-1 2.084170E+1 3.835850E-1 7.424020E+1 3.116310E-1 3.343959E-1
4.642000E+10 220 1.000E+16 340 3.800E-4 3.629358E-1 2.055610E+1 3.818820E-1 7.415680E+1 3.100290E-1 3.315177E-1
6.813000E+10 220 1.000E+16 340 3.800E-4 3.588533E-1 2.017630E+1 3.796490E-1 7.404780E+1 3.079590E-1 3.275808E-1
1.000000E+11 220 1.000E+16 340 3.800E-4 3.534443E-1 1.968790E+1 3.767540E-1 7.392460E+1 3.053420E-1 3.223901E-1
1.468000E+11 220 1.000E+16 340 3.800E-4 3.465222E-1 1.908380E+1 3.733200E-1 7.376030E+1 3.021780E-1 3.157706E-1
2.154000E+11 220 1.000E+16 340 3.800E-4 3.380136E-1 1.836850E+1 3.693670E-1 7.356150E+1 2.985060E-1 3.076735E-1
3.162000E+11 220 1.000E+16 340 3.800E-4 3.279922E-1 1.755770E+1 3.648840E-1 7.335300E+1 2.944430E-1 2.981497E-1
4.642000E+11 220 1.000E+16 340 3.800E-4 3.166497E-1 1.667350E+1 3.601610E-1 7.310060E+1 2.900490E-1 2.874254E-1
6.813000E+11 220 1.000E+16 340 3.800E-4 3.042021E-1 1.573660E+1 3.550370E-1 7.285230E+1 2.854000E-1 2.756924E-1
1.000000E+12 220 1.000E+16 340 3.800E-4 2.907899E-1 1.475960E+1 3.497660E-1 7.255820E+1 2.805180E-1 2.630772E-1
1.468000E+12 220 1.000E+16 340 3.800E-4 2.764439E-1 1.374710E+1 3.440840E-1 7.226170E+1 2.753610E-1 2.496187E-1
2.154000E+12 220 1.000E+16 340 3.800E-4 2.611402E-1 1.270060E+1 3.381180E-1 7.192040E+1 2.698930E-1 2.352898E-1
3.162000E+12 220 1.000E+16 340 3.800E-4 2.448926E-1 1.162490E+1 3.317510E-1 7.154360E+1 2.640720E-1 2.201085E-1
4.642000E+12 220 1.000E+16 340 3.800E-4 2.278144E-1 1.053110E+1 3.249200E-1 7.113500E+1 2.578610E-1 2.041996E-1
6.813000E+12 220 1.000E+16 340 3.800E-4 2.101231E-1 9.435400E+0 3.177070E-1 7.066910E+1 2.512600E-1 1.877614E-1
1.000000E+13 220 1.000E+16 340 3.800E-4 1.921087E-1 8.357100E+0 3.101000E-1 7.014170E+1 2.442680E-1 1.710643E-1
1.468000E+13 220 1.000E+16 340 3.800E-4 1.740958E-1 7.315500E+0 3.019890E-1 6.957160E+1 2.369040E-1 1.543968E-1
2.154000E+13 220 1.000E+16 340 3.800E-4 1.564115E-1 6.327900E+0 2.934720E-1 6.892730E+1 2.291500E-1 1.380721E-1
3.162000E+13 220 1.000E+16 340 3.800E-4 1.393598E-1 5.408700E+0 2.845450E-1 6.819800E+1 2.210060E-1 1.223647E-1
4.642000E+13 220 1.000E+16 340 3.800E-4 1.232014E-1 4.568300E+0 2.751970E-1 6.737040E+1 2.124710E-1 1.075050E-1
6.813000E+13 220 1.000E+16 340 3.800E-4 1.081396E-1 3.813100E+0 2.654080E-1 6.642800E+1 2.035250E-1 9.367684E-2
1.000000E+14 220 1.000E+16 340 3.800E-4 9.431422E-2 3.145300E+0 2.551490E-1 6.535140E+1 1.941310E-1 8.100863E-2
1.000000E+10 320 1.000E+16 340 3.800E-4 3.706768E-1 2.130710E+1 3.864440E-1 7.437250E+1 3.142680E-1 3.389957E-1
1.468000E+10 320 1.000E+16 340 3.800E-4 3.696128E-1 2.120120E+1 3.857820E-1 7.434310E+1 3.136620E-1 3.379616E-1
2.154000E+10 320 1.000E+16 340 3.800E-4 3.680914E-1 2.105130E+1 3.848560E-1 7.430090E+1 3.128030E-1 3.364940E-1
3.162000E+10 320 1.000E+16 340 3.800E-4 3.659404E-1 2.084240E+1 3.835850E-1 7.424100E+1 3.116310E-1 3.344072E-1
4.642000E+10 320 1.000E+16 340 3.800E-4 3.629466E-1 2.055700E+1 3.818830E-1 7.415780E+1 3.100490E-1 3.315123E-1
6.813000E+10 320 1.000E+16 340 3.800E-4 3.588679E-1 2.017760E+1 3.796510E-1 7.404900E+1 3.079590E-1 3.276016E-1
1.000000E+11 320 1.000E+16 340 3.800E-4 3.534636E-1 1.968950E+1 3.767580E-1 7.392600E+1 3.053420E-1 3.224170E-1
1.468000E+11 320 1.000E+16 340 3.800E-4 3.465468E-1 1.908580E+1 3.733250E-1 7.376170E+1 3.021780E-1 3.158043E-1
2.154000E+11 320 1.000E+16 340 3.800E-4 3.380435E-1 1.837090E+1 3.693750E-1 7.356300E+1 2.985250E-1 3.076937E-1
3.162000E+11 320 1.000E+16 340 3.800E-4 3.280272E-1 1.756040E+1 3.648940E-1 7.335450E+1 2.944430E-1 2.981962E-1
4.642000E+11 320 1.000E+16 340 3.800E-4 3.166891E-1 1.667650E+1 3.601730E-1 7.310220E+1 2.900490E-1 2.874770E-1
6.813000E+11 320 1.000E+16 340 3.800E-4 3.042454E-1 1.573980E+1 3.550510E-1 7.285390E+1 2.854200E-1 2.757297E-1
1.000000E+12 320 1.000E+16 340 3.800E-4 2.908366E-1 1.476300E+1 3.497820E-1 7.255980E+1 2.805370E-1 2.631192E-1
1.468000E+12 320 1.000E+16 340 3.800E-4 2.764942E-1 1.375060E+1 3.441020E-1 7.226360E+1 2.753810E-1 2.496655E-1
2.154000E+12 320 1.000E+16 340 3.800E-4 2.611941E-1 1.270430E+1 3.381380E-1 7.192230E+1 2.699120E-1 2.353417E-1
3.162000E+12 320 1.000E+16 340 3.800E-4 2.449498E-1 1.162880E+1 3.317730E-1 7.154590E+1 2.640920E-1 2.201653E-1
4.642000E+12 320 1.000E+16 340 3.800E-4 2.278743E-1 1.053500E+1 3.249450E-1 7.113760E+1 2.578810E-1 2.042609E-1
6.813000E+12 320 1.000E+16 340 3.800E-4 2.101846E-1 9.439400E+0 3.177350E-1 7.067190E+1 2.512790E-1 1.878263E-1
1.000000E+13 320 1.000E+16 340 3.800E-4 1.921706E-1 8.361100E+0 3.101310E-1 7.014540E+1 2.443070E-1 1.711179E-1
1.468000E+13 320 1.000E+16 340 3.800E-4 1.741567E-1 7.319300E+0 3.020230E-1 6.957600E+1 2.369430E-1 1.544527E-1
2.154000E+13 320 1.000E+16 340 3.800E-4 1.564700E-1 6.331600E+0 2.935110E-1 6.893270E+1 2.291890E-1 1.381291E-1
3.162000E+13 320 1.000E+16 340 3.800E-4 1.394145E-1 5.412200E+0 2.845890E-1 6.820460E+1 2.210450E-1 1.224219E-1
4.642000E+13 320 1.000E+16 340 3.800E-4 1.232510E-1 4.571600E+0 2.752470E-1 6.737870E+1 2.125290E-1 1.075517E-1
6.813000E+13 320 1.000E+16 340 3.800E-4 1.081830E-1 3.816100E+0 2.654670E-1 6.643850E+1 2.035840E-1 9.372300E-2
1.000000E+14 320 1.000E+16 340 3.800E-4 9.435022E-2 3.148000E+0 2.552190E-1 6.536480E+1 1.942090E-1 8.104560E-2
1.000000E+10 420 1.000E+16 340 3.800E-4 3.706778E-1 2.130720E+1 3.864440E-1 7.437260E+1 3.142680E-1 3.389971E-1
1.468000E+10 420 1.000E+16 340 3.800E-4 3.696142E-1 2.120130E+1 3.857820E-1 7.434330E+1 3.136620E-1 3.379636E-1
2.154000E+10 420 1.000E+16 340 3.800E-4 3.680934E-1 2.105150E+1 3.848560E-1 7.430110E+1 3.128030E-1 3.364969E-1
3.162000E+10 420 1.000E+16 340 3.800E-4 3.659432E-1 2.084260E+1 3.835860E-1 7.424130E+1 3.116310E-1 3.344113E-1
4.642000E+10 420 1.000E+16 340 3.800E-4 3.629505E-1 2.055740E+1 3.818830E-1 7.415810E+1 3.100490E-1 3.315178E-1
6.813000E+10 420 1.000E+16 340 3.800E-4 3.588732E-1 2.017810E+1 3.796520E-1 7.404940E+1 3.079590E-1 3.276090E-1
1.000000E+11 420 1.000E+16 340 3.800E-4 3.534705E-1 1.969010E+1 3.767590E-1 7.392650E+1 3.053420E-1 3.224267E-1
1.468000E+11 420 1.000E+16 340 3.800E-4 3.465555E-1 1.908660E+1 3.733270E-1 7.376230E+1 3.021780E-1 3.158163E-1
2.154000E+11 420 1.000E+16 340 3.800E-4 3.380542E-1 1.837180E+1 3.693780E-1 7.356350E+1 2.985250E-1 3.077081E-1
3.162000E+11 420 1.000E+16 340 3.800E-4 3.280397E-1 1.756140E+1 3.648980E-1 7.335510E+1 2.944430E-1 2.982128E-1
4.642000E+11 420 1.000E+16 340 3.800E-4 3.167032E-1 1.667760E+1 3.601770E-1 7.310280E+1 2.900680E-1 2.874761E-1
6.813000E+11 420 1.000E+16 340 3.800E-4 3.042608E-1 1.574090E+1 3.550560E-1 7.285450E+1 2.854200E-1 2.757498E-1
1.000000E+12 420 1.000E+16 340 3.800E-4 2.908533E-1 1.476420E+1 3.497880E-1 7.256040E+1 2.805370E-1 2.631407E-1
1.468000E+12 420 1.000E+16 340 3.800E-4 2.765122E-1 1.375190E+1 3.441080E-1 7.226420E+1 2.754000E-1 2.496709E-1
2.154000E+12 420 1.000E+16 340 3.800E-4 2.612134E-1 1.270570E+1 3.381450E-1 7.192300E+1 2.699320E-1 2.353493E-1
3.162000E+12 420 1.000E+16 340 3.800E-4 2.449703E-1 1.163020E+1 3.317810E-1 7.154680E+1 2.640920E-1 2.201914E-1
4.642000E+12 420 1.000E+16 340 3.800E-4 2.278957E-1 1.053640E+1 3.249540E-1 7.113850E+1 2.578810E-1 2.042883E-1
6.813000E+12 420 1.000E+16 340 3.800E-4 2.102066E-1 9.440800E+0 3.177450E-1 7.067300E+1 2.512990E-1 1.878400E-1
1.000000E+13 420 1.000E+16 340 3.800E-4 1.921927E-1 8.362500E+0 3.101420E-1 7.014670E+1 2.443070E-1 1.711468E-1
1.468000E+13 420 1.000E+16 340 3.800E-4 1.741785E-1 7.320700E+0 3.020360E-1 6.957760E+1 2.369430E-1 1.544818E-1
2.154000E+13 420 1.000E+16 340 3.800E-4 1.564908E-1 6.332900E+0 2.935240E-1 6.893460E+1 2.292090E-1 1.381460E-1
