fname time Tem kT_1 n1 Rs Io1 Rsh n2 Io2 Iph Voc Isc Pm FF Vm Im dev 
0US1 10:40 303.6 38.19 1.000E+000 2.207E+000 1.764E-010 5.766E+004 2.459E+000 2.627E-006 1.242E-005 1.041E-001 1.241E-005 4.397E-007 3.403E-001 6.020E-002 7.292E-006 5.318E-003 
0US2 10:59 307.1 37.75 1.000E+000 2.133E+000 3.096E-010 5.037E+004 2.454E+000 3.297E-006 1.258E-005 9.400E-002 1.258E-005 3.908E-007 3.304E-001 5.360E-002 7.277E-006 1.449E-003 
0US3 11:18 309.4 37.47 1.000E+000 2.197E+000 4.607E-010 4.599E+004 2.464E+000 3.947E-006 1.249E-005 8.581E-002 1.249E-005 3.455E-007 3.224E-001 4.840E-002 7.123E-006 1.259E-003 
0US4 11:39 311.7 37.2 1.000E+000 2.201E+000 6.638E-010 4.191E+004 2.457E+000 4.541E-006 1.260E-005 7.991E-002 1.260E-005 3.191E-007 3.169E-001 4.470E-002 7.122E-006 4.003E-003 
0US5 12:4 313.6 36.97 1.000E+000 2.204E+000 8.938E-010 3.876E+004 2.464E+000 5.161E-006 1.257E-005 7.456E-002 1.257E-005 2.920E-007 3.116E-001 4.140E-002 7.035E-006 2.036E-003 
0US6 12:22 316.1 36.68 1.000E+000 2.231E+000 1.318E-009 3.488E+004 2.458E+000 6.050E-006 1.230E-005 6.691E-002 1.230E-005 2.507E-007 3.047E-001 3.680E-002 6.793E-006 1.339E-003 
0US7 12:48 318.7 36.38 1.000E+000 2.196E+000 1.855E-009 3.115E+004 2.458E+000 7.158E-006 1.260E-005 6.143E-002 1.260E-005 2.319E-007 2.997E-001 3.350E-002 6.902E-006 7.241E-002 
0US8 13:12 320.9 36.13 1.000E+000 2.261E+000 2.636E-009 2.821E+004 2.450E+000 8.098E-006 1.263E-005 5.675E-002 1.263E-005 2.118E-007 2.955E-001 3.080E-002 6.855E-006 1.111E-003 
0US9 13:33 324.1 35.77 1.000E+000 2.284E+000 4.080E-009 2.425E+004 2.449E+000 9.715E-006 1.245E-005 4.976E-002 1.245E-005 1.791E-007 2.891E-001 2.670E-002 6.682E-006 1.028E-003 
US10 13:51 326 35.57 1.000E+000 2.246E+000 5.298E-009 2.205E+004 2.440E+000 1.094E-005 1.261E-005 4.615E-002 1.261E-005 1.664E-007 2.861E-001 2.460E-002 6.739E-006 3.696E-003 
US11 14:11 328.9 35.25 1.000E+000 2.288E+000 7.827E-009 1.888E+004 2.418E+000 1.234E-005 1.234E-005 4.113E-002 1.234E-005 1.430E-007 2.817E-001 2.180E-002 6.527E-006 9.720E-004 
US12 14:26 331.3 35 1.000E+000 2.379E+000 1.132E-008 1.640E+004 2.417E+000 1.409E-005 1.257E-005 3.773E-002 1.257E-005 1.321E-007 2.786E-001 1.990E-002 6.604E-006 3.891E-003 
