N_Fe N_B T d n_Fe n_Fe_SRH n_FeB n_FeB_SRH
1.000000E+10 1.000E+17 290 1.500E-4 1.259914674E+00 1.318734758E+00 1.249655218E+00 1.264631747E+00
1.468000E+10 1.000E+17 290 1.500E-4 1.266477022E+00 1.318835975E+00 1.254295744E+00 1.265340462E+00
2.154000E+10 1.000E+17 290 1.500E-4 1.272812251E+00 1.318983592E+00 1.257805729E+00 1.265909121E+00
3.162000E+10 1.000E+17 290 1.500E-4 1.279160831E+00 1.319198601E+00 1.260975432E+00 1.266848453E+00
4.642000E+10 1.000E+17 290 1.500E-4 1.285569954E+00 1.319510916E+00 1.263965033E+00 1.268284103E+00
6.813000E+10 1.000E+17 290 1.500E-4 1.291936464E+00 1.319962602E+00 1.266792193E+00 1.269963878E+00
1.000000E+11 1.000E+17 290 1.500E-4 1.298089317E+00 1.320611654E+00 1.269787963E+00 1.272155151E+00
1.468000E+11 1.000E+17 290 1.500E-4 1.303886490E+00 1.321535733E+00 1.273045766E+00 1.274860997E+00
2.154000E+11 1.000E+17 290 1.500E-4 1.309288714E+00 1.322834448E+00 1.276511407E+00 1.277934454E+00
3.162000E+11 1.000E+17 290 1.500E-4 1.314383894E+00 1.324627520E+00 1.280413323E+00 1.281560369E+00
4.642000E+11 1.000E+17 290 1.500E-4 1.319361372E+00 1.327045138E+00 1.284431556E+00 1.285373172E+00
6.813000E+11 1.000E+17 290 1.500E-4 1.324453860E+00 1.330207020E+00 1.288852395E+00 1.289640523E+00
1.000000E+12 1.000E+17 290 1.500E-4 1.329868904E+00 1.334190606E+00 1.293806726E+00 1.294471590E+00
1.468000E+12 1.000E+17 290 1.500E-4 1.335729833E+00 1.338997291E+00 1.299188532E+00 1.299753744E+00
2.154000E+12 1.000E+17 290 1.500E-4 1.342050281E+00 1.344540001E+00 1.304587235E+00 1.305068768E+00
3.162000E+12 1.000E+17 290 1.500E-4 1.348735722E+00 1.350645692E+00 1.310640482E+00 1.311049788E+00
4.642000E+12 1.000E+17 290 1.500E-4 1.355622706E+00 1.357095485E+00 1.316881709E+00 1.317229174E+00
6.813000E+12 1.000E+17 290 1.500E-4 1.362549839E+00 1.363688978E+00 1.323452630E+00 1.323745869E+00
1.000000E+13 1.000E+17 290 1.500E-4 1.369405352E+00 1.370286802E+00 1.330239883E+00 1.330486453E+00
1.000000E+10 1.000E+17 300 1.500E-4 1.265241918E+00 1.318527335E+00 1.252575922E+00 1.272735684E+00
1.468000E+10 1.000E+17 300 1.500E-4 1.273098177E+00 1.318610781E+00 1.259076755E+00 1.273547334E+00
2.154000E+10 1.000E+17 300 1.500E-4 1.279788599E+00 1.318732645E+00 1.263633417E+00 1.273883320E+00
3.162000E+10 1.000E+17 300 1.500E-4 1.285789408E+00 1.318910343E+00 1.267690773E+00 1.274887503E+00
4.642000E+10 1.000E+17 300 1.500E-4 1.291386942E+00 1.319168788E+00 1.271074175E+00 1.276106426E+00
6.813000E+10 1.000E+17 300 1.500E-4 1.296695798E+00 1.319543181E+00 1.274366290E+00 1.277936181E+00
1.000000E+11 1.000E+17 300 1.500E-4 1.301716572E+00 1.320082411E+00 1.277326862E+00 1.279849794E+00
1.468000E+11 1.000E+17 300 1.500E-4 1.306417458E+00 1.320852638E+00 1.280526347E+00 1.282365240E+00
2.154000E+11 1.000E+17 300 1.500E-4 1.310808746E+00 1.321940123E+00 1.283742940E+00 1.285111070E+00
