fname time Tem kT_1 Rs_EA Is1_EA Is2_EA n1_EA n2_EA Rsh_EA 
0DT0 6:49 292.8 39.6 1.052E+000 1.922E-005 3.878E-010 3.49 1.159 2.553E+003 
0DT1 6:52 292.9 39.58 1.052E+000 2.079E-005 8.823E-010 3.578 1.216 2.553E+003 
0DT2 6:55 292.8 39.6 1.052E+000 2.051E-005 6.530E-010 3.558 1.194 2.553E+003 
0DT3 6:57 292.9 39.58 1.052E+000 1.966E-005 4.567E-010 3.51 1.169 2.553E+003 
0DT4 7:0 292.9 39.58 1.052E+000 1.998E-005 3.853E-010 3.521 1.158 2.553E+003 
0DT5 7:4 293.1 39.56 1.052E+000 2.089E-005 7.712E-010 3.579 1.204 2.553E+003 
0DT6 7:8 293.1 39.56 1.052E+000 2.142E-005 1.020E-009 3.607 1.224 2.553E+003 
0DT7 7:11 293.1 39.56 1.052E+000 1.960E-005 4.467E-010 3.502 1.167 2.553E+003 
0DT8 7:13 293.2 39.54 1.052E+000 2.019E-005 5.242E-010 3.529 1.176 2.553E+003 
0DT9 7:16 293.2 39.54 1.052E+000 1.983E-005 5.095E-010 3.51 1.175 2.553E+003 
