N_Fe d154 d184 d214 d244
d 150 180 210 240
1.000000000E+01 1.271053282E+00 1.267879223E+00 1.265468552E+00 1.263159588E+00
1.016672606E+01 1.271091716E+00 1.267934515E+00 1.265544759E+00 1.263261005E+00
1.033324570E+01 1.271147903E+00 1.268015195E+00 1.265655677E+00 1.263408190E+00
1.049996187E+01 1.271229920E+00 1.268132629E+00 1.265816549E+00 1.263620739E+00
1.066670514E+01 1.271349378E+00 1.268302960E+00 1.266048677E+00 1.263925564E+00
1.083333839E+01 1.271522768E+00 1.268548715E+00 1.266381142E+00 1.264358421E+00
1.100000000E+01 1.271773216E+00 1.268900696E+00 1.266852471E+00 1.264964913E+00
1.116672606E+01 1.272132461E+00 1.269399700E+00 1.267511451E+00 1.265799706E+00
1.133324570E+01 1.272642862E+00 1.270097492E+00 1.268416200E+00 1.266923043E+00
1.149996187E+01 1.273358682E+00 1.271055915E+00 1.269630303E+00 1.268393848E+00
1.166670514E+01 1.274345690E+00 1.272343097E+00 1.271215662E+00 1.270260431E+00
1.183333839E+01 1.275677808E+00 1.274026152E+00 1.273223069E+00 1.272551807E+00
1.200000000E+01 1.277429781E+00 1.276161177E+00 1.275683182E+00 1.275272889E+00
1.216672606E+01 1.279666203E+00 1.278782862E+00 1.278600997E+00 1.278405552E+00
1.233324570E+01 1.282428710E+00 1.281896877E+00 1.281955825E+00 1.281915316E+00
1.249996187E+01 1.285725139E+00 1.285478455E+00 1.285708045E+00 1.285762169E+00
1.266670514E+01 1.289525946E+00 1.289479689E+00 1.289811371E+00 1.289911938E+00
1.283333839E+01 1.293772164E+00 1.293844349E+00 1.294225615E+00 1.294342475E+00
1.300000000E+01 1.298393307E+00 1.298522641E+00 1.298922378E+00 1.299041138E+00
