fname time Tem kT_1 Nfe tau_r Wph Em t_ass rmsre 
L0617U20 1389470189 0 555 9.013326985E+18 9.999999276E+01 3.480033763E-04 6.420745270E-01 4.599881358E+02 1.882501411E-03 
W60S05 1389992860 0 555 1.896983833E+18 9.434815204E-06 3.109248853E-04 6.441624385E-01 4.939329242E+02 1.236021145E-03 
W60S05U 1389992860 0 555 2.262519627E+18 6.555091551E-06 3.189872023E-04 6.379117478E-01 3.991141414E+02 1.673358798E-03 
W60S10 1389992860 0 555 3.283581977E+18 9.411798441E-06 3.179442506E-04 6.451355565E-01 5.105985332E+02 1.298283578E-03 
W60S10U 1389992860 0 555 4.780421786E+18 5.845750108E-06 3.385890033E-04 6.378373206E-01 3.981024683E+02 1.160848859E-03 
W60S15 1389992860 0 555 3.952104937E+18 6.732032761E+01 3.034086205E-04 6.448118519E-01 5.049932737E+02 1.198154777E-03 
W60S15U 1389992860 0 555 4.032716193E+18 9.999987246E+01 3.035582066E-04 6.371920613E-01 3.894384011E+02 1.239808188E-03 
W60S20 1389992860 0 555 5.674853420E+18 9.999998758E+01 3.153441806E-04 6.463485298E-01 5.321613556E+02 1.337918053E-03 
W60S20U 1389992860 0 555 4.775878073E+18 9.999998027E+01 3.110725904E-04 6.379705856E-01 3.999157290E+02 1.398959769E-03 
W60S25 1389992860 0 555 6.543586943E+18 9.999998759E+01 3.226163855E-04 6.469750374E-01 5.436529197E+02 1.373308427E-03 
W60S25U 1389992860 0 555 6.234540129E+18 9.999995143E+01 3.182774442E-04 6.388606014E-01 4.122392637E+02 1.371820086E-03 
W65S05 1389863725 0 555 3.247055799E+18 9.636345594E+01 2.932992224E-04 6.445971230E-01 5.013090251E+02 1.245837829E-03 
W65S05U 1389863725 0 555 3.422229140E+18 9.999906624E+01 2.966805618E-04 6.369897409E-01 3.867608166E+02 1.157412702E-03 
W65S10 1389863725 0 555 6.735292909E+18 9.999999470E+01 3.229526186E-04 6.472666302E-01 5.490856923E+02 1.513671330E-03 
W65S10U 1389863725 0 555 6.310329688E+18 9.999997701E+01 3.193827152E-04 6.392589881E-01 4.178778402E+02 1.399481835E-03 
W65S15 1389863725 0 555 8.383138325E+18 9.999997779E+01 3.350712644E-04 6.485455968E-01 5.735631475E+02 1.831803289E-03 
W65S15U 1389863725 0 555 8.236924270E+18 9.999998908E+01 3.294756106E-04 6.412118759E-01 4.466537920E+02 1.635168501E-03 
W65S20 1389865115 0 555 9.388266884E+18 9.999998196E+01 3.374605495E-04 6.494351082E-01 5.912275146E+02 2.188128547E-03 
W65S20U 1389863725 0 555 9.163509239E+18 4.996928846E+00 3.372603886E-04 6.411546318E-01 4.457827483E+02 2.371288061E-03 
W65S25 1389863725 0 555 1.002330952E+19 9.999997866E+01 3.455412770E-04 6.502397721E-01 6.076751383E+02 2.028168387E-03 
W65S25U 1389863725 0 555 2.561645561E+20 5.124834249E-08 1.205646589E-03 6.446410642E-01 5.020607603E+02 3.483567947E-03 
W70S01 1389798356 0 555 3.580713489E+18 3.327478473E-06 3.558538836E-04 6.460082669E-01 5.260222838E+02 1.242708378E-03 
W70S01U 1389707946 0 555 4.561396310E+18 1.912056458E-06 4.012189341E-04 6.383393277E-01 4.049761488E+02 1.259979174E-03 
W70S03 1389798356 0 555 3.780402090E+18 9.999997212E+01 3.066003836E-04 6.462846243E-01 5.310029239E+02 1.198578644E-03 
W70S03U 1389707914 0 555 4.388083628E+18 9.999998269E+01 3.172281749E-04 6.383955448E-01 4.057532477E+02 1.283203236E-03 
W70S05 1389798356 0 555 5.724466029E+18 9.999994824E+01 3.166206285E-04 6.481074667E-01 5.650575254E+02 1.475085829E-03 
W70S05U 1389707881 0 555 5.524972654E+18 9.999999270E+01 3.261594724E-04 6.397744649E-01 4.252882648E+02 1.381051435E-03 
W70S05U2 1389992860 0 555 5.802032311E+18 9.999997536E+01 3.150609288E-04 6.423225395E-01 4.638949259E+02 1.386209935E-03 
W70S10 1389798356 0 555 8.635517262E+18 9.999999052E+01 3.407383218E-04 6.501325174E-01 6.054566585E+02 1.927468494E-03 
W70S10U 1389707845 0 555 7.983719189E+18 9.999999609E+01 3.448484448E-04 6.423855536E-01 4.648928232E+02 1.767110661E-03 
W70S10U2 1389992860 0 555 1.297502428E+19 8.188956492E-06 3.787418592E-04 6.445649000E-01 5.007584766E+02 1.472414211E-03 
W70S15 1389798356 0 555 9.870548711E+18 9.999999591E+01 3.443245749E-04 6.517773385E-01 6.403867944E+02 1.917602034E-03 
W70S15U2 1389992860 0 555 9.593224317E+18 9.999996923E+01 3.435588094E-04 6.455626462E-01 5.180893127E+02 1.986975673E-03 
W70S20 1389798356 0 555 1.034422497E+19 9.999999755E+01 3.494829133E-04 6.518199432E-01 6.413178546E+02 1.995964821E-03 
W70S20U 1389707781 0 555 9.450224283E+18 9.999999859E+01 3.511835321E-04 6.434016880E-01 4.812840703E+02 2.088648267E-03 
W70S20U2 1389992860 0 555 1.024630795E+19 9.999988864E+01 3.468496479E-04 6.460249860E-01 5.263222703E+02 2.170352097E-03 
W70S25 1389798356 0 555 1.065782160E+19 9.999999717E+01 3.506624784E-04 6.527095149E-01 6.610702624E+02 2.186037916E-03 
