T d154 d184 d214 d244
d 150 180 210 240
290 1.203088280E+00 1.199959230E+00 1.197401768E+00 1.195559827E+00
295 1.203503930E+00 1.200738660E+00 1.198380900E+00 1.196617247E+00
300 1.204648775E+00 1.202016082E+00 1.199839250E+00 1.197945906E+00
305 1.205750616E+00 1.203115681E+00 1.200872428E+00 1.198940648E+00
310 1.206029699E+00 1.203192080E+00 1.200755479E+00 1.198614954E+00
315 1.203427101E+00 1.200276774E+00 1.197296550E+00 1.194756308E+00
320 1.195018706E+00 1.190602652E+00 1.186550235E+00 1.183041790E+00
325 1.172273749E+00 1.165097917E+00 1.158937841E+00 1.153809234E+00
330 1.121122446E+00 1.108956683E+00 1.099063551E+00 1.091274262E+00
335 1.025358349E+00 1.010798993E+00 1.009850291E+00 1.009127072E+00
340 1.012580970E+00 1.011436979E+00 1.010579451E+00 1.009899647E+00
