N_Fe d154 d184 d214 d244
d 150 180 210 240
1.000000000E+01 1.087468417E+00 1.062729198E+00 1.041937429E+00 1.022663512E+00
1.016672606E+01 1.088274702E+00 1.063686420E+00 1.043170026E+00 1.024273420E+00
1.033324570E+01 1.089250342E+00 1.065035477E+00 1.045038685E+00 1.026788126E+00
1.049996187E+01 1.090565036E+00 1.066986769E+00 1.047809885E+00 1.030540340E+00
1.066670514E+01 1.092414445E+00 1.069805166E+00 1.051830945E+00 1.035965375E+00
1.083333839E+01 1.095043488E+00 1.073831253E+00 1.057544008E+00 1.043600504E+00
1.100000000E+01 1.098764056E+00 1.079489260E+00 1.065473033E+00 1.054037451E+00
1.116672606E+01 1.103959560E+00 1.087265197E+00 1.076156220E+00 1.067790239E+00
1.133324570E+01 1.111061100E+00 1.097627994E+00 1.089988340E+00 1.085046473E+00
1.149996187E+01 1.120470702E+00 1.110863555E+00 1.106957854E+00 1.105334664E+00
1.166670514E+01 1.132407276E+00 1.126822554E+00 1.126351247E+00 1.127293862E+00
1.183333839E+01 1.146683313E+00 1.144678776E+00 1.146650741E+00 1.148869463E+00
1.200000000E+01 1.162509410E+00 1.162927140E+00 1.165902873E+00 1.168070216E+00
1.216672606E+01 1.178530456E+00 1.179828578E+00 1.182512857E+00 1.183829642E+00
1.233324570E+01 1.193249711E+00 1.194141781E+00 1.195890540E+00 1.196242211E+00
1.249996187E+01 1.205660121E+00 1.205526601E+00 1.206406810E+00 1.206075262E+00
1.266670514E+01 1.215587849E+00 1.214554094E+00 1.214838588E+00 1.214138283E+00
1.283333839E+01 1.223488283E+00 1.221889649E+00 1.221870370E+00 1.220997055E+00
1.300000000E+01 1.229987299E+00 1.228103907E+00 1.227944714E+00 1.226985850E+00
