fname V Rs Rt Qt nt Rr Qr nr rmsre
d33bm1V2n1 -1.2 2.3179044E+0 1.0726218E+4 1.9759210E-9 9.6357591E-1 4.1142985E+4 3.8253501E-10 1.0000000E+0 1.7277709E-2
d33bm1Vn1 -1 2.1484868E+0 1.0538386E+4 2.1402642E-9 9.6102105E-1 4.0235838E+4 4.2469669E-10 1.0000000E+0 1.0827903E-2
d33bm0V8n1 -0.8 2.3011265E+0 1.0215714E+4 2.2832059E-9 9.5962301E-1 4.3160788E+4 4.6823789E-10 1.0000000E+0 1.0577697E-2
d33bm0V6n1 -0.6 2.0229201E+0 1.0218862E+4 2.5275556E-9 9.5592502E-1 4.7378047E+4 5.1346292E-10 1.0000000E+0 1.0662509E-2
d33bm0V4n1 -0.4 2.0481204E+0 9.7721383E+3 2.7679929E-9 9.5324996E-1 5.2770936E+4 5.7231303E-10 1.0000000E+0 1.1100245E-2
d33bm0V2n1 -0.2 1.9171544E+0 9.2941940E+3 3.0986022E-9 9.4934961E-1 5.4868199E+4 6.5732683E-10 1.0000000E+0 1.0706666E-2
d33b0Vn1 0 1.4578892E+0 8.7410884E+3 3.5367777E-9 9.4414074E-1 5.2995853E+4 7.8909111E-10 1.0000000E+0 1.2208193E-2
d33b0V2n1 0.2 1.8920936E+0 6.3682403E+3 4.0205415E-9 9.4104982E-1 1.0612418E+4 2.2713247E-9 9.7090445E-1 5.0654898E-3
d33b0V4n1 0.4 4.1694189E+0 1.2174225E+3 3.0542489E-9 9.6192465E-1 2.5470315E+3 2.9274285E-9 8.7326748E-1 3.3717112E-3

