T file kT1 TDD
335 001_335 34.61 1.000000E+10
335 002_335 34.61 1.468000E+10
335 003_335 34.61 2.154000E+10
335 004_335 34.61 3.162000E+10
335 005_335 34.61 4.642000E+10
335 006_335 34.61 6.813000E+10
335 007_335 34.61 1.000000E+11
335 008_335 34.61 1.468000E+11
335 009_335 34.61 2.154000E+11
335 010_335 34.61 3.162000E+11
335 011_335 34.61 4.642000E+11
335 012_335 34.61 6.813000E+11
335 013_335 34.61 1.000000E+12
335 014_335 34.61 1.468000E+12
335 015_335 34.61 2.154000E+12
335 016_335 34.61 3.162000E+12
335 017_335 34.61 4.642000E+12
335 018_335 34.61 6.813000E+12
335 019_335 34.61 1.000000E+13
