T d154 d184 d214 d244
d 150 180 210 240
290 1.247050757E+00 1.245988153E+00 1.244130324E+00 1.244060396E+00
295 1.247243258E+00 1.246300839E+00 1.244778206E+00 1.244603394E+00
300 1.248129361E+00 1.247238785E+00 1.245848491E+00 1.245832356E+00
305 1.249262735E+00 1.248433691E+00 1.247119339E+00 1.247123262E+00
310 1.250122057E+00 1.248708599E+00 1.248042449E+00 1.248273314E+00
315 1.249796515E+00 1.248464469E+00 1.247774686E+00 1.248148624E+00
320 1.247022935E+00 1.245861801E+00 1.245295591E+00 1.245722709E+00
325 1.239280043E+00 1.238670168E+00 1.238335141E+00 1.238796192E+00
330 1.223119178E+00 1.223312214E+00 1.223581073E+00 1.224441526E+00
335 1.192488680E+00 1.192702032E+00 1.195756218E+00 1.197305538E+00
340 1.139660047E+00 1.142589617E+00 1.147645567E+00 1.150362853E+00
