d Bo nFsrh nFBsrh dnsrh nF nFB dn dnF dnFB
150 1.500000000E+01 1.154234118E+00 1.197473710E+00 -4.323959200E-02 1.153529260E+00 1.194263087E+00 -4.073382700E-02 7.048580000E-04 3.210623000E-03
150 1.524993176E+01 1.204577194E+00 1.203798143E+00 7.790510000E-04 1.202327674E+00 1.199330751E+00 2.996923000E-03 2.249520000E-03 4.467392000E-03
150 1.549996187E+01 1.226492960E+00 1.208005312E+00 1.848764800E-02 1.222242122E+00 1.202091463E+00 2.015065900E-02 4.250838000E-03 5.913849000E-03
150 1.574996808E+01 1.240580689E+00 1.214987394E+00 2.559329500E-02 1.233309044E+00 1.207555174E+00 2.575387000E-02 7.271645000E-03 7.432220000E-03
150 1.600000000E+01 1.253167210E+00 1.221006803E+00 3.216040700E-02 1.241317443E+00 1.212028592E+00 2.928885100E-02 1.184976700E-02 8.978211000E-03
150 1.624993176E+01 1.266081878E+00 1.222292302E+00 4.378957600E-02 1.247633190E+00 1.211733175E+00 3.590001500E-02 1.844868800E-02 1.055912700E-02
150 1.649996187E+01 1.281322784E+00 1.222146601E+00 5.917618300E-02 1.253857911E+00 1.209596821E+00 4.426109000E-02 2.746487300E-02 1.254978000E-02
150 1.674996808E+01 1.298863055E+00 1.227238047E+00 7.162500800E-02 1.259520710E+00 1.211519161E+00 4.800154900E-02 3.934234500E-02 1.571888600E-02
150 1.700000000E+01 1.318879330E+00 1.239381314E+00 7.949801600E-02 1.264284990E+00 1.218665916E+00 4.561907400E-02 5.459434000E-02 2.071539800E-02
180 1.500000000E+01 1.143664044E+00 1.194432011E+00 -5.076796700E-02 1.143098817E+00 1.191760365E+00 -4.866154800E-02 5.652270000E-04 2.671646000E-03
180 1.524993176E+01 1.199213046E+00 1.200841222E+00 -1.628176000E-03 1.197254243E+00 1.197072844E+00 1.813990000E-04 1.958803000E-03 3.768378000E-03
180 1.549996187E+01 1.222086157E+00 1.205147451E+00 1.693870600E-02 1.218372118E+00 1.200088079E+00 1.828403900E-02 3.714039000E-03 5.059372000E-03
180 1.574996808E+01 1.237560268E+00 1.212119011E+00 2.544125700E-02 1.231182641E+00 1.205618121E+00 2.556452000E-02 6.377627000E-03 6.500890000E-03
180 1.600000000E+01 1.250191931E+00 1.218145125E+00 3.204680600E-02 1.239675993E+00 1.210054477E+00 2.962151600E-02 1.051593800E-02 8.090648000E-03
180 1.624993176E+01 1.263092349E+00 1.219370794E+00 4.372155500E-02 1.246409525E+00 1.209522022E+00 3.688750300E-02 1.668282400E-02 9.848772000E-03
180 1.649996187E+01 1.277339259E+00 1.218946163E+00 5.839309600E-02 1.251932921E+00 1.206837337E+00 4.509558400E-02 2.540633800E-02 1.210882600E-02
180 1.674996808E+01 1.293368210E+00 1.223824341E+00 6.954386900E-02 1.256210632E+00 1.208239231E+00 4.797140100E-02 3.715757800E-02 1.558511000E-02
180 1.700000000E+01 1.314347400E+00 1.235986261E+00 7.836113900E-02 1.261683141E+00 1.215031122E+00 4.665201900E-02 5.266425900E-02 2.095513900E-02
210 1.500000000E+01 1.133080551E+00 1.191617483E+00 -5.853693200E-02 1.132613216E+00 1.189301016E+00 -5.668780000E-02 4.673350000E-04 2.316467000E-03
210 1.524993176E+01 1.194579927E+00 1.198253936E+00 -3.674009000E-03 1.192814975E+00 1.194954700E+00 -2.139725000E-03 1.764952000E-03 3.299236000E-03
210 1.549996187E+01 1.219685078E+00 1.202617853E+00 1.706722500E-02 1.216324675E+00 1.198132352E+00 1.819232300E-02 3.360403000E-03 4.485501000E-03
210 1.574996808E+01 1.234084260E+00 1.209565166E+00 2.451909400E-02 1.228309853E+00 1.203635749E+00 2.467410400E-02 5.774407000E-03 5.929417000E-03
210 1.600000000E+01 1.247671479E+00 1.215738292E+00 3.193318700E-02 1.238073702E+00 1.208236450E+00 2.983725200E-02 9.597777000E-03 7.501842000E-03
210 1.624993176E+01 1.260447026E+00 1.216850922E+00 4.359610400E-02 1.245000279E+00 1.207449239E+00 3.755104000E-02 1.544674700E-02 9.401683000E-03
210 1.649996187E+01 1.274804170E+00 1.216353623E+00 5.845054700E-02 1.250841986E+00 1.204469543E+00 4.637244300E-02 2.396218400E-02 1.188408000E-02
210 1.674996808E+01 1.290989097E+00 1.221196977E+00 6.979212000E-02 1.255256072E+00 1.205583918E+00 4.967215400E-02 3.573302500E-02 1.561305900E-02
210 1.700000000E+01 1.310131579E+00 1.233581040E+00 7.655053900E-02 1.258613077E+00 1.212298745E+00 4.631433200E-02 5.151850200E-02 2.128229500E-02
240 1.500000000E+01 1.121677507E+00 1.189002401E+00 -6.732489400E-02 1.121289509E+00 1.186938654E+00 -6.564914500E-02 3.879980000E-04 2.063747000E-03
240 1.524993176E+01 1.189951162E+00 1.195945732E+00 -5.994570000E-03 1.188324391E+00 1.192976046E+00 -4.651655000E-03 1.626771000E-03 2.969686000E-03
240 1.549996187E+01 1.216722058E+00 1.200190161E+00 1.653189700E-02 1.213609287E+00 1.196109777E+00 1.749951000E-02 3.112771000E-03 4.080384000E-03
240 1.574996808E+01 1.231973076E+00 1.207090361E+00 2.488271500E-02 1.226618716E+00 1.201658912E+00 2.495980400E-02 5.354360000E-03 5.431449000E-03
