N_B d154 d184 d214 d244
d 150 180 210 240
1.500000000E+01 2.995150000E-03 5.158340000E-03 6.394404000E-03 5.966779000E-03
1.600000000E+01 3.135434200E-02 3.108542800E-02 3.089965400E-02 3.005570800E-02
1.700000000E+01 6.772010900E-02 6.716937100E-02 6.594158700E-02 6.588227100E-02
1.549996187E+01 2.286096500E-02 2.240977300E-02 2.351070100E-02 2.361435900E-02
1.649996187E+01 5.371626300E-02 5.291307900E-02 5.288468300E-02 5.275958100E-02
1.674996808E+01 6.290530400E-02 6.105068300E-02 6.145364100E-02 6.172665500E-02
1.624993176E+01 4.130018700E-02 4.106717700E-02 4.079687200E-02 4.060245100E-02
1.574996808E+01 2.663777100E-02 2.667462000E-02 2.598592100E-02 2.643759200E-02
1.524993176E+01 1.521736000E-02 1.601645500E-02 1.696941900E-02 1.737805900E-02
