N_B d154 d184 d214 d244
d 150 180 210 240
1.500000000E+01 -2.497826700E-02 -2.100359400E-02 -1.862330900E-02 -1.844899700E-02
1.600000000E+01 3.072221000E-02 3.054466900E-02 3.000639100E-02 2.968138700E-02
1.700000000E+01 6.401932200E-02 6.347504800E-02 6.222327700E-02 6.265306600E-02
1.549996187E+01 2.075598700E-02 2.034880200E-02 2.151027500E-02 2.157177300E-02
1.649996187E+01 5.081407800E-02 5.010125500E-02 4.995467000E-02 4.999289900E-02
1.674996808E+01 5.950117300E-02 5.773989800E-02 5.820942800E-02 5.836700300E-02
1.624993176E+01 3.943650800E-02 3.911713800E-02 3.901350400E-02 3.897815000E-02
1.574996808E+01 2.598130000E-02 2.615441500E-02 2.556821500E-02 2.612701500E-02
1.524993176E+01 6.976523000E-03 8.227033000E-03 9.460359000E-03 1.010504500E-02
