N_Fe N_B T d Jsc_FeB Eta_FeB Voc_FeB FF_FeB
1.000000E+10 1.000E+15 340 3.800E-4 3.933088E+1 1.556050E+1 5.207600E-1 7.597190E+1
1.468000E+10 1.000E+15 340 3.800E-4 3.931450E+1 1.550610E+1 5.196170E-1 7.590420E+1
2.154000E+10 1.000E+15 340 3.800E-4 3.929062E+1 1.542930E+1 5.179770E-1 7.581330E+1
3.162000E+10 1.000E+15 340 3.800E-4 3.925590E+1 1.532360E+1 5.157030E-1 7.569290E+1
4.642000E+10 1.000E+15 340 3.800E-4 3.920564E+1 1.518150E+1 5.126160E-1 7.553970E+1
6.813000E+10 1.000E+15 340 3.800E-4 3.913334E+1 1.499650E+1 5.084970E-1 7.536270E+1
1.000000E+11 1.000E+15 340 3.800E-4 3.903028E+1 1.476190E+1 5.032010E-1 7.516200E+1
1.468000E+11 1.000E+15 340 3.800E-4 3.888526E+1 1.447560E+1 4.967030E-1 7.494720E+1
2.154000E+11 1.000E+15 340 3.800E-4 3.868488E+1 1.413710E+1 4.891340E-1 7.471240E+1
3.162000E+11 1.000E+15 340 3.800E-4 3.841479E+1 1.375110E+1 4.807380E-1 7.446150E+1
4.642000E+11 1.000E+15 340 3.800E-4 3.806264E+1 1.332440E+1 4.718890E-1 7.418390E+1
6.813000E+11 1.000E+15 340 3.800E-4 3.762244E+1 1.286770E+1 4.629850E-1 7.387310E+1
1.000000E+12 1.000E+15 340 3.800E-4 3.709896E+1 1.239450E+1 4.543540E-1 7.353170E+1
1.468000E+12 1.000E+15 340 3.800E-4 3.650864E+1 1.191940E+1 4.462190E-1 7.316660E+1
2.154000E+12 1.000E+15 340 3.800E-4 3.587415E+1 1.145510E+1 4.386910E-1 7.278770E+1
3.162000E+12 1.000E+15 340 3.800E-4 3.521461E+1 1.100650E+1 4.317560E-1 7.239180E+1
4.642000E+12 1.000E+15 340 3.800E-4 3.453907E+1 1.057210E+1 4.253010E-1 7.197080E+1
6.813000E+12 1.000E+15 340 3.800E-4 3.384657E+1 1.014790E+1 4.191240E-1 7.153510E+1
1.000000E+13 1.000E+15 340 3.800E-4 3.313349E+1 9.729400E+0 4.129930E-1 7.110090E+1
1.468000E+13 1.000E+15 340 3.800E-4 3.239584E+1 9.313400E+0 4.067690E-1 7.067580E+1
2.154000E+13 1.000E+15 340 3.800E-4 3.163142E+1 8.899500E+0 4.003890E-1 7.026940E+1
3.162000E+13 1.000E+15 340 3.800E-4 3.083941E+1 8.486200E+0 3.938380E-1 6.986950E+1
4.642000E+13 1.000E+15 340 3.800E-4 3.002015E+1 8.073900E+0 3.871180E-1 6.947480E+1
6.813000E+13 1.000E+15 340 3.800E-4 2.917506E+1 7.662200E+0 3.802310E-1 6.907100E+1
1.000000E+14 1.000E+15 340 3.800E-4 2.830705E+1 7.251000E+0 3.731740E-1 6.864270E+1
