fname time Tem kT_1 Rs_EA Is1_EA Is2_EA n1_EA n2_EA Rsh_EA If_EA Voc_EA Isc_EA Pm_EA FF_EA 
00L1 9:25 309.2 37.5 5.81E+00 5.23E-10 9.44E-06 1 2.759 7.96E+02 1.734E-004 0.1114 1.720E-004 5.120E-006 0.2673 
00L2 9:43 313.8 36.95 6.75E+00 1.05E-09 9.44E-06 1 2.618 7.72E+02 1.748E-004 0.1085 1.731E-004 5.014E-006 0.267 
00L3 10:20 316.9 36.59 3.26E+00 1.41E-09 9.13E-06 1 2.504 7.61E+02 1.738E-004 0.1063 1.730E-004 4.904E-006 0.2666 
00L4 10:37 319.6 36.28 3.68E+00 2.00E-09 9.00E-06 1 2.428 7.35E+02 1.783E-004 0.1056 1.773E-004 4.984E-006 0.2663 
00L5 10:54 322.1 36 4.27E+00 2.89E-09 1.09E-05 1 2.456 7.56E+02 1.767E-004 0.1039 1.756E-004 4.937E-006 0.2706 
00L6 11:12 324.8 35.7 5.08E+00 4.51E-09 1.44E-05 1 2.527 7.97E+02 1.759E-004 0.1027 1.746E-004 4.907E-006 0.2738 
00L7 11:36 327.3 35.42 4.67E+00 6.36E-09 1.91E-05 1 2.613 8.51E+02 1.760E-004 0.1014 1.748E-004 4.915E-006 0.2772 
00L8 11:59 330.6 35.07 5.96E+00 9.90E-09 2.01E-05 1 2.54 8.15E+02 1.745E-004 0.09637 1.729E-004 4.607E-006 0.2764 
00L9 12:20 334.2 34.69 6.51E+00 1.70E-08 2.96E-05 1 2.684 8.84E+02 1.759E-004 0.09356 1.742E-004 4.562E-006 0.28 
0L10 12:40 338 34.3 4.87E+00 2.29E-08 2.52E-05 1 2.444 8.04E+02 1.761E-004 0.08995 1.747E-004 4.369E-006 0.278 
0L11 13:4 341.2 33.98 4.46E+00 3.60E-08 2.77E-05 1 2.413 7.74E+02 1.747E-004 0.08511 1.734E-004 4.043E-006 0.274 
