T Bo nFsrh nFBsrh dnsrh nF nFB dn dnF dnFB
290 1.500000000E+01 1.210148754E+00 1.201416682E+00 8.732072000E-03 1.210138548E+00 1.201393198E+00 8.745350000E-03 1.020600000E-05 2.348400000E-05
290 1.524993176E+01 1.223734217E+00 1.206953427E+00 1.678079000E-02 1.223713333E+00 1.206917427E+00 1.679590600E-02 2.088400000E-05 3.600000000E-05
290 1.549996187E+01 1.235494403E+00 1.212866738E+00 2.262766500E-02 1.235452578E+00 1.212812310E+00 2.264026800E-02 4.182500000E-05 5.442800000E-05
290 1.574996808E+01 1.249530002E+00 1.223066000E+00 2.646400200E-02 1.249446564E+00 1.222985538E+00 2.646102600E-02 8.343800000E-05 8.046200000E-05
290 1.600000000E+01 1.263738165E+00 1.232051391E+00 3.168677400E-02 1.263571618E+00 1.231937486E+00 3.163413200E-02 1.665470000E-04 1.139050000E-04
290 1.624993176E+01 1.279871873E+00 1.237444124E+00 4.242774900E-02 1.279539739E+00 1.237282423E+00 4.225731600E-02 3.321340000E-04 1.617010000E-04
290 1.649996187E+01 1.298154472E+00 1.243392067E+00 5.476240500E-02 1.297495363E+00 1.243156383E+00 5.433898000E-02 6.591090000E-04 2.356840000E-04
290 1.674996808E+01 1.318762215E+00 1.255798878E+00 6.296333700E-02 1.317469020E+00 1.255458669E+00 6.201035100E-02 1.293195000E-03 3.402090000E-04
290 1.700000000E+01 1.343726326E+00 1.274640372E+00 6.908595400E-02 1.341250681E+00 1.274160712E+00 6.708996900E-02 2.475645000E-03 4.796600000E-04
295 1.500000000E+01 1.205984275E+00 1.200825935E+00 5.158340000E-03 1.205975678E+00 1.200804906E+00 5.170772000E-03 8.597000000E-06 2.102900000E-05
295 1.524993176E+01 1.222909574E+00 1.206893119E+00 1.601645500E-02 1.222891445E+00 1.206860995E+00 1.603045000E-02 1.812900000E-05 3.212400000E-05
295 1.549996187E+01 1.235561187E+00 1.213151414E+00 2.240977300E-02 1.235524802E+00 1.213101944E+00 2.242285800E-02 3.638500000E-05 4.947000000E-05
295 1.574996808E+01 1.249498354E+00 1.222823734E+00 2.667462000E-02 1.249425613E+00 1.222751586E+00 2.667402700E-02 7.274100000E-05 7.214800000E-05
295 1.600000000E+01 1.263364941E+00 1.232279513E+00 3.108542800E-02 1.263218679E+00 1.232174873E+00 3.104380600E-02 1.462620000E-04 1.046400000E-04
