fname time Tem kT_1 n1 Rs Io1 Rsh n2 Io2 dev  
001_315 001_315.dat 315 36.81 1.000000000E+00 1.000000000E+00 0.000000000E+00 1.246787575E-14 1.000000000E+20 1.169244786E+00 1.151788358E-15 1.311925916E-04 
001_315_SRH 001_315_srh.dat 315 36.81 1.000000000E+00 1.000000000E+00 0.000000000E+00 6.201872120E-15 1.000000000E+20 1.232750517E+00 1.007627070E-15 2.566043433E-04 
002_315 002_315.dat 315 36.81 1.000000000E+00 1.000000000E+00 0.000000000E+00 1.509990972E-14 1.000000000E+20 1.187431200E+00 1.604061495E-15 1.333274067E-04 
002_315_SRH 002_315_srh.dat 315 36.81 1.000000000E+00 1.000000000E+00 0.000000000E+00 8.910411228E-15 1.000000000E+20 1.233433311E+00 1.476121808E-15 2.625298354E-04 
003_315 003_315.dat 315 36.81 1.000000000E+00 1.000000000E+00 0.000000000E+00 1.876967097E-14 1.000000000E+20 1.202943282E+00 2.274720994E-15 1.534489622E-04 
003_315_SRH 003_315_srh.dat 315 36.81 1.000000000E+00 1.000000000E+00 0.000000000E+00 1.268881775E-14 1.000000000E+20 1.234382940E+00 2.160846759E-15 2.711169178E-04 
004_315 004_315.dat 315 36.81 1.000000000E+00 1.000000000E+00 0.000000000E+00 2.380945637E-14 1.000000000E+20 1.221489292E+00 3.260985717E-15 1.898023405E-04 
004_315_SRH 004_315_srh.dat 315 36.81 1.000000000E+00 1.000000000E+00 0.000000000E+00 1.785579500E-14 1.000000000E+20 1.235674471E+00 3.160267367E-15 2.834903632E-04 
005_315 005_315.dat 315 36.81 1.000000000E+00 1.000000000E+00 0.000000000E+00 3.050309346E-14 1.000000000E+20 1.229581654E+00 4.705452875E-15 2.264321249E-04 
005_315_SRH 005_315_srh.dat 315 36.81 1.000000000E+00 1.000000000E+00 0.000000000E+00 2.474352179E-14 1.000000000E+20 1.237378464E+00 4.616932625E-15 3.011741433E-04 
006_315 006_315.dat 315 36.81 1.000000000E+00 1.000000000E+00 0.000000000E+00 3.915733512E-14 1.000000000E+20 1.235322022E+00 6.815735233E-15 2.662714661E-04 
006_315_SRH 006_315_srh.dat 315 36.81 1.000000000E+00 1.000000000E+00 0.000000000E+00 3.364599390E-14 1.000000000E+20 1.239539978E+00 6.737284584E-15 3.261612526E-04 
007_315 007_315.dat 315 36.81 1.000000000E+00 1.000000000E+00 0.000000000E+00 4.997264255E-14 1.000000000E+20 1.239363225E+00 9.894136124E-15 3.112951510E-04 
007_315_SRH 007_315_srh.dat 315 36.81 1.000000000E+00 1.000000000E+00 0.000000000E+00 4.476488268E-14 1.000000000E+20 1.242150631E+00 9.821105224E-15 3.609265992E-04 
008_315 008_315.dat 315 36.81 1.000000000E+00 1.000000000E+00 0.000000000E+00 6.306719819E-14 1.000000000E+20 1.243303270E+00 1.437293613E-14 3.668635991E-04 
008_315_SRH 008_315_srh.dat 315 36.81 1.000000000E+00 1.000000000E+00 0.000000000E+00 5.819339928E-14 1.000000000E+20 1.245126947E+00 1.430570353E-14 4.083296339E-04 
009_315 009_315.dat 315 36.81 1.000000000E+00 1.000000000E+00 0.000000000E+00 7.850959352E-14 1.000000000E+20 1.247127685E+00 2.089342779E-14 4.361901751E-04 
009_315_SRH 009_315_srh.dat 315 36.81 1.000000000E+00 1.000000000E+00 0.000000000E+00 7.397848690E-14 1.000000000E+20 1.248311518E+00 2.083202116E-14 4.713732889E-04 
010_315 010_315.dat 315 36.81 1.000000000E+00 1.000000000E+00 0.000000000E+00 9.643609926E-14 1.000000000E+20 1.252349905E+00 3.050930674E-14 5.245597750E-04 
010_315_SRH 010_315_srh.dat 315 36.81 1.000000000E+00 1.000000000E+00 0.000000000E+00 9.224103528E-14 1.000000000E+20 1.252539004E+00 3.041361166E-14 5.522037779E-04 
011_315 011_315.dat 315 36.81 1.000000000E+00 1.000000000E+00 0.000000000E+00 1.172308975E-13 1.000000000E+20 1.255222976E+00 4.439433028E-14 6.298285001E-04 
011_315_SRH 011_315_srh.dat 315 36.81 1.000000000E+00 1.000000000E+00 0.000000000E+00 1.133545074E-13 1.000000000E+20 1.256045895E+00 4.437771235E-14 6.509597685E-04 
012_315 012_315.dat 315 36.81 1.000000000E+00 1.000000000E+00 0.000000000E+00 1.415624212E-13 1.000000000E+20 1.257668205E+00 6.466467967E-14 7.520243296E-04 
012_315_SRH 012_315_srh.dat 315 36.81 1.000000000E+00 1.000000000E+00 0.000000000E+00 1.379389411E-13 1.000000000E+20 1.258135884E+00 6.464070667E-14 7.709464013E-04 
013_315 013_315.dat 315 36.81 1.000000000E+00 1.000000000E+00 0.000000000E+00 1.702929974E-13 1.000000000E+20 1.260066988E+00 9.437792687E-14 9.015660502E-04 
013_315_SRH 013_315_srh.dat 315 36.81 1.000000000E+00 1.000000000E+00 0.000000000E+00 1.668791498E-13 1.000000000E+20 1.260275061E+00 9.433525095E-14 9.175439189E-04 
014_315 014_315.dat 315 36.81 1.000000000E+00 1.000000000E+00 0.000000000E+00 2.044672957E-13 1.000000000E+20 1.262175173E+00 1.379004769E-13 1.076175903E-03 
014_315_SRH 014_315_srh.dat 315 36.81 1.000000000E+00 1.000000000E+00 0.000000000E+00 2.012173990E-13 1.000000000E+20 1.262301776E+00 1.378572722E-13 1.091457118E-03 
015_315 015_315.dat 315 36.81 1.000000000E+00 1.000000000E+00 0.000000000E+00 2.457435619E-13 1.000000000E+20 1.268867809E+00 2.021642376E-13 1.283475337E-03 
015_315_SRH 015_315_srh.dat 315 36.81 1.000000000E+00 1.000000000E+00 0.000000000E+00 2.427156751E-13 1.000000000E+20 1.269769405E+00 2.022156494E-13 1.299713350E-03 
016_315 016_315.dat 315 36.81 1.000000000E+00 1.000000000E+00 0.000000000E+00 2.954323625E-13 1.000000000E+20 1.276995064E+00 2.970553080E-13 1.535349054E-03 
016_315_SRH 016_315_srh.dat 315 36.81 1.000000000E+00 1.000000000E+00 0.000000000E+00 2.924002135E-13 1.000000000E+20 1.276970963E+00 2.969864973E-13 1.549550934E-03 
017_315 017_315.dat 315 36.81 1.000000000E+00 1.000000000E+00 0.000000000E+00 3.536268912E-13 1.000000000E+20 1.278337561E+00 4.348732730E-13 1.798215532E-03 
017_315_SRH 017_315_srh.dat 315 36.81 1.000000000E+00 1.000000000E+00 0.000000000E+00 3.506089675E-13 1.000000000E+20 1.278181208E+00 4.348026219E-13 1.813459614E-03 
018_315 018_315.dat 315 36.81 1.000000000E+00 1.000000000E+00 0.000000000E+00 3.984987147E-13 1.000000000E+20 1.250121491E+00 6.539254768E-13 2.095525296E-03 
018_315_SRH 018_315_srh.dat 315 36.81 1.000000000E+00 1.000000000E+00 0.000000000E+00 3.956477702E-13 1.000000000E+20 1.250145944E+00 6.538688987E-13 2.106106442E-03 
019_315 019_315.dat 315 36.81 1.000000000E+00 1.000000000E+00 0.000000000E+00 4.918368450E-13 1.000000000E+20 1.273229434E+00 9.537350473E-13 2.568117382E-03 
019_315_SRH 019_315_srh.dat 315 36.81 1.000000000E+00 1.000000000E+00 0.000000000E+00 4.890773133E-13 1.000000000E+20 1.273324057E+00 9.537523821E-13 2.577409516E-03 
