fname time Tem kT_1 n Rs Io Rsh Fb dev 
00T1 8:38:10 299.6 38.7 2.537E+000 3.921E+001 4.026E-006 1.000E+012 6.482E-001 5.079E-003 
00T2 8:54:30 303.1 38.25 2.606E+000 2.935E+001 5.207E-006 1.000E+012 6.497E-001 4.165E-003 
00T3 9:40:56 304.7 38.05 2.643E+000 2.912E+001 5.566E-006 1.000E+012 6.516E-001 4.331E-003 
00T4 9:54:00 306.6 37.82 2.631E+000 2.366E+001 6.139E-006 1.000E+012 6.534E-001 4.093E-003 
00T5 10:08:36 308.2 37.62 2.636E+000 2.555E+001 6.780E-006 1.000E+012 6.545E-001 3.439E-003 
00T6 10:22:30 310.1 37.39 2.662E+000 1.992E+001 7.599E-006 1.000E+012 6.558E-001 3.468E-003 
00T7 10:39:22 313.2 37.02 2.669E+000 1.743E+001 8.975E-006 1.000E+012 6.584E-001 3.255E-003 
00T8 10:52:38 314.7 36.84 2.670E+000 1.894E+001 9.750E-006 1.000E+012 6.595E-001 2.644E-003 
00T9 11:05:16 318.2 36.44 2.682E+000 1.536E+001 1.179E-005 1.000E+012 6.623E-001 2.289E-003 
0T10 11:18:32 321 36.12 2.706E+000 9.581E+000 1.375E-005 1.000E+012 6.643E-001 2.205E-003 
0T11 11:32:16 323 35.9 2.711E+000 9.240E+000 1.547E-005 1.000E+012 6.655E-001 1.861E-003 
0T12 11:44:08 325.6 35.61 2.713E+000 7.875E+000 1.765E-005 1.000E+012 6.676E-001 1.467E-003 
0T13 11:56:06 327.5 35.4 2.720E+000 7.735E+000 1.963E-005 1.000E+012 6.689E-001 1.306E-003 
0T14 12:07:48 329.5 35.19 2.738E+000 4.291E+000 2.189E-005 1.000E+012 6.702E-001 1.300E-003 
0T15 12:19:42 331.3 35 2.750E+000 3.952E+000 2.437E-005 1.000E+012 6.711E-001 9.836E-004 
0T16 12:34:20 333.8 34.73 2.759E+000 2.799E+000 2.759E-005 1.000E+012 6.730E-001 7.945E-004 
0T17 12:46:50 336.1 34.5 2.781E+000 7.865E-015 3.125E-005 1.000E+012 6.744E-001 8.333E-004 
0T18 13:00:50 337.8 34.32 2.788E+000 1.124E-014 3.416E-005 1.000E+012 6.756E-001 6.265E-004 
0T19 13:17:04 340.3 34.07 2.737E+000 2.034E-015 3.607E-005 5.753E+004 6.794E-001 7.844E-004 
