f G/w
1.0000000E+6 2.1016775E-4
8.9779585E+5 2.2707693E-4
8.0603739E+5 2.4505435E-4
7.2365703E+5 2.6413768E-4
6.4969628E+5 2.8435642E-4
5.8329463E+5 3.0575547E-4
5.2367949E+5 3.2835272E-4
4.7015728E+5 3.5190265E-4
4.2210526E+5 3.7627205E-4
3.7896435E+5 4.0129035E-4
3.4023262E+5 4.2669467E-4
3.0545943E+5 4.5225663E-4
2.7424021E+5 4.7791501E-4
2.4621173E+5 5.0331588E-4
2.2104787E+5 5.2807468E-4
1.9845586E+5 5.5218996E-4
1.7817285E+5 5.7533742E-4
1.5996284E+5 5.9757943E-4
1.4361398E+5 6.1906735E-4
1.2893603E+5 6.3979506E-4
1.1575824E+5 6.5979876E-4
1.0392726E+5 6.7974384E-4
9.3305466E+4 6.9976687E-4
8.3769261E+4 7.2058584E-4
7.5207695E+4 7.4274544E-4
6.7521156E+4 7.6641396E-4
6.0620214E+4 7.9264305E-4
5.4424577E+4 8.2168596E-4
4.8862159E+4 8.5424406E-4
4.3868244E+4 8.9102550E-4
3.9384728E+4 9.3238841E-4
3.5359445E+4 9.7866647E-4
3.1745563E+4 1.0316632E-3
2.8501035E+4 1.0907545E-3
2.5588111E+4 1.1572113E-3
2.2972900E+4 1.2311781E-3
2.0624974E+4 1.3136578E-3
1.8517016E+4 1.4060658E-3
1.6624501E+4 1.5088126E-3
1.4925408E+4 1.6230509E-3
1.3399969E+4 1.7499130E-3
1.2030437E+4 1.8915674E-3
1.0800876E+4 2.0468651E-3
9.6969820E+3 2.2203250E-3
8.7059100E+3 2.4118507E-3
7.8161300E+3 2.6237756E-3
7.0172890E+3 2.8574603E-3
6.3000930E+3 3.1163037E-3
5.6561970E+3 3.4033485E-3
5.0781110E+3 3.7215717E-3
4.5591070E+3 4.0717621E-3
4.0931470E+3 4.4614451E-3
3.6748100E+3 4.8935598E-3
3.2992300E+3 5.3690265E-3
2.9620350E+3 5.9003729E-3
2.6593020E+3 6.4876204E-3
2.3875110E+3 7.1392577E-3
2.1434970E+3 7.8671765E-3
1.9244230E+3 8.6728557E-3
1.7277390E+3 9.5660188E-3
1.5511570E+3 1.0558801E-2
1.3926220E+3 1.1665395E-2
1.2502900E+3 1.2892706E-2
1.1225050E+3 1.4263492E-2
1.0077810E+3 1.5787251E-2
9.0478100E+2 1.7484089E-2
8.1230900E+2 1.9363004E-2
7.2928800E+2 2.1460745E-2
6.5475100E+2 2.3804380E-2
5.8783300E+2 2.6405686E-2
5.2775400E+2 2.9341132E-2
4.7381500E+2 3.2553123E-2
4.2539000E+2 3.6160352E-2
3.8191300E+2 4.0168270E-2
3.4288000E+2 4.4688167E-2
3.0783600E+2 4.9662572E-2
2.7637400E+2 5.5263780E-2
2.4812700E+2 6.1417358E-2
2.2276800E+2 6.8303332E-2
2.0000000E+2 7.5971663E-2
