f G/w
1.0000000E+6 4.7076617E-6
8.9779585E+5 5.0780435E-6
8.0603739E+5 5.4718327E-6
7.2365703E+5 5.7904286E-6
6.4969628E+5 6.2116048E-6
5.8329463E+5 6.5554056E-6
5.2367949E+5 6.9913673E-6
4.7015728E+5 7.4369326E-6
4.2210526E+5 7.9425241E-6
3.7896435E+5 8.4981149E-6
3.4023262E+5 9.0679682E-6
3.0545943E+5 9.6803604E-6
2.7424021E+5 1.0363738E-5
2.4621173E+5 1.1087453E-5
2.2104787E+5 1.1879796E-5
1.9845586E+5 1.2808295E-5
1.7817285E+5 1.3837117E-5
1.5996284E+5 1.4884223E-5
1.4361398E+5 1.5994721E-5
1.2893603E+5 1.7398464E-5
1.1575824E+5 1.8799188E-5
1.0392726E+5 2.0389154E-5
9.3305466E+4 2.2130850E-5
8.3769261E+4 2.4135958E-5
7.5207695E+4 2.6205679E-5
6.7521156E+4 2.8608533E-5
6.0620214E+4 3.1143885E-5
5.4424577E+4 3.4091086E-5
4.8862159E+4 3.7176133E-5
4.3868244E+4 4.0804361E-5
3.9384728E+4 4.4866545E-5
3.5359445E+4 4.9289995E-5
3.1745563E+4 5.4257724E-5
2.8501035E+4 5.9633223E-5
2.5588111E+4 6.5687792E-5
2.2972900E+4 7.2172001E-5
2.0624974E+4 7.9992811E-5
1.8517016E+4 8.8070854E-5
1.6624501E+4 9.7661468E-5
1.4925408E+4 1.0790570E-4
1.3399969E+4 1.1930934E-4
1.2030437E+4 1.3227211E-4
1.0800876E+4 1.4603688E-4
9.6969820E+3 1.6222827E-4
8.7059100E+3 1.7970512E-4
7.8161300E+3 1.9868788E-4
7.0172890E+3 2.2064655E-4
6.3000930E+3 2.4429951E-4
5.6561970E+3 2.7119428E-4
5.0781110E+3 3.0138138E-4
4.5591070E+3 3.3286732E-4
4.0931470E+3 3.7075804E-4
3.6748100E+3 4.1278866E-4
3.2992300E+3 4.5823952E-4
2.9620350E+3 5.1137817E-4
2.6593020E+3 5.6770520E-4
2.3875110E+3 6.3250753E-4
2.1434970E+3 7.0270658E-4
1.9244230E+3 7.8445423E-4
1.7277390E+3 8.6908226E-4
1.5511570E+3 9.7069901E-4
1.3926220E+3 1.0752700E-3
1.2502900E+3 1.2012053E-3
1.1225050E+3 1.3357487E-3
1.0077810E+3 1.4889397E-3
9.0478100E+2 1.6580552E-3
8.1230900E+2 1.8488389E-3
7.2928800E+2 2.0576468E-3
6.5475100E+2 2.2856049E-3
5.8783300E+2 2.5557040E-3
5.2775400E+2 2.8306194E-3
4.7381500E+2 3.1478964E-3
4.2539000E+2 3.5087785E-3
3.8191300E+2 3.8895438E-3
3.4288000E+2 4.3337993E-3
3.0783600E+2 4.8240620E-3
2.7637400E+2 5.3903356E-3
2.4812700E+2 6.0230337E-3
2.2276800E+2 6.6931044E-3
2.0000000E+2 7.4170271E-3
