f G/w
1.0000000E+6 1.2561692E-5
8.9779585E+5 1.3225580E-5
8.0603739E+5 1.3911229E-5
7.2365703E+5 1.4609349E-5
6.4969628E+5 1.5466666E-5
5.8329463E+5 1.6360361E-5
5.2367949E+5 1.7437740E-5
4.7015728E+5 1.8634838E-5
4.2210526E+5 1.9914973E-5
3.7896435E+5 2.1327376E-5
3.4023262E+5 2.2884673E-5
3.0545943E+5 2.4590674E-5
2.7424021E+5 2.6550173E-5
2.4621173E+5 2.8699641E-5
2.2104787E+5 3.1035342E-5
1.9845586E+5 3.3560242E-5
1.7817285E+5 3.6426223E-5
1.5996284E+5 3.9571810E-5
1.4361398E+5 4.3082338E-5
1.2893603E+5 4.6749256E-5
1.1575824E+5 5.0993527E-5
1.0392726E+5 5.5598482E-5
9.3305466E+4 6.0761609E-5
8.3769261E+4 6.6570205E-5
7.5207695E+4 7.2795149E-5
6.7521156E+4 7.9590482E-5
6.0620214E+4 8.7023525E-5
5.4424577E+4 9.5031166E-5
4.8862159E+4 1.0440392E-4
4.3868244E+4 1.1447426E-4
3.9384728E+4 1.2542821E-4
3.5359445E+4 1.3766049E-4
3.1745563E+4 1.5135375E-4
2.8501035E+4 1.6594416E-4
2.5588111E+4 1.8179643E-4
2.2972900E+4 1.9987538E-4
2.0624974E+4 2.1978984E-4
1.8517016E+4 2.4105172E-4
1.6624501E+4 2.6624768E-4
1.4925408E+4 2.9137231E-4
1.3399969E+4 3.2109019E-4
1.2030437E+4 3.5315607E-4
1.0800876E+4 3.8799317E-4
9.6969820E+3 4.2629331E-4
8.7059100E+3 4.6883388E-4
7.8161300E+3 5.1597753E-4
7.0172890E+3 5.6729220E-4
6.3000930E+3 6.2457381E-4
5.6561970E+3 6.8978283E-4
5.0781110E+3 7.6169461E-4
4.5591070E+3 8.4113805E-4
4.0931470E+3 9.2670215E-4
3.6748100E+3 1.0241267E-3
3.2992300E+3 1.1330112E-3
2.9620350E+3 1.2553804E-3
2.6593020E+3 1.3902708E-3
2.3875110E+3 1.5396437E-3
2.1434970E+3 1.7097633E-3
1.9244230E+3 1.8960598E-3
1.7277390E+3 2.1013567E-3
1.5511570E+3 2.3367565E-3
1.3926220E+3 2.5812242E-3
1.2502900E+3 2.8677726E-3
1.1225050E+3 3.1899146E-3
1.0077810E+3 3.5533762E-3
9.0478100E+2 3.9436046E-3
8.1230900E+2 4.3956447E-3
7.2928800E+2 4.8923653E-3
6.5475100E+2 5.4338986E-3
5.8783300E+2 6.0466410E-3
5.2775400E+2 6.7631558E-3
4.7381500E+2 7.4980891E-3
4.2539000E+2 8.3481793E-3
3.8191300E+2 9.2857297E-3
3.4288000E+2 1.0281613E-2
3.0783600E+2 1.1471364E-2
2.7637400E+2 1.2741712E-2
2.4812700E+2 1.4173544E-2
2.2276800E+2 1.5777941E-2
2.0000000E+2 1.7551588E-2
