fname time Tem kT_1 Rs_EA Is1_EA Is2_EA n1_EA n2_EA Rsh_EA If_EA Voc_EA Isc_EA Pm_EA FF_EA 
00L1 6:51 293.4 39.52 2.39E+00 9.27E-12 6.88E-06 1 2.963 1.06E+05 1.680E-004 0.2415 1.680E-004 1.840E-005 0.4536 
00L2 7:11 296.2 39.14 2.46E+00 1.51E-11 6.68E-06 1 2.874 1.19E+04 1.731E-004 0.2332 1.731E-004 1.731E-005 0.4289 
00L3 7:28 299.5 38.71 2.53E+00 2.74E-11 8.07E-06 1 2.876 1.44E+04 1.712E-004 0.2236 1.712E-004 1.628E-005 0.4253 
00L4 7:44 302.4 38.34 2.60E+00 4.32E-11 8.25E-06 1 2.801 1.05E+04 1.732E-004 0.2169 1.731E-004 1.565E-005 0.4169 
00L5 8:4 305.4 37.96 2.67E+00 7.77E-11 1.17E-05 1 2.906 2.74E+04 1.707E-004 0.2072 1.706E-004 1.477E-005 0.4179 
00L6 8:24 308.3 37.61 2.74E+00 1.17E-10 1.19E-05 1 2.834 1.08E+04 1.741E-004 0.199 1.740E-004 1.393E-005 0.4024 
00L7 8:42 311.1 37.27 2.80E+00 1.45E-10 1.23E-05 1 2.759 7.59E+03 1.743E-004 0.1906 1.742E-004 1.300E-005 0.3916 
00L8 9:0 313.5 36.98 2.86E+00 2.09E-10 1.41E-05 1 2.763 7.67E+03 1.777E-004 0.185 1.775E-004 1.275E-005 0.3881 
00L9 9:17 316 36.69 2.91E+00 3.35E-10 1.72E-05 1 2.81 8.70E+03 1.754E-004 0.1766 1.752E-004 1.181E-005 0.3819 
0L10 9:37 318.6 36.39 2.97E+00 5.12E-10 1.82E-05 1 2.767 6.45E+03 1.768E-004 0.1693 1.766E-004 1.115E-005 0.3728 
0L11 9:53 321.5 36.06 3.04E+00 8.76E-10 2.08E-05 1 2.772 5.92E+03 1.769E-004 0.1614 1.767E-004 1.039E-005 0.3643 
0L12 10:14 323.6 35.83 3.09E+00 1.05E-09 1.71E-05 1 2.599 3.06E+03 1.796E-004 0.1556 1.793E-004 9.714E-006 0.3483 
0L13 10:36 325.8 35.59 3.14E+00 1.64E-09 2.59E-05 1 2.778 5.21E+03 1.758E-004 0.1481 1.755E-004 9.169E-006 0.3526 
0L14 10:57 328.1 35.34 3.19E+00 1.78E-09 2.50E-05 1 2.678 3.69E+03 1.804E-004 0.1436 1.801E-004 8.943E-006 0.3458 
0L15 11:19 331.7 34.95 3.28E+00 2.97E-09 2.96E-05 1 2.676 3.31E+03 1.780E-004 0.1326 1.776E-004 7.907E-006 0.3356 
