N_Fe N_B T d n_FeB n_FeB_SRH
1.000000E+10 3.162E+15 305 1.800E-4 1.202032905E+00 1.207223746E+00
1.468000E+10 3.162E+15 305 1.800E-4 1.203559100E+00 1.207248082E+00
2.154000E+10 3.162E+15 305 1.800E-4 1.204687538E+00 1.207283699E+00
3.162000E+10 3.162E+15 305 1.800E-4 1.205522629E+00 1.207335777E+00
4.642000E+10 3.162E+15 305 1.800E-4 1.206152414E+00 1.207411827E+00
6.813000E+10 3.162E+15 305 1.800E-4 1.206650749E+00 1.207522603E+00
1.000000E+11 3.162E+15 305 1.800E-4 1.207080720E+00 1.207683441E+00
1.468000E+11 3.162E+15 305 1.800E-4 1.207498913E+00 1.207915831E+00
2.154000E+11 3.162E+15 305 1.800E-4 1.207960132E+00 1.208249304E+00
3.162000E+11 3.162E+15 305 1.800E-4 1.208521645E+00 1.208723264E+00
4.642000E+11 3.162E+15 305 1.800E-4 1.209246365E+00 1.209388136E+00
6.813000E+11 3.162E+15 305 1.800E-4 1.210203785E+00 1.210304713E+00
1.000000E+12 3.162E+15 305 1.800E-4 1.211467346E+00 1.211540467E+00
1.468000E+12 3.162E+15 305 1.800E-4 1.213107518E+00 1.213161725E+00
2.154000E+12 3.162E+15 305 1.800E-4 1.215181165E+00 1.215222507E+00
3.162000E+12 3.162E+15 305 1.800E-4 1.217720372E+00 1.217752922E+00
4.642000E+12 3.162E+15 305 1.800E-4 1.220725529E+00 1.220751970E+00
6.813000E+12 3.162E+15 305 1.800E-4 1.224167064E+00 1.224189128E+00
1.000000E+13 3.162E+15 305 1.800E-4 1.227996879E+00 1.228015662E+00
