T nFsrh nFBsrh dnsrh nF nFB dn dnF dnFB
290 1.313825151E+00 1.231493082E+00 8.233206900E-02 1.263805834E+00 1.220585913E+00 4.321992100E-02 5.001931700E-02 1.090716900E-02
295 1.313514391E+00 1.035714032E+00 2.778003590E-01 1.267079396E+00 1.024279431E+00 2.427999650E-01 4.643499500E-02 1.143460100E-02
300 1.314456283E+00 1.236709308E+00 7.774697500E-02 1.270087361E+00 1.221807403E+00 4.827995800E-02 4.436892200E-02 1.490190500E-02
305 1.316588169E+00 1.046893138E+00 2.696950310E-01 1.272598142E+00 1.031533955E+00 2.410641870E-01 4.399002700E-02 1.535918300E-02
310 1.319378672E+00 1.239416024E+00 7.996264800E-02 1.273820635E+00 1.217854512E+00 5.596612300E-02 4.555803700E-02 2.156151200E-02
315 1.322850242E+00 1.061085344E+00 2.617648980E-01 1.273645863E+00 1.040370168E+00 2.332756950E-01 4.920437900E-02 2.071517600E-02
320 1.326825504E+00 1.238103699E+00 8.872180500E-02 1.271855420E+00 1.206692922E+00 6.516249800E-02 5.497008400E-02 3.141077700E-02
325 1.330909403E+00 1.076264809E+00 2.546445940E-01 1.268102906E+00 1.049768355E+00 2.183345510E-01 6.280649700E-02 2.649645400E-02
330 1.334415493E+00 1.233387286E+00 1.010282070E-01 1.261850522E+00 1.189455049E+00 7.239547300E-02 7.256497100E-02 4.393223700E-02
335 1.338063813E+00 1.092647673E+00 2.454161400E-01 1.254015428E+00 1.059324706E+00 1.946907220E-01 8.404838500E-02 3.332296700E-02
340 1.340874291E+00 1.222293056E+00 1.185812350E-01 1.244120877E+00 1.170017297E+00 7.410358000E-02 9.675341400E-02 5.227575900E-02
