Ytrue Ypred RSE
2000000000000.000244 93764460544.000000 19.376925
2000000000000.000244 401234558976.000000 3.185233
2000000000000.000244 3189314945024.000000 0.221751
6600000000000.007812 9562254999552.000000 0.139040
6600000000000.007812 10839241261056.000000 0.251208
6600000000000.007812 29614747418624.000000 2.709945
18999999999999.996094 98876346335232.000000 3.396177
18999999999999.996094 131383192190976.000000 5.059520
18999999999999.996094 358202520633344.000000 16.905807
28999999999999.968750 705574945685504.000000 22.371272
28999999999999.968750 709571278536704.000000 22.508845
28999999999999.968750 2250048674988032.000000 75.600774
3700000000000.000000 6331950432256.000000 0.295676
3700000000000.000000 4730267893760.000000 0.060647
3700000000000.000000 9673832923136.000000 0.997025
9800000000000.005859 21955782639616.000000 0.686738
9800000000000.005859 18252405145600.000000 0.399406
9800000000000.005859 34370754707456.000000 1.792346
