T file kT1 TDD TDD
290 001_290 39.98 1.000000E+10 0.000000E+0
290 002_290 39.98 1.468000E+10 0.000000E+0
290 003_290 39.98 2.154000E+10 0.000000E+0
290 004_290 39.98 3.162000E+10 0.000000E+0
290 005_290 39.98 4.642000E+10 0.000000E+0
290 006_290 39.98 6.813000E+10 0.000000E+0
290 007_290 39.98 1.000000E+11 0.000000E+0
290 008_290 39.98 1.468000E+11 0.000000E+0
290 009_290 39.98 2.154000E+11 0.000000E+0
290 010_290 39.98 3.162000E+11 0.000000E+0
290 011_290 39.98 4.642000E+11 0.000000E+0
290 012_290 39.98 6.813000E+11 0.000000E+0
290 013_290 39.98 1.000000E+12 0.000000E+0
290 014_290 39.98 1.468000E+12 0.000000E+0
290 015_290 39.98 2.154000E+12 0.000000E+0
290 016_290 39.98 3.162000E+12 0.000000E+0
290 017_290 39.98 4.642000E+12 0.000000E+0
290 018_290 39.98 6.813000E+12 0.000000E+0
290 019_290 39.98 1.000000E+13 0.000000E+0
290 020_290 39.98 1.468000E+13 0.000000E+0
290 021_290 39.98 2.154000E+13 0.000000E+0
290 022_290 39.98 3.162000E+13 0.000000E+0
290 023_290 39.98 4.642000E+13 0.000000E+0
290 024_290 39.98 6.813000E+13 0.000000E+0
290 025_290 39.98 1.000000E+14 0.000000E+0
