N_Fe N_B T n_FeB n_FeB_SRH
1.000000E+10 1.000e+17 290 1.127620335E+00 1.136757790E+00
1.468000E+10 1.000e+17 290 1.130795030E+00 1.137175363E+00
2.154000E+10 1.000e+17 290 1.133316245E+00 1.137745048E+00
3.162000E+10 1.000e+17 290 1.135438024E+00 1.138500633E+00
4.642000E+10 1.000e+17 290 1.137352292E+00 1.139465521E+00
6.813000E+10 1.000e+17 290 1.139184881E+00 1.140641275E+00
1.000000E+11 1.000e+17 290 1.141089780E+00 1.142091981E+00
1.468000E+11 1.000e+17 290 1.143618409E+00 1.144307184E+00
2.154000E+11 1.000e+17 290 1.144798445E+00 1.145273033E+00
3.162000E+11 1.000e+17 290 1.146437883E+00 1.146763969E+00
4.642000E+11 1.000e+17 290 1.147769972E+00 1.148847087E+00
6.813000E+11 1.000e+17 290 1.155734435E+00 1.157008232E+00
1.000000E+12 1.000e+17 290 1.160539985E+00 1.160654146E+00
1.468000E+12 1.000e+17 290 1.161442383E+00 1.161520553E+00
2.154000E+12 1.000e+17 290 1.162083198E+00 1.162136657E+00
3.162000E+12 1.000e+17 290 1.162725317E+00 1.162725561E+00
4.642000E+12 1.000e+17 290 1.159245868E+00 1.159185576E+00
6.813000E+12 1.000e+17 290 1.172978894E+00 1.172986379E+00
1.000000E+13 1.000e+17 290 1.174530616E+00 1.174671722E+00
