fname time Tem kT_1 Rs_EA Is1_EA Is2_EA n1_EA n2_EA Rsh_EA If_EA Voc_EA Isc_EA Pm_EA FF_EA 
00L1 7:27 300.5 38.58 2.56E+00 3.43E-11 8.68E-06 1 2.856 1.29E+04 1.715E-004 0.2171 1.714E-004 1.561E-005 0.4194 
00L2 7:45 305.1 38 2.78E+00 8.33E-11 1.12E-05 1 2.854 1.02E+04 1.743E-004 0.2025 1.742E-004 1.422E-005 0.4032 
00L3 7:59 307.4 37.72 2.89E+00 1.18E-10 1.29E-05 1 2.871 1.11E+04 1.746E-004 0.196 1.745E-004 1.366E-005 0.3996 
00L4 8:12 309.9 37.41 3.01E+00 1.79E-10 1.39E-05 1 2.832 8.55E+03 1.745E-004 0.1878 1.744E-004 1.274E-005 0.3891 
00L5 8:25 312.8 37.07 3.15E+00 3.01E-10 1.60E-05 1 2.825 7.27E+03 1.760E-004 0.1787 1.758E-004 1.195E-005 0.3804 
00L6 8:39 315.6 36.74 3.28E+00 4.91E-10 1.93E-05 1 2.846 7.25E+03 1.772E-004 0.1698 1.770E-004 1.122E-005 0.3734 
00L7 8:56 318.6 36.39 3.43E+00 4.80E-10 1.91E-05 1 2.731 5.24E+03 1.778E-004 0.1622 1.775E-004 1.050E-005 0.3647 
00L8 9:13 321.7 36.04 3.57E+00 9.75E-10 2.30E-05 1 2.764 4.81E+03 1.780E-004 0.153 1.776E-004 9.671E-006 0.3559 
00L9 9:31 324.5 35.73 3.71E+00 1.12E-09 2.38E-05 1 2.694 4.00E+03 1.793E-004 0.1466 1.789E-004 9.145E-006 0.3486 
0L10 9:46 328.6 35.28 3.90E+00 2.73E-09 3.02E-05 1 2.73 3.39E+03 1.791E-004 0.1335 1.787E-004 8.017E-006 0.3361 
0L11 9:59 331.3 35 4.03E+00 5.07E-09 3.82E-05 1 2.819 3.48E+03 1.789E-004 0.1253 1.784E-004 7.375E-006 0.3301 
0L12 10:20 335.2 34.59 4.22E+00 5.76E-09 3.77E-05 1 2.666 2.44E+03 1.790E-004 0.1156 1.783E-004 6.567E-006 0.3185 
