fname time Tem kT_1 Nfe tau_r Wph Em t_ass rmsre 
W70S01 1392356409 0 555 1.492866500E+19 3.843692851E-07 4.500000000E-04 6.495629437E-01 5.938104586E+02 1.222268070E-03 
W70S01U 1392356432 0 555 2.058856702E+19 4.181939857E-07 4.500000000E-04 6.423707929E-01 4.646588788E+02 1.370572763E-03 
W70S03 1392356366 0 555 3.563618465E+19 6.063130408E-07 4.500000000E-04 6.519941777E-01 6.451395865E+02 1.236075400E-03 
W70S03U 1392356390 0 555 4.063403490E+19 7.735505919E-07 4.500000000E-04 6.437873591E-01 4.876555392E+02 1.304988860E-03 
W70S05U 1392356317 0 555 4.757444271E+19 1.095543812E-06 4.500000000E-04 6.450536801E-01 5.091749128E+02 1.569926891E-03 
W70S05ZR52 1392004573 0 555 4.861256295E+19 1.109241912E-06 4.500000000E-04 6.533816907E-01 6.763980462E+02 1.550391246E-03 
W70S10U 1392356277 0 555 5.812399827E+19 2.918355683E-06 4.500000000E-04 6.471341766E-01 5.466112025E+02 2.209439887E-03 
W70S15U 1392356250 0 555 6.084872866E+19 9.595835786E-06 4.500000000E-04 6.476709021E-01 5.567077577E+02 2.903869114E-03 
W70S15ZR52 1392004539 0 555 6.373650259E+19 8.926341198E-06 4.500000000E-04 6.569164313E-01 7.630461337E+02 2.261361690E-03 
W70S20U 1392356224 0 555 6.162107612E+19 9.999995473E+01 4.500000000E-04 6.485032958E-01 5.727363854E+02 3.309491001E-03 
W70S20ZR52 1392004497 0 555 6.454498494E+19 9.999999958E+01 4.500000000E-04 6.579181346E-01 7.895610598E+02 2.005799406E-03 
W70S25 1392356146 0 555 6.376904192E+19 9.999999931E+01 4.500000000E-04 6.583029528E-01 7.999903792E+02 2.677568946E-03 
W70S25U 1392356182 0 555 6.317898259E+19 9.999998035E+01 4.500000000E-04 6.491788901E-01 5.860843483E+02 2.935236344E-03 
W70S30 1392356060 0 555 6.261881840E+19 9.999999929E+01 4.500000000E-04 6.590089780E-01 8.194845813E+02 3.481616225E-03 
W70S30U 1392356105 0 555 6.695834550E+19 1.940257163E-05 4.500000000E-04 6.491036261E-01 5.845820654E+02 2.262232434E-03 
