fname time Tem kT_1 n0 Eefo E_B E_T Tm dev 
B107FE100_T 1317912114 0 555 5.313378547E-07 3.010000000E-01 5.080518183E-22 0.000000000E+00 2.200000000E+00 2.558122869E-04 
B107FE101_T 1317912114 0 555 5.558187147E-07 3.010000000E-01 1.913769978E-22 0.000000000E+00 2.200000000E+00 2.700871459E-04 
B107FE102_T 1317912114 0 555 6.047055221E-07 3.010000000E-01 1.137900374E-22 0.000000000E+00 2.200000000E+00 6.049132086E-04 
B107FE103_T 1317912114 0 555 6.599203490E-07 3.010000000E-01 8.989133208E-23 0.000000000E+00 2.200000000E+00 5.874671625E-04 
B107FE140_T 1317912114 0 555 5.352568273E-07 3.010000000E-01 4.064623933E-22 0.000000000E+00 2.200000000E+00 2.180314009E-04 
B107FE141_T 1317912114 0 555 5.618199395E-07 3.010000000E-01 1.757790123E-22 0.000000000E+00 2.200000000E+00 4.355088848E-04 
B107FE142_T 1317912114 0 555 6.161691199E-07 3.010000000E-01 1.084079089E-22 0.000000000E+00 2.200000000E+00 7.097017423E-04 
B107FE210_T 1317912114 0 555 5.406939806E-07 3.010000000E-01 3.401091717E-22 0.000000000E+00 2.200000000E+00 2.349598507E-04 
B107FE211_T 1317912114 0 555 5.727728791E-07 3.010000000E-01 1.683862281E-22 0.000000000E+00 2.200000000E+00 2.716050363E-04 
B107FE212_T 1317912114 0 555 6.206704896E-07 3.010000000E-01 9.386233607E-23 0.000000000E+00 2.200000000E+00 6.045949440E-04 
B107FE310_T 1317912114 0 555 5.476128567E-07 3.010000000E-01 2.993438070E-22 0.000000000E+00 2.200000000E+00 8.276537524E-05 
B107FE311_T 1317912114 0 555 5.767364454E-07 3.010000000E-01 1.373186376E-22 0.000000000E+00 2.200000000E+00 2.270496607E-04 
B107FE312_T 1317912114 0 555 6.270378865E-07 3.010000000E-01 8.423997146E-23 0.000000000E+00 2.200000000E+00 5.452734282E-04 
B107FE460_T 1317912114 0 555 5.518715102E-07 3.010000000E-01 2.572781642E-22 0.000000000E+00 2.200000000E+00 9.926248726E-05 
B107FE461_T 1317912114 0 555 5.829965754E-07 3.010000000E-01 1.232179482E-22 0.000000000E+00 2.200000000E+00 3.056749157E-04 
B107FE462_T 1317912114 0 555 6.364676969E-07 3.010000000E-01 8.034853441E-23 0.000000000E+00 2.200000000E+00 4.379891294E-04 
B107FE680_T 1317912114 0 555 5.543427395E-07 3.010000000E-01 2.211603501E-22 0.000000000E+00 2.200000000E+00 1.118643915E-04 
B107FE681_T 1317912114 0 555 5.946020071E-07 3.010000000E-01 1.197139493E-22 0.000000000E+00 2.200000000E+00 4.705295060E-04 
B107FE682_T 1317912114 0 555 6.481470964E-07 3.010000000E-01 8.257541141E-23 0.000000000E+00 2.200000000E+00 6.483616337E-04 
