T nFsrh nFBsrh dnsrh nF nFB dn dnF dnFB
290 1.254131687E+00 1.208711498E+00 4.542018900E-02 1.241870091E+00 1.203437919E+00 3.843217200E-02 1.226159600E-02 5.273579000E-03
295 1.256005624E+00 1.211865056E+00 4.414056800E-02 1.244656494E+00 1.206124253E+00 3.853224100E-02 1.134913000E-02 5.740803000E-03
300 1.258339813E+00 1.214840871E+00 4.349894200E-02 1.247366212E+00 1.208365132E+00 3.900108000E-02 1.097360100E-02 6.475739000E-03
305 1.260892754E+00 1.216992227E+00 4.390052700E-02 1.249722712E+00 1.209581723E+00 4.014098900E-02 1.117004200E-02 7.410504000E-03
310 1.263261005E+00 1.219199162E+00 4.406184300E-02 1.251332184E+00 1.210438554E+00 4.089363000E-02 1.192882100E-02 8.760608000E-03
315 1.264584752E+00 1.220923819E+00 4.366093300E-02 1.251354736E+00 1.210477729E+00 4.087700700E-02 1.323001600E-02 1.044609000E-02
320 1.265219459E+00 1.221188207E+00 4.403125200E-02 1.250206466E+00 1.208860770E+00 4.134569600E-02 1.501299300E-02 1.232743700E-02
325 1.263785327E+00 1.221396349E+00 4.238897800E-02 1.246636881E+00 1.206791360E+00 3.984552100E-02 1.714844600E-02 1.460498900E-02
330 1.258773714E+00 1.220628947E+00 3.814476700E-02 1.239428429E+00 1.203545434E+00 3.588299500E-02 1.934528500E-02 1.708351300E-02
335 1.248325302E+00 1.217856503E+00 3.046879900E-02 1.227129988E+00 1.198346854E+00 2.878313400E-02 2.119531400E-02 1.950964900E-02
340 1.227443482E+00 1.214688152E+00 1.275533000E-02 1.205711034E+00 1.192649961E+00 1.306107300E-02 2.173244800E-02 2.203819100E-02
