Ytrue Nb T d Ypred RSE
2.6E11 1.36E15 340 3.8E-4 9.19628759E10 1.249597
3.7E11 1.36E15 340 3.8E-4 1.50928753E11 0.911077
3.7E12 1.36E15 340 3.8E-4 3.11525114E12 0.032863
6.6E12 1.36E15 340 3.8E-4 4.8933115E12 0.093273
7.2E12 1.36E15 340 3.8E-4 7.23916947E12 1E-6
2.8E13 1.36E15 340 3.8E-4 2.236021E13 0.048601
2.9E13 1.36E15 340 3.8E-4 3.7402924E13 0.067774
4.2E13 1.36E15 340 3.8E-4 3.10110249E13 0.088034
3.9E11 1.36E15 300 3.8E-4 3.62574873E11 0.009495
3.7E12 1.36E15 300 3.8E-4 4.19033409E12 0.01334
6.6E12 1.36E15 300 3.8E-4 5.55558738E12 0.031516
2.9E13 1.36E15 300 3.8E-4 3.04447163E13 0.002892
4.2E13 1.36E15 320 3.8E-4 5.07854172E13 0.039188
2.9E13 1.36E15 320 3.8E-4 2.25555975E13 0.060902
3.9E11 1.36E15 320 3.8E-4 7.609151E11 0.429112
2.8E13 1.36E15 330 3.8E-4 2.31698638E13 0.034115
2.6E11 1.36E15 305 3.8E-4 2.17584222E11 0.042327

