Ytrue Nb T d Ypred RSE
2.6E11 1.36E15 340 3.8E-4 6.58316362E10 2.305072
3.7E11 1.36E15 340 3.8E-4 7.2255869E10 3.440035
6.6E12 1.36E15 340 3.8E-4 4.48349948E12 0.155398
2.8E13 1.36E15 340 3.8E-4 1.60256221E13 0.313805
4.2E13 1.36E15 340 3.8E-4 1.8836725E13 0.664546
3.9E11 1.36E15 300 3.8E-4 1.0509047E11 2.066036
3.7E12 1.36E15 300 3.8E-4 5.00812876E11 5.589012
6.6E12 1.36E15 300 3.8E-4 2.75290036E11 22.137136
2.9E13 1.36E15 300 3.8E-4 4.70288757E13 0.243535
4.2E13 1.36E15 320 3.8E-4 3.58614207E13 0.022635
3.9E11 1.36E15 320 3.8E-4 3.80131881E12 7.616313
2.8E13 1.36E15 330 3.8E-4 1.00788187E13 1.126226
2.6E11 1.36E15 305 3.8E-4 1.08459341E11 0.86943

