Ytrue Nb T d Ypred RSE
2.6E11 1.36E15 340 3.8E-4 5.29280211E10 3.246268
3.7E11 1.36E15 340 3.8E-4 8.89755367E10 2.497657
3.7E12 1.36E15 340 3.8E-4 3.43480429E12 0.006957
6.6E12 1.36E15 340 3.8E-4 3.03855276E12 0.641118
7.2E12 1.36E15 340 3.8E-4 6.12411434E12 0.027713
2.8E13 1.36E15 340 3.8E-4 3.17985468E13 0.017483
2.9E13 1.36E15 340 3.8E-4 5.6069933E13 0.457985
4.2E13 1.36E15 340 3.8E-4 3.37611668E13 0.044542
3.9E11 1.36E15 300 3.8E-4 3.35223685E11 0.030999
3.7E12 1.36E15 300 3.8E-4 1.64560686E12 0.709534
6.6E12 1.36E15 300 3.8E-4 1.6984637E12 2.161515
2.9E13 1.36E15 300 3.8E-4 5.01398215E13 0.3133
4.2E13 1.36E15 320 3.8E-4 6.06000073E13 0.141763
2.9E13 1.36E15 320 3.8E-4 3.67583898E13 0.058959
3.9E11 1.36E15 320 3.8E-4 1.48852444E12 1.992895
2.8E13 1.36E15 330 3.8E-4 2.14188363E13 0.069581
2.6E11 1.36E15 305 3.8E-4 1.97928397E11 0.09071

