Ytrue Nb T d Ypred RSE
2.6E11 1.36E15 340 3.8E-4 4.07602749E10 4.707709
3.7E11 1.36E15 340 3.8E-4 1.21863217E11 1.433866
6.6E12 1.36E15 340 3.8E-4 3.00691908E12 0.659316
2.8E13 1.36E15 340 3.8E-4 3.79603722E13 0.096399
4.2E13 1.36E15 340 3.8E-4 5.38535715E13 0.066049
3.9E11 1.36E15 300 3.8E-4 1.13653547E11 1.800923
3.7E12 1.36E15 300 3.8E-4 1.39854859E12 1.044145
6.6E12 1.36E15 300 3.8E-4 1.19585545E12 3.727179
2.9E13 1.36E15 300 3.8E-4 3.22764213E13 0.0126
4.2E13 1.36E15 320 3.8E-4 5.31755287E13 0.059649
3.9E11 1.36E15 320 3.8E-4 1.66214828E11 0.820413
2.8E13 1.36E15 330 3.8E-4 3.20937258E13 0.020018
2.6E11 1.36E15 305 3.8E-4 8.8589058E10 1.34762
