Ytrue Nb T d Ypred RSE
2.6E11 1.36E15 340 3.8E-4 4.08995883E10 4.685902
3.7E11 1.36E15 340 3.8E-4 1.13872517E11 1.631217
6.6E12 1.36E15 340 3.8E-4 2.31491812E12 1.214438
2.8E13 1.36E15 340 3.8E-4 3.18271687E13 0.017722
4.2E13 1.36E15 340 3.8E-4 4.75933502E13 0.017641
3.9E11 1.36E15 300 3.8E-4 1.04449471E11 2.087772
3.7E12 1.36E15 300 3.8E-4 1.30489027E12 1.210666
6.6E12 1.36E15 300 3.8E-4 1.0554512E12 4.443903
2.9E13 1.36E15 300 3.8E-4 3.13904638E13 0.007121
4.2E13 1.36E15 320 3.8E-4 5.29230809E13 0.05733
3.9E11 1.36E15 320 3.8E-4 1.71435681E11 0.760249
2.8E13 1.36E15 330 3.8E-4 2.98217607E13 0.004618
2.6E11 1.36E15 305 3.8E-4 7.77399063E10 1.727927

