Ytrue Nb T d Ypred RSE
1.9E11 1.36E15 340 3.8E-4 7.80753027E10 0.90525
2.2E11 1.36E15 340 3.8E-4 9.91074132E10 0.721686
2.6E11 1.36E15 340 3.8E-4 1.21731681E11 0.650509
3.7E11 1.36E15 340 3.8E-4 1.67113815E11 0.710345
7.1E11 1.36E15 340 3.8E-4 3.75231143E11 0.448941
1.3E12 1.36E15 340 3.8E-4 8.91435191E11 0.156846
3.7E12 1.36E15 340 3.8E-4 1.45910047E12 0.949579
6.6E12 1.36E15 340 3.8E-4 5.66686251E12 0.024847
7.2E12 1.36E15 340 3.8E-4 7.1125926E12 2.77E-4
7.6E12 1.36E15 340 3.8E-4 4.44036465E12 0.300426
8.9E12 1.36E15 340 3.8E-4 7.00284664E12 0.059197
4.9E12 1.36E15 340 3.8E-4 7.32018661E12 0.157514
1.4E13 1.36E15 340 3.8E-4 2.26886937E13 0.237811
1.9E13 1.36E15 340 3.8E-4 2.6157888E13 0.104553
2.8E13 1.36E15 340 3.8E-4 3.74746252E13 0.08848
2.9E13 1.36E15 340 3.8E-4 3.54665399E13 0.042771
4.2E13 1.36E15 340 3.8E-4 4.60018527E13 0.009752
3.9E11 1.36E15 300 3.8E-4 2.12141533E11 0.414766
3.7E12 1.36E15 300 3.8E-4 4.33134448E12 0.022103
6.6E12 1.36E15 300 3.8E-4 7.85998913E12 0.028862
2.9E13 1.36E15 300 3.8E-4 4.20384225E13 0.143388
4.2E13 1.36E15 320 3.8E-4 5.29181059E13 0.057285
2.9E13 1.36E15 320 3.8E-4 2.94919535E13 4.83E-4
3.9E11 1.36E15 320 3.8E-4 2.53908783E11 0.209362
4.9E12 1.36E15 320 3.8E-4 6.5220616E12 0.078277
2.8E13 1.36E15 330 3.8E-4 3.14256503E13 0.014497
4.2E13 1.36E15 330 3.8E-4 4.19658769E13 4.7E-5
2.8E13 1.36E15 310 3.8E-4 2.80344394E13 3.8E-5
2.8E13 1.36E15 325 3.8E-4 3.00936427E13 0.005935
2.6E11 1.36E15 305 3.8E-4 1.18245251E11 0.702177

