Ytrue Nb T d Ypred RSE
2.6E11 1.36E15 340 3.8E-4 5.09960778E10 3.430284
3.7E11 1.36E15 340 3.8E-4 1.36015233E11 1.147319
6.6E12 1.36E15 340 3.8E-4 2.54568188E12 0.989476
2.8E13 1.36E15 340 3.8E-4 3.43379153E13 0.043822
4.2E13 1.36E15 340 3.8E-4 4.69421089E13 0.014165
3.9E11 1.36E15 300 3.8E-4 1.13214768E11 1.813454
3.7E12 1.36E15 300 3.8E-4 1.30422419E12 1.211948
6.6E12 1.36E15 300 3.8E-4 1.0479594E12 4.487704
2.9E13 1.36E15 300 3.8E-4 3.28857677E13 0.017158
4.2E13 1.36E15 320 3.8E-4 5.71328349E13 0.10031
3.9E11 1.36E15 320 3.8E-4 2.21026909E11 0.361261
2.8E13 1.36E15 330 3.8E-4 3.48013245E13 0.049648
2.6E11 1.36E15 305 3.8E-4 8.64370687E10 1.414655

